Product,Category,Supplier,Unit_Price,Margin_Pct,Avg_Daily_Sales,Recommended_Qty,Capital_Required,Rank_Small,Cumulative_Capital_Small,In_Small_Budget,Rank_Med,Cumulative_Capital_Med,In_Med_Budget,Rank_Large,Cumulative_Capital_Large,In_Large_Budget
BROOKSIDE 500ML DAIRY BEST (POUCH),unknown,BROOKSIDE DAIRY LIMITED,54.689444081608784,-7.88,373.2625,1867.0,102105.1921003636,500.0,5273722.001532557,False,1.0,102105.1921003636,True,1.0,102105.1921003636,True
LATO 500ML FINO UHT MILK 180DAYS,unknown,Unknown,50.21335158150852,10.24,13.3625,141.0,7080.082572992701,150.0,1958352.35211989,False,2.0,109185.2746733563,True,258.0,4478515.513944536,True
VP 125G BLUEBERRIES,unknown,Unknown,405.0139049826188,13.14,5.0475,53.0,21465.736964078795,281.0,3190882.7306149174,False,3.0,130651.01163743509,True,76.0,2674392.0530486545,True
DAIMA 200ML MILK FINO BORA,unknown,Unknown,24.977979894686452,9.05,2.7325,29.0,724.3614169459071,443.0,4579845.278869984,False,4.0,131375.373054381,True,478.0,5258297.014112723,True
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,unknown,Unknown,25.612732095490717,6.37,4.98,53.0,1357.474801061008,423.0,4451873.726104316,False,5.0,132732.847855442,True,473.0,5253537.454083461,True
MACCOFFEE 15G WHITE 3 IN 1 COFFEE,unknown,Unknown,19.90335417851052,5.82,3.4775,37.0,736.4241046048892,448.0,4598328.358403484,False,6.0,133469.2719600469,True,492.0,5269481.310044189,True
HIGHLANDS 500ML MINERAL WATER,unknown,Unknown,25.00042471862391,22.24,8.875,94.0,2350.0399235506475,87.0,1234822.3797925166,False,7.0,135819.31188359755,True,421.0,5166971.449932551,True
MCVITIES 200G DARK CHOCO DIGESTIVE,unknown,Unknown,231.8525688756515,11.05,4.4025,47.0,10897.070737155622,362.0,3877403.975752806,False,8.0,146716.38262075317,True,268.0,4555844.07164318,True
JIAN 30 PACK YELLOW YOLK EGGS,unknown,Unknown,491.37445753254804,18.59,3.3825,36.0,17689.48047117173,293.0,3283280.0315580545,False,9.0,164405.8630919249,True,104.0,3156050.03507369,True
ILARA FRESH MILK 500ML SATCHET,unknown,BROOKSIDE DAIRY LIMITED,56.22237605925135,-3.16,110.61,554.0,31147.19633682525,499.0,5171616.809432194,False,10.0,195553.05942875016,True,11.0,773532.1775524616,True
TENA 200S SERVIETTES WHITE,unknown,Unknown,200.0076923076923,21.56,2.4075,26.0,5200.2,336.0,3651656.5780102084,False,11.0,200753.25942875017,True,313.0,4784348.848133519,True
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,unknown,Unknown,51.1244165274016,-13.45,28.48,300.0,15337.32495822048,498.0,5140469.613095368,False,12.0,216090.58438697064,True,90.0,2922691.5048013725,True
CFB STANDARD WHITE BREAD 800G,unknown,Unknown,107.831123517097,46.6,4.69,50.0,5391.55617585485,74.0,1088996.3440441655,False,13.0,221482.1405628255,True,389.0,5084889.20780442,True
CFB MANDAZI 80G,unknown,Unknown,29.064405921801846,66.74,16.4225,173.0,5028.14222447172,3.0,15160.90596306647,True,14.0,226510.2827872972,True,334.0,4874721.0134024955,True
