Product,Department,Supplier,Supplier_Reliability,Lead_Time_Days,Avg_Daily_Sales,Current_Stock,Unit_Price,Margin_Pct,Total_Revenue,Recommended_Qty,Capital_Required,Velocity_Tier,GRN_Frequency,Flow_Risk,Trend_Pct,Is_Eligible_Basic,Logic_Trace,Is_Staple,Cumulative_Revenue,Revenue_Share,ABC_Class,Gross_Profit_Amt,GMROI,Strategy_Role,Recommended_Action,Stocking_Notes,Score_Weighted,Is_Proxy_Core,Hybrid_Score,Cost_Drag,Small_200k,Med_2.5M,Large_10M,Mega_115M
BROOKSIDE 500ML DAIRY BEST (POUCH),FRESH MILK,BROOKSIDE DAIRY LIMITED,0.905,1.0,373.2625,0.0,54.689444081608784,-7.88,612405.5586453449,1119.7875,61240.55586453449,A (Staple),0.9375,Low,3.1,True,Rev:OK | Price:OK,True,13675237.86030199,0.3170039310821863,A,-48257.55802125318,-0.7879999999999999,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,1523.5912,True,6523.5912,0,True,True,True,True
BIO 2L WHOLE FRESH MILK,FRESH MILK,BIO FOOD PRODUCTS LTD,0.905,1.0,31.6275,0.0,318.371698786581,10.1,302079.0271011778,94.8825,30207.90271011777,A (Staple),1.0,Low,25.1,True,Rev:OK | Price:OK,True,13977316.887403168,0.3240063861814529,A,30509.98173721896,1.01,Cash Cow,Stock Heavy / Never Out,Rev:OK | Price:OK | Strat:OK -> Eligible,161.63100000000003,True,5161.631,0,True,True,True,True
KERINGET 18.9LT MINERAL WATER REFIL,MINERAL WATER,COCA COLA BEVERAGES KENYA LTD,0.905,1.0,16.145,0.0,598.6363581072862,19.15,289949.5200492641,508.5675,304446.99605172727,A (Staple),1.0,Low,-4.9,True,Rev:OK | Price:OK,True,14267266.407452432,0.3307276687368249,A,55525.33308943406,0.1823809523809523,Cash Cow,Stock Heavy / Never Out,Rev:OK | Price:OK | Strat:OK -> Eligible,93.61823809523808,True,5093.618238095238,0,True,True,True,True
DUNHILL 20S SWITCH,CIGARETTES,NOBLE OUTLOOK LIMITED,0.905,15.0,17.085,0.0,470.0,7.13,240898.50000000003,538.1775,252943.425,A (Staple),0.875,Low,-6.0,True,Rev:OK | Price:OK,False,14508164.907452432,0.3363119059012464,A,17176.063050000004,0.0679047619047619,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,97.14679047619047,True,5097.14679047619,0,True,True,True,True
EMBASSY BY DUNHILL BLUE 20S,CIGARETTES,NOBLE OUTLOOK LIMITED,0.905,15.0,16.6675,0.0,460.0012653859427,7.1,230012.132724606,525.02625,241512.7393608363,A (Staple),0.875,Low,5.2,True,Rev:OK | Price:OK,False,14738177.040177038,0.3416437875851448,A,16330.861423447026,0.0676190476190476,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,97.71676190476192,True,5097.716761904762,0,True,True,True,True
GOLD 500ML CROWN TFA 20,FRESH GOURMET,NEW KENYA COOP CREAMERIES  LTD,0.905,1.0,20.585,0.0,367.9762046400952,5.0,227243.7051754908,1.0,367.9762046400952,D (Risk),0.0,Low,-2.5,True,Rev:OK | Price:OK,False,14965420.745352527,0.3469114947058691,A,11362.185258774542,30.877500000000005,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,114.92775000000002,True,5114.92775,0,True,True,True,True
RINSUN 5LT SUNFLOWER OIL,COOKING OIL,KAPA OIL REFINERIES LTD,0.905,13.0,4.5325,0.0,1589.9651464590286,9.0,216195.5107897664,203.9625,324293.2661846496,B (Core),0.75,Low,27.3,True,Rev:OK | Price:OK,True,15181616.256142296,0.3519230950526263,A,19457.595971078976,0.06,Star,Stock / Invest Marketing,Rev:OK | Price:OK | Strat:OK -> Eligible,53.596,True,5053.596,0,True,True,True,True
WHITE CAP 500ML LAGER CANS,BEER,KENYA BREWERIES LTD,0.905,4.0,31.235,0.0,228.38519434178667,7.59,214008.3463579712,983.9025,224708.76367586976,A (Staple),0.875,Low,14.8,True,Rev:OK | Price:OK,False,15395624.602500267,0.356883995021819,A,16243.233488570011,0.0722857142857142,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,157.9072285714286,True,5157.907228571428,0,True,True,True,True
AQUAMIST 20LT MINERAL WATER,MINERAL WATER,AQUAMIST LIMITED,0.905,4.0,12.2475,0.0,527.4720428413923,13.92,193806.41534099856,385.79625,203496.7361080485,A (Staple),1.0,Low,-12.4,True,Rev:OK | Price:OK,True,15589431.017841266,0.3613765966247784,A,26977.853015467,0.1325714285714285,Cash Cow,Stock Heavy / Never Out,Rev:OK | Price:OK | Strat:OK -> Eligible,76.52325714285715,True,5076.523257142857,0,True,True,True,True
ILARA FRESH MILK 500ML SATCHET,FRESH MILK,BROOKSIDE DAIRY LIMITED,0.905,1.0,110.61,0.0,56.22237605925135,-3.16,186562.71047741376,331.83,18656.27104774137,A (Staple),1.0,Low,16.9,True,Rev:OK | Price:OK,True,15775993.72831868,0.3657012828363704,A,-5895.381651086276,-0.3160000000000001,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,475.7884,True,5475.7884,0,True,True,True,True
BROOKSIDE 1LT UHT WHOLE MILK,FRESH MILK,BROOKSIDE DAIRY LIMITED,0.905,1.0,31.0325,0.0,155.40074349442378,1.54,144674.20717472117,93.0975,14467.420717472118,A (Staple),0.9375,Low,5.2,True,Rev:OK | Price:OK,True,15920667.935493402,0.3690549570370744,A,2227.982790490706,0.154,Standard,Review,Rev:OK | Price:OK | Strat:OK -> Eligible,155.1854,True,5155.1854,0,True,True,True,True
