DEPARTMENT,Asset_Value
SPIRITS,8590185.0
WINES,7961552.0
CHOCOLATES,4289740.0
COOKING OIL,2974238.0
COFFEE,2769117.0
BISCUITS,2236711.0
DETERGENTS,2219254.0
TOYS,1824302.0
PET DOG FOOD,1754207.0
BEER,1720248.0
CHEESE,1609323.0
RICE,1602353.0
CIGARETTES,1587300.0
HOUSEHOLD ITEMS,1578230.42
TOILET ROLL,1487379.0
DIAPERS,1361339.0
CRISPS,1328727.0
PET CAT FOOD,1255135.0
TETRA PACK JUICE,1250082.0
OLIVE OIL,1196339.0
FRESH GOURMET,1181416.8
SWEETS,1134566.0
XMAS ITEMS,1129048.0
READY TO EAT NUTS,1103426.0
FLOUR,1070480.0
TOILET CLEANER,1069828.0
ICE-CREAM,1034851.0
BEANS & LENTILS,1005005.0
PASTA,980846.0
MINERAL WATER,956932.0
SERVIETES,941645.0
GLASSWARE ITEMS,940947.0
FABRIC CONDITIONER,931316.0
SPICES,904593.0
TOOTHPASTES,872348.0
TEA,869516.0
BATH SOAP,864743.0
WOMEN/UNISEX SHOWER GEL,833031.0
BEVERAGES,816190.0
FROZEN GOURMET,783024.17
BREAKFAST CEREALS,777767.0
BUTTER,771553.0
COSMETICS,744097.0
SHAMPOOS/CONDITIONER,734230.0
EMPTIES/CRATES,727102.76
CANNED MEAT,717692.0
PARTY ITEMS,704911.0
DELI PRODUCT,700924.02
SUGAR,695448.5
READY TO DRINK,687974.0
CANNED FOOD,687624.0
MEDICARE,676661.0
CANDLES,674487.0
SODA,660311.0
MEXICAN FOOD,650589.0
SNACKS,647691.0
BLEACHES,644954.0
AIR FRESHNERS,640764.0
YOGHURT,614591.0
MARGARINE,609385.0
CLING FILMS & FOIL,605749.0
ALL CLEANERS,593342.0
WOMEN/UNISEX LOTION,592848.0
HONEY,573977.0
WASHING UP LIQUID,571620.0
PET ASSESORIES,565560.0
INDIAN FOOD/SNACKS/SWEETS,557708.7
BAR SOAP,551715.0
STATIONARIES,550779.0
