Category,Vendor,Barcode,Item Name,Current Stock,Sell Price,Avg Daily Sales,Total 10Mo Sales,Trend,Margin % (Intel),Revenue (Intel),Sales Rank,WAC,LPP,Financial Margin %,Supplier Risk Level,Quality Score,Expiry Returns (Val),Order Frequency,Avg Gap Days,Reliability Score
Diapers,ARYUV AGENCIES LTD,6164004645408,Aryuv Premium Adult Diapers 10S Medium,0,760,0.01,2,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,97.0,3227.68,bi_weekly,7.6,0.905
Diapers,ARYUV AGENCIES LTD,6164004645415,Aryuv Premium Adult Diapers 10S Large,0,780,0.0225,5,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,97.0,3227.68,bi_weekly,7.6,0.905
Diapers,ARYUV AGENCIES LTD,6164004645422,Aryuv Premium Adult Diapers 10S Xlarge,4,799,0.03,11,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,97.0,3227.68,bi_weekly,7.6,0.905
Diapers,BABY BRANDS DIRECTS LTD,4895248000310,R&F Premium Training Pants 28S Size 5 13-18Kg,7,1999,0.1525,48,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,4895248000327,R&F Premium Training Pants 32S Size 4 10-15Kg,6,1999,0.15,50,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,4895248000334,R&F Premium Training Pants 26S Size 6 15-20Kg,7,1999,0.185,57,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,4895248001676,Rascals 12S Cocomelon Swim Pants S3 13-18Kgs,5,1495,0.01,1,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,4895248001683,Rascals 16S Cocomelon Swim Pants S1 6-11Kgs,4,1495,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,4895248001690,Rascals 14S Cocomelon Swim Pants S2 10-15Kgs,6,1495,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,4897097260709,R&F Premium Junior Kids Nappy Diapers 30S Siz,28,1999,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,9421907143002,R&F Premium Newborn Nappy Diapers 54S Size 1,23,1999,0.0875,33,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,9421907143019,R&F Premium Infant Nappy Diapers 48S Size 2,28,1999,0.1525,52,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,9421907143026,R&F Premium Crawler Nappy Diapers 44S Size 3,20,1999,0.33,116,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,9421907143033,R&F Premium Toddler Nappy Diapers 36S Size 4,26,1999,0.27,95,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,BABY BRANDS DIRECTS LTD,9421907143064,R&F Premium Walker Kids Nappy Diapers 32S Siz,21,1999,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,99.0,1499.250001,bi_weekly,11.8,0.905
Diapers,CHANDARIA INDUSTRIES LTD HYGIENE,6161100762510,Velvex Conforta Adult Diapers Xtra Large 10S,0,1050,0.015,4,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,92.5,11731.499995,bi_weekly,7.3,0.905
Diapers,CHANDARIA INDUSTRIES LTD HYGIENE,6161100762527,Velvex Conforta Adult Diapers Large 10S,6,975,0.02,3,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,92.5,11731.499995,bi_weekly,7.3,0.905
Diapers,CHANDARIA INDUSTRIES LTD HYGIENE,6161100764095,Velvex Conforta Adult Pants 10S Large,-1,1065,0.25,84,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,92.5,11731.499995,bi_weekly,7.3,0.905
Diapers,CHANDARIA INDUSTRIES LTD HYGIENE,6161100764101,Velvex Conforta Adult Pants 10S Xtra Large,11,1065,0.0925,32,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,92.5,11731.499995,bi_weekly,7.3,0.905
Diapers,CHANDARIA INDUSTRIES LTD HYGIENE,6161100765757,Velvex Bedpads 10S 60Cm X 90Cm,17,775,0.32,116,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,92.5,11731.499995,bi_weekly,7.3,0.905
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7310797102300,Tena Slip Plus 30S Medium,3,4480,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7310797103307,Tena Slip Plus 30S Large,0,4910,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540016383,Tena Men 20S Active Fit Level 2,0,2175,0.01,1,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540053913,Tena Slip Plus 10S Medium,8,1610,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540054026,Tena Slip Plus 10S Large,3,1815,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540760064,Tena Pants Normal Large 10S,0,1850,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540760088,Tena Pants Normal Medium 10S,0,1625,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540887624,Tena Men Level 4 Medium 9S,3,1750,0.03,1,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540887648,Tena Men Level 4 Large 8S,0,1750,0.0425,4,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540920772,Tena Lady Pants Plus Medium 9S,-2,1750,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322540920796,Tena Lady Pants Plus Large 8S,2,1750,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,7322541395173,Tena Pants Normal Extra Large 15S,0,3500,0.035,4,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,8699114502443,Tena Slip Plus 30S Xlarge,0,5380,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,FINSBURY TRADING LIMITED MSA,6222022100221,Sanita Relax Adult Diapers Large 10S,0,1350,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,85.5,18593.395996,monthly,15.3,0.905
Diapers,FINSBURY TRADING LIMITED MSA,6773543221846,Sanita Relax Adult Diapers Medium 12S,0,1350,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,85.5,18593.395996,monthly,15.3,0.905
Diapers,HASBAH KENYA LTD P AND G,4015400677239,Pampers 10S Mini Btfy Unisex Lc,7,270,0.0425,16,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,4015400677291,Pampers 8S Maxi Btfy Unisex Lc,8,270,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,4015400677321,Pampers 8S Junior Btfy Unisex Lc,8,270,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090153890,Pampers 8S Pants Lc Midi,12,270,0.0275,8,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090153937,Pampers 8S Pants Lc Maxi,12,270,0.055,15,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090153975,Pampers 8S Pants Lc Junior,24,270,0.2475,91,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090474063,Pampers Premium Care S5 48S Junior Jumbo,0,2199,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090474421,Pampers Premium Care Jumbo S3 58S Midi,0,2199,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090474452,Pampers Premium Care Jumbo S4 52S Maxi,0,2199,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090697585,Pampers Pants Pc S3 Midi 56S,10,2192,0.065,23,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090697622,Pampers Pants Pc S4 Maxi 44S,13,2175,0.1875,66,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090697660,Pampers Pants Pc S5 Junior 40S,6,2175,0.345,126,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8001090697707,Pampers Pants Pc S6 Junior 36S,10,2175,0.24,99,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998519,Pampers Pants Midi Hc S3 28S,0,1149,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998526,Pampers Pants Maxi Hc S4 26S,4,1149,0.05,16,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998571,Pampers Pants Junior Hc S5 24S,15,1148,0.115,36,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998618,Pampers Pants Junior Hc S6 22S,10,1145,0.1075,43,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998670,Pampers Pants Jumbo Midi S3 58S,9,2192,0.035,12,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998724,Pampers Pants Jumbo Maxi S4 50S,9,2175,0.205,73,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998748,Pampers Pants Jumbo Junior S5 46S,8,2175,0.3675,135,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998779,Pampers Pants Jumbo Junior S6 48S,20,2175,0.4375,167,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998809,Pampers 34S Newborn Dry 2-5Kg,0,1149,0.02,2,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998854,Pampers 32S Mini Unisex Hc,4,1149,0.025,8,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998861,Pampers 30S Midi Unisex Hc,8,1149,0.0175,6,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998915,Pampers 28S Maxi Unisex Hc,7,1149,0.0475,19,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998953,Pampers Junior Unisex Hc 26S,10,1149,0.075,33,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540998977,Pampers 66S New Baby Dry Jumbo Pk,5,2175,0.1125,38,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540999004,Pampers 62S Mini  Unisex Jumbo,13,2175,0.0825,26,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540999042,Pampers 60S Midi Unisex Jumbo,13,2175,0.1075,42,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540999073,Pampers 48S Junior Unisex Jumbo,14,2175,0.1275,48,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540999103,Pampers 56S Maxi Unisex Jumbo,14,2175,0.145,64,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8006540999158,Pampers 44S Baby Junior Jumbo S6,5,2192,0.065,27,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HASBAH KENYA LTD P AND G,8700216569385,Pampers Pants Jumbo S7 40S,6,2175,0.1375,45,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,72.5,657768.2369139999,every_2_3_days,2.6,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6223006340701,Molfix Pants Xxl Hc 22*4 20+ Kg,3,999,0.165,62,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6223006340718,Molfix Pants Xxl Jumbo 44*3  20+Kg,2,1799,0.2225,84,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6223006345379,Molfix Pants Xxl Jumbo 36*3 25+Kg,0,1959,0.0725,31,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6223007652759,Molfix Baby Diaper Xxlarge No.6 48S Jumbo,2,1499,0.1025,39,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6223007653091,Molfix Newborn No1 50X4 Twin,3,1099,0.03,12,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6223007654807,Molfix Baby Diaper Xxlarge No.6 30S Twin,1,1099,0.06,20,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817536,Molfix Baby Diapers Hc 48S Small No.2,2,1099,0.0125,3,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817543,Molfix Baby Diapers Jumbo 72S Small No.2,2,1499,0.0125,2,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817567,Molfix Baby Diapers Hc 42S Medium No.3,2,1099,0.02,4,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817574,Molfix Baby Diapers Jumbo 66S Medium No.3,4,1499,0.0475,8,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817581,Molfix Diapers Day&Night Maxi 9.1-15Kg 8S,6,239,0.0425,13,declining,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817598,Molfix Baby Diapers Hc 40S Large No.4,0,1099,0.015,5,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817604,Molfix Baby Diapers Jumbo 64S Large No.4,6,1499,0.045,14,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817611,Molfix Baby Diapers Hc 36S Xlarge No.5,4,1099,0.02,6,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817628,Molfix Baby Diapers Jumbo 56S Xlarge No.5,0,1499,0.055,19,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817741,Molfix Pants Midi 9*8 S/Pack 6.1-9Kg,7,249,0.0125,4,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817758,Molfix Pants Midi 31*4 Twin 6.1-9Kg,1,999,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817765,Molfix Pants Midi 62*3 Jumbo 6.1-9Kg,4,1799,0.02,5,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817789,Molfix Pants Maxi 28*4 Twin 9.1-15Kg,7,999,0.0675,22,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817796,Molfix Pants Maxi 56*3 Jumbo 9.1-15Kg,4,1799,0.1225,48,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817819,Molfix Pants Junior 26 Twin S5 15-20Kg,0,999,0.0925,34,growing,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HAYAT KIMYA  K  H PRODUCTS LTD,6224008817826,Molfix Pants Junior 52 Jumbo S5 15-20Kg,0,1795,0.215,80,stable,0.0,0.0,N/A,0.0,0.0,0.0,LOW,98.0,2098.44,monthly,15.4,0.905
Diapers,HEALTHCARE DIRECT K LTD,6161103231433,Healthcare 10S Medium,5,950,0.0725,10,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,bi_weekly,11.7,0.905
Diapers,HEALTHCARE DIRECT K LTD,6161103231440,Healthcare 10S Large Adult Diapers,7,950,0.06,26,growing,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,bi_weekly,11.7,0.905
Diapers,HEALTHCARE DIRECT K LTD,6161103231457,Healthcare 8S X Large Adult Diapers,9,950,0.045,13,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,bi_weekly,11.7,0.905
Diapers,HEALTHY U IMPORTED 1C UK COSMETICS,8001090698346,Pampers Splashers Swim Pants 3-4,0,1495,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,HEALTHY U IMPORTED 1C UK COSMETICS,8001090698384,Pampers Splashers Swim Pants 4-5,0,1495,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0
Diapers,KIM FAY EAST AFRICA LTD,36000183399,Huggies Little Swimmers 4 S3-4 12S,0,1149,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053527574,Huggies Drynites Boys 4-7Yrs,2,1350,0.035,12,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053527581,Huggies Drynites Girls 4-7Yrs,5,1350,0.01,1,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053527598,Huggies Drynites Boy 8-15Yrs,2,1350,0.035,12,declining,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053527604,Huggies Drynites Girls 8-13Yrs,2,1350,0.0325,3,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053537795,Huggies Little Swimmers 2 S2-3 12S,0,1149,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053538426,Huggies Little Swimmers 5 S5-6 12S,0,1149,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053545356,Huggies Newborn Jumbo Size 2 64S,0,2200,0.0775,23,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053568638,Huggies Newborn Jumbo Size 1 64S,5,2200,0.0875,28,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053578996,Huggies 10S Dry Comfort Size 2,0,270,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053582559,Huggies Dry Comfort Pants Size 3 P31,6,1149,0.0,0,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053582566,Huggies Dry Comfort Pants Size 3 P62,3,2099,0.04,12,growing,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
Diapers,KIM FAY EAST AFRICA LTD,5029053582573,Huggies Dry Comfort Pants Size 4 P28,5,1149,0.0125,3,stable,0.0,0.0,N/A,0.0,0.0,0.0,MEDIUM,70.0,563906.4903380001,weekly,7.0,0.905
