Department,SKU_Count,Avg_Price,Avg_Daily_Sales,Total_Value,Capital_Weight,SKU_per_Million
AIR FRESHNERS,158,0.0,0.0809335443037974,0.0,0.0,1.3750822120315076
AIR/DEEP FRYERS,7,0.0,0.0157142857142857,0.0,0.0,0.0609213638241807
ALL CLEANERS,186,0.0,0.0933064516129032,0.0,0.0,1.6187676673282303
ANTISEPTIC,30,0.0,0.1058333333333333,0.0,0.0,0.2610915592464887
BABY COSMETICS,140,0.0,0.0694107142857142,0.0,0.0,1.2184272764836144
BABY FOODS,67,0.0,0.1087313432835821,0.0,0.0,0.5831044823171583
BABY ITEMS,41,0.0,0.0210365853658536,0.0,0.0,0.3568251309702013
BABY MILK,25,0.0,0.0445,0.0,0.0,0.2175762993720739
BAGS,27,5.555919751256899,4.529259259259259,2744039.0,0.0109739954138842,0.2349824033218399
BAKE WARE FOODS,155,0.4603005102185384,0.1716935483870967,110506.0,0.0004419369904023,1.3489730561068587
BAKE WARE ITEMS,59,0.0,0.0385169491525423,0.0,0.0,0.5134800665180946
BAKERY FOODPLUS,111,8.251569316036864,1.447509009009009,2647214.78,0.0105867747707983,0.9660387692120086
BAR SOAP,40,11.70269405840278,1.16625,1320634.98,0.0052815000857987,0.3481220789953184
BATH SOAP,314,0.0,0.1827707006369426,0.0,0.0,2.7327583201132493
BATTERIES,58,0.0,0.2226293103448275,0.0,0.0,0.5047770145432117
BEANS & LENTILS,95,0.0,0.3309736842105263,0.0,0.0,0.8267899376138812
BEDDINGS,6,0.0,0.02,0.0,0.0,0.0522183118492977
BEER,86,35.65612365962022,1.8746802325581395,15344367.61,0.0613653886774548,0.7484624698399345
BEVERAGES,70,1.5131218208466244,0.2836428571428571,175507.0,0.0007018898102776,0.6092136382418072
BISCUITS,654,0.8620806485392508,0.2536811926605504,1047630.0,0.0041896951229365,5.691795991573455
BLEACHES,85,0.0,0.1901764705882352,0.0,0.0,0.7397594178650516
BOOKS,25,0.0,0.0994999999999999,0.0,0.0,0.2175762993720739
BREAD,139,20.15846109622568,2.233075539568345,12805985.0,0.0512138568949898,1.2097242245087314
BREAKFAST CEREALS,184,0.0,0.1609510869565217,0.0,0.0,1.6013615633784646
BRUSHES & BROOMS,113,0.0,0.1059513274336283,0.0,0.0,0.9834448731617744
BUTTER,84,13.974145111032772,0.3374702380952381,2654604.0,0.0106163258327155,0.7310563658901686
CAKES,128,3.1796875,0.49798828125,627484.0,0.0025094419351495,1.113990652785019
CANDLES,138,0.0,0.0632427536231884,0.0,0.0,1.2010211725338484
CANNED DRINKS,78,2.5908727319192435,0.367724358974359,608285.1,0.0024326614518722,0.6788380540408708
CANNED FOOD,149,5.187694915220611,0.241996644295302,1498446.0,0.00599260416195,1.296754744257561
CANNED FRUITS,15,0.0,0.1911666666666666,0.0,0.0,0.1305457796232443
CANNED MEAT,78,0.0,0.1357692307692307,0.0,0.0,0.6788380540408708
CANNED MILK,13,0.0,0.2676923076923077,0.0,0.0,0.1131396756734784
CANNED SODA,42,9.210382340088705,1.2232738095238094,1933033.98,0.0077306138984914,0.3655281829450843
CAR ACCESSORIES,102,0.0,0.066813725490196,0.0,0.0,0.887711301438062
CARDS,31,0.0,0.0205645161290322,0.0,0.0,0.2697946112213717
CEREAL BARS,76,0.0,0.1197368421052631,0.0,0.0,0.661431950091105
CH. DRIED FRUIT/NUTS & SEEDS,40,0.0,0.06214,0.0,0.0,0.3481220789953184
CH. SPICES/OTHER ITEMS,64,0.0,0.0184703125,0.0,0.0,0.5569953263925095
CHEESE,264,3.780479170296378,0.2218181818181818,1439421.0,0.0057565506367251,2.2976057213691017
CHEVDA,53,1.1712780348878604,0.2699056603773584,82253.0,0.0003289472360918,0.4612617546687969
CHEWING GUM,142,2.176036073303715,0.5355281690140845,974751.0,0.0038982365059968,1.2358333804333803
CHINESS & THAI SAUCE,176,0.0,0.0414204545454545,0.0,0.0,1.5317371475794008
CHOCOLATES,608,3.6275165047435887,0.3248149671052632,6593399.0,0.0263684045262874,5.29145560072884
CIDERS,43,21.968077816910316,0.656046511627907,1659209.37,0.0066355310609848,0.3742312349199672
CIGARETTES,68,25.95591261901526,0.8442279411764707,10888218.0,0.0435442988956688,0.5918075342920412
CLING FILMS & FOIL,39,0.0,0.3291666666666666,0.0,0.0,0.3394190270204354
