Store_Name,Latitude,Longitude,Chain,Source
Carrefour,-4.290829,39.585272,Carrefour,OSM_Overpass
Carrefour,-4.037893,39.706724,Carrefour,OSM_Overpass
Carrefour,-4.020321,39.720707,Carrefour,OSM_Overpass
Carrefour,-1.320901,36.704312,Carrefour,OSM_Overpass
Carrefour,-1.30218,36.825608,Carrefour,OSM_Overpass
Carrefour,-1.29841,36.763384,Carrefour,OSM_Overpass
Carrefour,-1.29504,36.809599,Carrefour,OSM_Overpass
Carrefour,-1.281659,36.816937,Carrefour,OSM_Overpass
Carrefour,-1.260903,36.801831,Carrefour,OSM_Overpass
Carrefour,-1.256661,36.802824,Carrefour,OSM_Overpass
Carrefour,-1.227898,36.805563,Carrefour,OSM_Overpass
Carrefour,-1.220083,36.889074,Carrefour,OSM_Overpass
Carrefour,-1.211195,36.794864,Carrefour,OSM_Overpass
Carrefour,-0.104131,34.752721,Carrefour,OSM_Overpass
Carrefour,-0.098326,34.762576,Carrefour,OSM_Overpass
chandarana food plus,-4.307484,39.57747,Chandarana,OSM_Overpass
Chandarana Foodplus,-4.049547,39.686006,Chandarana,OSM_Overpass
chandarana food plus,-4.023782,39.624654,Chandarana,OSM_Overpass
Chandarana Super Market,-1.440038,36.982208,Chandarana,OSM_Overpass
Chandarana Food Plus Supermarkets Ltd.,-1.323348,36.706845,Chandarana,OSM_Overpass
Foodplus Chandarana Adlife,-1.294451,36.787231,Chandarana,OSM_Overpass
Chandarana Supermarket,-1.293289,36.787608,Chandarana,OSM_Overpass
Chandarana Foodplus Supermarket (Lavington Branch),-1.280214,36.770424,Chandarana,OSM_Overpass
Chandarana Supermarket,-1.274198,36.819074,Chandarana,OSM_Overpass
Chandarana Foodplus Riverside Square,-1.268932,36.789378,Chandarana,OSM_Overpass
Chandarana market,-1.264431,36.78771,Chandarana,OSM_Overpass
Chandarana Supermarket,-1.261113,36.839233,Chandarana,OSM_Overpass
HassConsult Ltd;Chandarana Food Plus Supermarkets Ltd.,-1.259828,36.777299,Chandarana,OSM_Overpass
Chandarana Food Plus Supermarket Ltd.,-1.259385,36.817866,Chandarana,OSM_Overpass
Chandarana Food Plus Supermarket Ltd.,-1.258356,36.818457,Chandarana,OSM_Overpass
Chandarana,-1.22484,36.790807,Chandarana,OSM_Overpass
Chandarana FoodPlus Roslyn Riviera,-1.215895,36.799616,Chandarana,OSM_Overpass
Chandarana FoodPlus,-0.106897,34.752068,Chandarana,OSM_Overpass
Choppies Supermarket Kiambu,-1.164998,36.824321,Choppies,OSM_Overpass
Choppies Supermarket,-0.67515,34.773462,Choppies,OSM_Overpass
Choppies,-0.367365,35.283821,Choppies,OSM_Overpass
Choppies,-0.116943,34.787562,Choppies,OSM_Overpass
Cleanshelf Supermarket,-1.461783,37.011732,Cleanshelf,OSM_Overpass
Cleanshelf,-1.396785,36.753022,Cleanshelf,OSM_Overpass
Cleanshelf Supermarket,-1.32415,36.78283,Cleanshelf,OSM_Overpass
Cleanshelf Supermarket,-1.296389,36.840371,Cleanshelf,OSM_Overpass
Cleanshelf,-1.281021,36.905873,Cleanshelf,OSM_Overpass
Cleanshelf Supermarket,-1.267391,36.905203,Cleanshelf,OSM_Overpass
Cleanshelf Supermarket,-1.207333,36.785803,Cleanshelf,OSM_Overpass
Cleanshelf Supermarket,-1.197492,36.927048,Cleanshelf,OSM_Overpass
Cleanshelf Kahawa West,-1.18382,36.901343,Cleanshelf,OSM_Overpass
Cleanshelf Supermarkets,-1.170136,36.827328,Cleanshelf,OSM_Overpass
Cleanshelf supermarket,-1.108941,36.643337,Cleanshelf,OSM_Overpass
Cleanshelf Supermarket,0.034628,36.364739,Cleanshelf,OSM_Overpass
EastMatt Kajiado,-1.841598,36.785323,Eastmatt,OSM_Overpass
EastMatt Supermarket,-1.475668,36.959105,Eastmatt,OSM_Overpass
Eastmatt,-1.28224,36.823739,Eastmatt,OSM_Overpass
Eastmatt,-1.281165,36.824975,Eastmatt,OSM_Overpass
Eastmatt,-1.266918,37.318247,Eastmatt,OSM_Overpass
Eastmatt,-0.49907,36.323311,Eastmatt,OSM_Overpass
Jaza supermarket,-1.274984,36.794758,Jaza,OSM_Overpass
Jaza,-1.229345,36.760692,Jaza,OSM_Overpass
Magunas Utawala,-1.279245,36.965925,Magunas,OSM_Overpass
Magunas Supermarket,-1.257242,36.924425,Magunas,OSM_Overpass
Magunas Supermarket Kahawa Wendani,-1.196411,36.924343,Magunas,OSM_Overpass
Magunas Shopping Mall,-0.665026,37.207679,Magunas,OSM_Overpass
Magunas Supermarket,0.058548,37.643658,Magunas,OSM_Overpass
The Gate Mall Outlets -Naivas Ukunda,-4.281285,39.566279,Naivas,OSM_Overpass
Naivas Likoni Mall,-4.074737,39.665624,Naivas,OSM_Overpass
Naivas Mwembe Tayari,-4.057078,39.669983,Naivas,OSM_Overpass
Naivas,-4.042917,39.682598,Naivas,OSM_Overpass
Naivas,-4.042895,39.644924,Naivas,OSM_Overpass
Naivas,-4.021555,39.719369,Naivas,OSM_Overpass
Naivas Bamburi,-4.002547,39.701895,Naivas,OSM_Overpass
Naivas The Hub,-3.999223,39.701814,Naivas,OSM_Overpass
Naivas,-3.63212,39.847606,Naivas,OSM_Overpass
Naivas Supermarket,-1.521629,37.264437,Naivas,OSM_Overpass
Naivas Supermarket - Kitengela,-1.478849,36.958133,Naivas,OSM_Overpass
