sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 600G FAMILY WHITE BREAD,460,36800.27031719533,DPL FESTIVE  LIMITED,2,1,4
NATURES 600G WHITE BREAD,344,27520.272303679052,DPL FESTIVE  LIMITED,2,1,4
EXE 2KG ALL PURPOSE FLOUR,524,67120.11578843303,UNGA LTD,2,1,4
TUZO 450ML ESL WHOLE MILK 30DAYS,307,13630.75523149836,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,275,6600.10090585942,GITHUNGURI DAIRY FARMERS,2,1,4
BIO 1L FRESH WHOLE MILK,236,32262.520300751883,BIO FOOD PRODUCTS LTD,2,1,4
JOGOO 2KG MAIZE MEAL,370,42921.92806570377,UNGA LTD,2,1,4
KABRAS 2KG WHITE SUGAR,347,88797.597414641,WEST KENYA SUGAR COMPANY LTD,2,1,4
NUTRAMEAL 1KG SUGAR,339,46737.5346080306,KAMILI PACKERS SUGAR ONLY,2,1,4
KABRAS 1KG WHITE SUGAR,296,39628.780983823046,WEST KENYA SUGAR COMPANY LTD,2,1,4
NUTRAMEAL 2KG SUGAR,270,72028.02154674876,KAMILI PACKERS SUGAR ONLY,2,1,4
FESTIVE 600G FAMILY BRWN BREAD,115,9200.022772277229,DPL FESTIVE  LIMITED,2,1,4
BIO 2L SEMI SKIMMED FRESH MILK,113,27627.306610481963,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 400G FINEST SUPER SEEDED BREAD,108,11232.023225806452,DPL FESTIVE  LIMITED,2,1,4
FRESHA 5L WHOLE MILK,107,42755.03908794788,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 300G 6S PREM SESSAME SLICED BURGER BUNS,95,9880.0,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 300G 6S DELUXE ROLLS,94,9024.0,DPL FESTIVE  LIMITED,2,1,4
BIO 1L FRESH SEMI SKIMMED MILK,88,11058.536296296297,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 300G 6S PREM PLAIN BURGER BUNS,83,7968.0,DPL FESTIVE  LIMITED,2,1,4
RINSUN 5LT SUNFLOWER OIL,98,124653.26748238785,KAPA OIL REFINERIES LTD,2,1,4
MUMIAS 2KG SUGAR,88,22583.51716540122,Unknown,2,1,4
BIO 1L BARISTA FRESH MILK,47,6729.8125,BIO FOOD PRODUCTS LTD,2,1,4
HOSTESS 2KG FLOUR,70,8483.94119291802,UNGA LTD,2,1,4
MUMIAS 1KG SUGAR,69,8936.038259506078,Unknown,2,1,4
RINSUN 3LT SUNFLOWER OIL,65,56882.3937007874,KAPA OIL REFINERIES LTD,2,1,4
RINSUN 2LT SUNFLOWER OIL,65,39396.672566371686,KAPA OIL REFINERIES LTD,2,1,4
EXE 2KG CHAPATI FLOUR,64,8667.986440677965,UNGA LTD,2,1,4
EXE 2KG SELF RAISING,61,8543.199010513295,UNGA LTD,2,1,4
EXE 1KG ALL PURPOSE,60,4109.467411545624,UNGA LTD,2,1,4
FRESHA 2LT WHOLE MILK,38,6384.0,GITHUNGURI DAIRY FARMERS,2,1,4
BIO 1L FRESH SKIMMED MILK,37,4554.980858085809,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 350G SLICED SUB ROLLS 4S,36,4032.0,DPL FESTIVE  LIMITED,2,1,4
NATURES 600G BROWN BREAD,34,2720.0,DPL FESTIVE  LIMITED,2,1,4
WHITE CAP 500ML LAGER CANS,865,158042.55448451638,KENYA BREWERIES LTD,2,1,4
COKE PET 350ML,555,21580.29442186923,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 500ML MINERAL WATER,497,19620.454396642188,AQUAMIST LIMITED,2,1,4
DUNHILL 20S SWITCH,472,177472.0,NOBLE OUTLOOK LIMITED,2,1,4
TUSKER CAN 500ML BEER,471,80144.48459778116,KENYA BREWERIES LTD,2,1,4
EMBASSY BY DUNHILL BLUE 20S,460,169280.46566202692,NOBLE OUTLOOK LIMITED,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL,446,213593.45257267973,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 500ML,434,23084.591293263038,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 330ML CAN,404,31212.05643015233,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 500ML PET,395,20595.42925890279,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LTR SPARKLING WATER,383,29117.93488618317,AQUAMIST LIMITED,2,1,4
SCHWEPPES TONIC WATER 500ML PET,362,21976.297219882057,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 20LT MINERAL WATER,337,142206.46275003935,AQUAMIST LIMITED,2,1,4
COKE 330ML CAN,315,24583.801065719366,COCA COLA BEVERAGES KENYA LTD,2,1,4
TUSKER 500ML LAGER BEER,295,49324.00000000001,KENYA BREWERIES LTD,2,1,4
COCA COLA 300ML,294,9408.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COCA COLA 300ML EMPTY BOTTLE,294,3528.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 500ML SPARKLING WATER,293,16149.50212730723,AQUAMIST LIMITED,2,1,4
WHITE CAP 500ML LAGER BEER,285,54492.00000000001,KENYA BREWERIES LTD,2,1,4
ISINYA 6S EGGS,283,28344.84994411037,ISINYA FEEDS LIMITED,2,1,4
BIO 150ML VANILLA YOGHURT,165,15347.092984097288,BIO FOOD PRODUCTS LTD,2,1,4
SPRITE PET 350ML,270,10504.155929694729,COCA COLA BEVERAGES KENYA LTD,2,1,4
SCHWEPPES SODA WATER 500ML PET,269,16284.274076679567,COCA COLA BEVERAGES KENYA LTD,2,1,4
GUINNESS 500ML CAN,261,47750.74517509221,KENYA BREWERIES LTD,2,1,4
BALOZI 500ML CAN,248,40778.37609358613,KENYA BREWERIES LTD,2,1,4
TUSKER LITE 500ML CAN,240,49645.69201938611,KENYA BREWERIES LTD,2,1,4
ISINYA 30S EGGS,230,99596.0687361419,ISINYA FEEDS LIMITED,2,1,4
SPRITE PET 500ML,224,11843.883987326346,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 2LTS,218,28709.733013895548,COCA COLA BEVERAGES KENYA LTD,2,1,4
FANTA ORANGE PET 350ML,201,7828.206749014455,COCA COLA BEVERAGES KENYA LTD,2,1,4
SPRITE 330ML CAN REGULAR,200,15444.611405055846,COCA COLA BEVERAGES KENYA LTD,2,1,4
KERINGET 1LT MINERAL WATER,197,13690.210654490109,COCA COLA BEVERAGES KENYA LTD,2,1,4
DASANI 500ML MINERAL WATER,196,5266.646864024084,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LT MINERAL WATER,195,11936.704945992042,AQUAMIST LIMITED,2,1,4
ISINYA 15S EGGS,195,48392.994215415514,ISINYA FEEDS LIMITED,2,1,4
PICK N PEEL 250ML MANGO,195,11038.97831604637,KEVIAN KENYA LTD,2,1,4
TENA 10S WHITE TOILET ROLLS,194,69945.36631695196,AFRICAN COTTON INDUSTRIES LTD,2,1,4
DUNHILL 20S DOUBLE CAP,184,69184.0,NOBLE OUTLOOK LIMITED,2,1,4
BIO 150ML STRAWBERRY YOGHURT,108,10214.347022945105,BIO FOOD PRODUCTS LTD,2,1,4
FANTA ORANGE PET 500ML,183,9671.500427715997,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML TROPICAL MIX,180,10195.27659574468,KEVIAN KENYA LTD,2,1,4
PREDATOR 400ML ENERGY DRINK PET,178,8966.283396051105,COCA COLA BEVERAGES KENYA LTD,2,1,4
VELVEX 100S WHITE SERVIETTES,178,16546.224431075072,CHANDARIA INDUSTRIES  LTD,2,1,4
KNORR 51G 6S CHICKEN CUBES,178,13420.351133352959,UNILEVER KENYA LIMITED,2,1,4
BIO 150ML NATURAL YOGHURT,101,9323.454285714286,BIO FOOD PRODUCTS LTD,2,1,4
COKE 1.25L PET,165,16871.376674289448,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML APPLE,163,9280.04315352697,KEVIAN KENYA LTD,2,1,4
PICK N PEEL 250ML PINEAPPLE JUICE,160,9037.850578744301,KEVIAN KENYA LTD,2,1,4
AQUAMIST 1.5LT MINERAL WATER,161,11882.091842900303,AQUAMIST LIMITED,2,1,4
FANTA ORANGE PET 2LTS,160,19645.770740975306,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML,158,5056.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML EMPTY BOTTLE,158,1896.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
FANTA BLACKCURRANT PET 500ML,158,8364.313251411491,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 2L PET,157,20796.733512064344,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUACLEAR 500ML MINERAL WATER,156,3903.6156127080185,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
DASANI 1L MINERAL WATER,155,7160.512884978002,COCA COLA BEVERAGES KENYA LTD,2,1,4
ILARA 500ML TNC PLAIN CUP,90,8456.499310344829,BROOKSIDE DAIRY LIMITED,2,1,4
KERINGET 1LT SPARKLING MINERAL WATER,153,12891.951498061335,COCA COLA BEVERAGES KENYA LTD,2,1,4
SUNLIGHT 175G PURE SOAP YELLOW,150,8548.90890890891,UNILEVER KENYA LIMITED,2,1,4
SPRITE SODA PET 2LTS,148,18238.447455467052,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 200ML GREEK STYLE YOGHURT VANILLA,84,11575.355555555556,BIO FOOD PRODUCTS LTD,2,1,4
FANTA BLACK CURRANT 350ML PET,142,5519.326929446837,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 5LT MINERAL WATER,141,24142.227396305327,AQUAMIST LIMITED,2,1,4
FANTA BLACKCURRANT PET 2LTS,141,17238.133974579185,COCA COLA BEVERAGES KENYA LTD,2,1,4
OREO 55.2G ORIGINAL COOKIES,140,7695.971295299606,HASBAH KENYA LTD CADBURY,2,1,4
VELVEX SNOW WHITE 10 PACK,139,50843.55837104072,CHANDARIA INDUSTRIES  LTD,2,1,4
PILSNER 500ML LAGER BEER,139,23240.800000000003,KENYA BREWERIES LTD,2,1,4
BIO 150ML BERRY COCKTAIL YOGHURT,81,7224.8264411990785,BIO FOOD PRODUCTS LTD,2,1,4
ROTHMANS SWITCH BLUE 20S,110,32120.069758224334,NOBLE OUTLOOK LIMITED,2,1,4
ISINYA 12S EGGS,108,21787.367815608573,ISINYA FEEDS LIMITED,2,1,4
PICK N PEEL 250ML ORANGE JUICE,108,8177.736084549574,KEVIAN KENYA LTD,2,1,4
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,74,5498.160878405856,BROOKSIDE DAIRY LIMITED,2,1,4
HEINEKEN 500ML CAN BEER,105,23908.257801899596,KENYA WINE AGENCIES KWAL,2,1,4
BIO 90ML NATURAL Y0GHURT,71,4487.2,BIO FOOD PRODUCTS LTD,2,1,4
PICK N PEEL 1L ORANGE JUICE,102,26660.36326002587,KEVIAN KENYA LTD,2,1,4
PICK N PEEL 1LT APPLE,99,20477.359599846095,KEVIAN KENYA LTD,2,1,4
DAIMA 500ML NATURAL PROBIOTIC CUP,69,6537.659685863875,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
FANTA PASSION PET 2LTS,97,11851.035343736821,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 150ML MANGO YOGHURT,66,6250.326436781609,BIO FOOD PRODUCTS LTD,2,1,4
ROYCO 4G 40S BEEF CUBES,93,10209.681244281794,UNILEVER KENYA LIMITED,2,1,4
KCC 500ML FILPACK MALA,64,3321.7758733115975,NEW KENYA COOP CREAMERIES  LTD,2,1,4
FANTA PASSION 500ML PET,90,4789.155886458819,COCA COLA BEVERAGES KENYA LTD,2,1,4
OREO 31.3G ENROBED,90,4607.581047381546,HASBAH KENYA LTD CADBURY,2,1,4
BLUE BAND 500G MED FAT SPREAD,88,19326.3851047803,SUPER SAVERS DISTRIBUTION LTD,2,1,4
GREEN FARM 30S Y/YORK EGGS,86,38536.356409025444,GREEN FARM POULTRY,2,1,4
MINUTE MAID 400ML APPLE JUICE,86,5431.352045572243,COCA COLA BEVERAGES KENYA LTD,2,1,4
FESTIVE TORTILLA WRAP 8 INCH,85,18663.61044176707,DPL FESTIVE  LIMITED,2,1,4
SOFTLEAF 10S VIRGIN TOILET PAPER,84,29021.141170038274,KAPA OIL REFINERIES LTD,2,1,4
SAVANA DRY PREMIUM CIDER 340ML,84,19040.624148606814,KENYA WINE AGENCIES KWAL,2,1,4
FC 200G (30D) FRESH SANDWICH HAM,58,13625.045833333335,FARMERS CHOICE LTD,2,1,4
KNORR 51G 6S BEEF CUBES,83,6228.862893081761,UNILEVER KENYA LIMITED,2,1,4
BLUE BAND 1KG MED FAT SPREAD,83,31780.629962518025,SUPER SAVERS DISTRIBUTION LTD,2,1,4
FC 200G (30D) FRESH STREAKY BACON,57,20248.89483282675,FARMERS CHOICE LTD,2,1,4
PICK N PEEL 1LT TROPICAL MIX,81,16862.132077249174,KEVIAN KENYA LTD,2,1,4
OREO 26.25G ORIGINAL,80,2833.6551724137935,HASBAH KENYA LTD CADBURY,2,1,4
MINUTE MAID 1L APPLE JUICE,80,9226.379310344828,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 90ML VANILLA,56,3539.2000000000003,BIO FOOD PRODUCTS LTD,2,1,4
BROOKSIDE 250ML VANILLA,55,3020.0272263187753,BROOKSIDE DAIRY LIMITED,2,1,4
STIMOROL 14G 10S WILD BERRY,78,4056.263768115942,HASBAH KENYA LTD CADBURY,2,1,4
FC 1KG (14D) FRESH PORK VALUE PACK,54,30288.38057686212,FARMERS CHOICE LTD,2,1,4
JIAN 30 PACK YELLOW YOLK EGGS,76,29875.56701797892,JIAN CEREALS DEPOT,2,1,4
BROOKSIDE 1LT NATURAL YOGHURT,52,9360.0,BROOKSIDE DAIRY LIMITED,2,1,4
BALOZI 500ML BEER,74,12304.243561643834,KENYA BREWERIES LTD,2,1,4
OREO 128G ORIGINAL,74,9173.874871794871,HASBAH KENYA LTD CADBURY,2,1,4
TENA 100S SERVIETTES WHITE,74,5897.600000000002,AFRICAN COTTON INDUSTRIES LTD,2,1,4
BROOKSIDE 250ML STRAWBERRY,51,2798.9510889856874,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 250G NATURAL PROBIOTIC YOGHURT,50,3715.9032076533485,BROOKSIDE DAIRY LIMITED,2,1,4
FC 125G (30D) FRESH NYAMABITE,50,3684.885126964933,FARMERS CHOICE LTD,2,1,4
FC 500G (14D) FRESH CLASSIC PORK SAUSAGE,50,14719.048185603808,FARMERS CHOICE LTD,2,1,4
OXYRICH 1L SPRING WATER,70,2610.48934796643,AQUAMIST LIMITED,2,1,4
CADBURY 90G DRINKING CHOCOLATE SACHET,71,6016.172359686179,HASBAH KENYA LTD CADBURY,2,1,4
BROOKSIDE 450G NATURAL PROBIOTIC YOGHURT,48,6084.676160990712,BROOKSIDE DAIRY LIMITED,2,1,4
LEADAV YELLOW YOLK EGGS 30PACK TRAY,68,26548.373045822103,LEADAV POULTRY FARM LTD,2,1,4
BROOKSIDE 1L SWEETEND LALA BOTTLE,47,6730.400000000001,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT STRAWBERRY,46,3409.5484536082477,BROOKSIDE DAIRY LIMITED,2,1,4
BIO 500ML COOKING CREAM LONG LIFE,46,12979.322561340516,BIO FOOD PRODUCTS LTD,2,1,4
FAY TOILET PAPER WHITE 10S,65,23928.486860304292,KIM FAY EAST AFRICA LTD,2,1,4
