sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),4479,195963.2160332206,BROOKSIDE DAIRY LIMITED,7,10
ILARA FRESH MILK 500ML SATCHET,1327,59685.674424501245,BROOKSIDE DAIRY LIMITED,7,10
TUZO 500ML FRESH MILK (POUCH),724,34172.83747290784,BROOKSIDE DAIRY LIMITED,7,10
BROOKSIDE 500ML TR FRESH MILK,676,35136.93345227476,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 400G MILKY WHITE SLICED,394,20488.091272369264,DPL FESTIVE  LIMITED,7,10
BIO 2L WHOLE FRESH MILK,379,96530.29907209137,BIO FOOD PRODUCTS LTD,7,10
BROOKSIDE 1LT UHT WHOLE MILK,372,46247.26126394052,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 800G WHITE MILKY BREAD,351,36504.0,DPL FESTIVE  LIMITED,7,10
FRESHA 500ML WHOLE MILK POUCH,347,15774.417738830249,GITHUNGURI DAIRY FARMERS,7,10
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,341,13946.740828675156,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 600G FAMILY WHITE BREAD,336,26880.197449081807,DPL FESTIVE  LIMITED,7,10
NATURES 400G GOLD WHITE,329,17108.09226670406,DPL FESTIVE  LIMITED,7,10
TUZO 450ML ESL WHOLE MILK 90DAYS,312,11466.614226669566,BROOKSIDE DAIRY LIMITED,7,10
SOKO 2KG MAIZE MEAL,305,35659.80748365558,CAPWELL INDUSTRIES LTD,7,10
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,297,17968.357713190675,BROOKSIDE DAIRY LIMITED,7,10
DAIMA 500ML WHOLE ESL POUCH,284,11120.807580692923,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
AJAB 2KG HOME BAKING FLOUR,255,32574.42107429512,GRAIN INDUSTRIES LIMITED,7,10
DAIMA 500ML FINO MAZIWA BORA,253,9645.73580939033,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
LATO 500ML ESL MILK 90DAYS,256,10545.1384967033,MUSTY DISTRIBUTION LIMITED,7,10
NATURES 600G WHITE BREAD,253,20240.200269856978,DPL FESTIVE  LIMITED,7,10
BROOKSIDE 250ML UHT WHOLE MILK,247,8299.29521056182,BROOKSIDE DAIRY LIMITED,7,10
DAIMA 450ML ESL MAZIWA BORA,236,8449.107260891338,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
EXE 2KG ALL PURPOSE FLOUR,225,28820.66040533861,UNGA LTD,7,10
TUZO 450ML ESL WHOLE MILK 30DAYS,225,9989.967189208897,BROOKSIDE DAIRY LIMITED,7,10
FRESHA MAISHA 250ML LONG LIFE MILK,201,4824.073753009976,GITHUNGURI DAIRY FARMERS,7,10
MT KENYA 500ML ESL UHT MILK,193,8797.965173210161,MERU CENTRAL DAIRY COOPERATIVE UNION LIMITED,7,10
FRESHA MAISHA 500ML LONG LIFE MILK,184,8162.801027774379,GITHUNGURI DAIRY FARMERS,7,10
BIO 1L FRESH WHOLE MILK,173,23650.067847585065,BIO FOOD PRODUCTS LTD,7,10
JOGOO 2KG MAIZE MEAL,157,18212.818125177004,UNGA LTD,7,10
LATO 500ML FINO UHT MILK 180DAYS,157,6306.79695863747,MUSTY DISTRIBUTION LIMITED,7,10
KABRAS 2KG WHITE SUGAR,147,37617.42599409864,WEST KENYA SUGAR COMPANY LTD,7,10
