sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FRESHA 500ML WHOLE MILK POUCH,313,14228.797556927573,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,456,36480.26796661103,DPL FESTIVE  LIMITED,2,1,4
NATURES 600G WHITE BREAD,340,27200.2691373572,DPL FESTIVE  LIMITED,2,1,4
EXE 2KG ALL PURPOSE FLOUR,521,66735.84031636185,UNGA LTD,2,1,4
TUZO 450ML ESL WHOLE MILK 30DAYS,304,13497.555668975576,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,270,6480.099071207431,GITHUNGURI DAIRY FARMERS,2,1,4
BIO 1L FRESH WHOLE MILK,233,31852.403517267747,BIO FOOD PRODUCTS LTD,2,1,4
JOGOO 2KG MAIZE MEAL,367,42573.9124327386,UNGA LTD,2,1,4
KABRAS 2KG WHITE SUGAR,344,88029.89484333286,WEST KENYA SUGAR COMPANY LTD,2,1,4
NUTRAMEAL 1KG SUGAR,336,46323.92810707457,KAMILI PACKERS SUGAR ONLY,2,1,4
KABRAS 1KG WHITE SUGAR,293,39227.13793331133,WEST KENYA SUGAR COMPANY LTD,2,1,4
NUTRAMEAL 2KG SUGAR,267,71227.71019622932,KAMILI PACKERS SUGAR ONLY,2,1,4
FESTIVE 600G FAMILY BRWN BREAD,112,8960.022178217823,DPL FESTIVE  LIMITED,2,1,4
BIO 2L SEMI SKIMMED FRESH MILK,110,26893.838293389523,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 400G FINEST SUPER SEEDED BREAD,105,10920.022580645162,DPL FESTIVE  LIMITED,2,1,4
FRESHA 5L WHOLE MILK,104,41556.2996742671,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 300G 6S PREM SESSAME SLICED BURGER BUNS,92,9568.0,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 300G 6S DELUXE ROLLS,91,8736.0,DPL FESTIVE  LIMITED,2,1,4
BIO 1L FRESH SEMI SKIMMED MILK,85,10681.540740740742,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 300G 6S PREM PLAIN BURGER BUNS,80,7680.0,DPL FESTIVE  LIMITED,2,1,4
BROADWAY 400G WHITE SLICED BREAD,80,4160.0,BROADWAYS BAKERY LTD,2,1,4
RINSUN 5LT SUNFLOWER OIL,95,120837.35113088618,KAPA OIL REFINERIES LTD,2,1,4
MUMIAS 2KG SUGAR,85,21813.62453476254,Unknown,2,1,4
BROADWAY 400G NATURAL BROWN BREAD,55,2860.106485963214,BROADWAYS BAKERY LTD,2,1,4
BIO 1L BARISTA FRESH MILK,44,6300.25,BIO FOOD PRODUCTS LTD,2,1,4
HOSTESS 2KG FLOUR,67,8120.343713221534,UNGA LTD,2,1,4
KINGSMIL 400G KUBWA WAO WHITE BREAD,43,2236.0,KENAFRIC BAKERY LTD,2,1,4
MUMIAS 1KG SUGAR,65,8418.00705605645,Unknown,2,1,4
RINSUN 3LT SUNFLOWER OIL,61,53381.93870381587,KAPA OIL REFINERIES LTD,2,1,4
RINSUN 2LT SUNFLOWER OIL,61,36972.261946902654,KAPA OIL REFINERIES LTD,2,1,4
EXE 2KG CHAPATI FLOUR,60,8126.237288135592,UNGA LTD,2,1,4
KINGSMIL 200G SLICED WHITE BREAD,38,1064.0866590649941,KENAFRIC BAKERY LTD,2,1,4
BROADWAYS 600G WHITE BREAD,37,2930.5693579148124,BROADWAYS BAKERY LTD,2,1,4
EXE 2KG SELF RAISING,57,7982.989239332096,UNGA LTD,2,1,4
EXE 1KG ALL PURPOSE,56,3835.5029174425827,UNGA LTD,2,1,4
FRESHA 2LT WHOLE MILK,34,5712.0,GITHUNGURI DAIRY FARMERS,2,1,4
BIO 1L FRESH SKIMMED MILK,33,4062.5504950495047,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 350G SLICED SUB ROLLS 4S,32,3584.0,DPL FESTIVE  LIMITED,2,1,4
KINGSMIL 400G KUBWA WAO BROWN BREAD,32,1664.0,KENAFRIC BAKERY LTD,2,1,4
NATURES 600G BROWN BREAD,30,2400.0,DPL FESTIVE  LIMITED,2,1,4
BROADWAY 800G WHITE SANDWICH SLICED BREAD,28,2912.034674922601,BROADWAYS BAKERY LTD,2,1,4
WHITE CAP 500ML LAGER CANS,865,158042.55448451638,KENYA BREWERIES LTD,2,1,4
COKE PET 350ML,555,21580.29442186923,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 500ML MINERAL WATER,497,19620.454396642188,AQUAMIST LIMITED,2,1,4
DUNHILL 20S SWITCH,472,177472.0,NOBLE OUTLOOK LIMITED,2,1,4
TUSKER CAN 500ML BEER,471,80144.48459778116,KENYA BREWERIES LTD,2,1,4
EMBASSY BY DUNHILL BLUE 20S,460,169280.46566202692,NOBLE OUTLOOK LIMITED,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL,446,213593.45257267973,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 500ML,435,23137.78159578208,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 330ML CAN,404,31212.05643015233,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 500ML PET,395,20595.42925890279,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LTR SPARKLING WATER,383,29117.93488618317,AQUAMIST LIMITED,2,1,4
SCHWEPPES TONIC WATER 500ML PET,362,21976.297219882057,COCA COLA BEVERAGES KENYA LTD,2,1,4
KRACKLES PERFECTLY SALTED 30G,339,11202.289391304348,PROPACK KENYA LTD,2,1,4
AQUAMIST 20LT MINERAL WATER,337,142206.46275003935,AQUAMIST LIMITED,2,1,4
COKE 330ML CAN,315,24583.801065719366,COCA COLA BEVERAGES KENYA LTD,2,1,4
TUSKER 500ML LAGER BEER,295,49324.00000000001,KENYA BREWERIES LTD,2,1,4
COCA COLA 300ML,294,9408.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COCA COLA 300ML EMPTY BOTTLE,294,3528.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 500ML SPARKLING WATER,293,16149.50212730723,AQUAMIST LIMITED,2,1,4
WHITE CAP 500ML LAGER BEER,285,54492.00000000001,KENYA BREWERIES LTD,2,1,4
ISINYA 6S EGGS,283,28344.84994411037,ISINYA FEEDS LIMITED,2,1,4
BIO 150ML VANILLA YOGHURT,165,15347.092984097288,BIO FOOD PRODUCTS LTD,2,1,4
SPRITE PET 350ML,270,10504.155929694729,COCA COLA BEVERAGES KENYA LTD,2,1,4
SCHWEPPES SODA WATER 500ML PET,269,16284.274076679567,COCA COLA BEVERAGES KENYA LTD,2,1,4
KRACKLES BANG BANG CHILLI 30G,261,11504.721818181819,PROPACK KENYA LTD,2,1,4
GUINNESS 500ML CAN,260,47567.79212844435,KENYA BREWERIES LTD,2,1,4
KRACKLES POTATO CRISP BBQ30G,260,11350.851393188856,PROPACK KENYA LTD,2,1,4
BALOZI 500ML CAN,248,40778.37609358613,KENYA BREWERIES LTD,2,1,4
TUSKER LITE 500ML CAN,240,49645.69201938611,KENYA BREWERIES LTD,2,1,4
ISINYA 30S EGGS,230,99596.0687361419,ISINYA FEEDS LIMITED,2,1,4
KRACKLES CHEESE & ONION 30G,229,10150.920721955677,PROPACK KENYA LTD,2,1,4
OLA 40G CHEESE CRUNCH TORTILA CHIPS,227,11698.814651368051,PROPACK KENYA LTD,2,1,4
SPRITE PET 500ML,225,11896.758469412625,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 2LTS,218,28709.733013895548,COCA COLA BEVERAGES KENYA LTD,2,1,4
FANTA ORANGE PET 350ML,201,7828.206749014455,COCA COLA BEVERAGES KENYA LTD,2,1,4
SPRITE 330ML CAN REGULAR,200,15444.611405055846,COCA COLA BEVERAGES KENYA LTD,2,1,4
KERINGET 1LT MINERAL WATER,197,13690.210654490109,COCA COLA BEVERAGES KENYA LTD,2,1,4
DASANI 500ML MINERAL WATER,196,5266.646864024084,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LT MINERAL WATER,195,11936.704945992042,AQUAMIST LIMITED,2,1,4
ISINYA 15S EGGS,195,48392.994215415514,ISINYA FEEDS LIMITED,2,1,4
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,195,10056.601239669424,PROPACK KENYA LTD,2,1,4
PICK N PEEL 250ML MANGO,196,11095.588461256864,KEVIAN KENYA LTD,2,1,4
TENA 10S WHITE TOILET ROLLS,195,70305.90944229707,AFRICAN COTTON INDUSTRIES LTD,2,1,4
DUNHILL 20S DOUBLE CAP,184,69184.0,NOBLE OUTLOOK LIMITED,2,1,4
BIO 150ML STRAWBERRY YOGHURT,108,10214.347022945105,BIO FOOD PRODUCTS LTD,2,1,4
FANTA ORANGE PET 500ML,183,9671.500427715997,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML TROPICAL MIX,180,10195.27659574468,KEVIAN KENYA LTD,2,1,4
PREDATOR 400ML ENERGY DRINK PET,178,8966.283396051105,COCA COLA BEVERAGES KENYA LTD,2,1,4
VELVEX 100S WHITE SERVIETTES,178,16546.224431075072,CHANDARIA INDUSTRIES  LTD,2,1,4
KNORR 51G 6S CHICKEN CUBES,178,13420.351133352959,UNILEVER KENYA LIMITED,2,1,4
BIO 150ML NATURAL YOGHURT,101,9323.454285714286,BIO FOOD PRODUCTS LTD,2,1,4
KRACKLES SALT&VINEGAR 30GM,171,7412.241629760851,PROPACK KENYA LTD,2,1,4
COKE 1.25L PET,165,16871.376674289448,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML APPLE,163,9280.04315352697,KEVIAN KENYA LTD,2,1,4
PICK N PEEL 250ML PINEAPPLE JUICE,160,9037.850578744301,KEVIAN KENYA LTD,2,1,4
AQUAMIST 1.5LT MINERAL WATER,160,11808.290030211481,AQUAMIST LIMITED,2,1,4
FANTA ORANGE PET 2LTS,160,19645.770740975306,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML,158,5056.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML EMPTY BOTTLE,158,1896.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
FANTA BLACKCURRANT PET 500ML,158,8364.313251411491,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 2L PET,157,20796.733512064344,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUACLEAR 500ML MINERAL WATER,156,3903.6156127080185,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
DASANI 1L MINERAL WATER,155,7160.512884978002,COCA COLA BEVERAGES KENYA LTD,2,1,4
ILARA 500ML TNC PLAIN CUP,90,8456.499310344829,BROOKSIDE DAIRY LIMITED,2,1,4
KERINGET 1LT SPARKLING MINERAL WATER,152,12807.690377158973,COCA COLA BEVERAGES KENYA LTD,2,1,4
SUNLIGHT 175G PURE SOAP YELLOW,150,8548.90890890891,UNILEVER KENYA LIMITED,2,1,4
SPRITE SODA PET 2LTS,148,18238.447455467052,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 200ML GREEK STYLE YOGHURT VANILLA,84,11575.355555555556,BIO FOOD PRODUCTS LTD,2,1,4
FANTA BLACK CURRANT 350ML PET,142,5519.326929446837,COCA COLA BEVERAGES KENYA LTD,2,1,4
CARTOONS 30G TANGY TOMATO CRISPS,142,6394.95158501441,PROPACK KENYA LTD,2,1,4
AQUAMIST 5LT MINERAL WATER,141,24142.227396305327,AQUAMIST LIMITED,2,1,4
FANTA BLACKCURRANT PET 2LTS,141,17238.133974579185,COCA COLA BEVERAGES KENYA LTD,2,1,4
OREO 55.2G ORIGINAL COOKIES,140,7695.971295299606,HASBAH KENYA LTD CADBURY,2,1,4
VELVEX SNOW WHITE 10 PACK,139,50843.55837104072,CHANDARIA INDUSTRIES  LTD,2,1,4
PILSNER 500ML LAGER BEER,139,23240.800000000003,KENYA BREWERIES LTD,2,1,4
BIO 150ML BERRY COCKTAIL YOGHURT,81,7224.8264411990785,BIO FOOD PRODUCTS LTD,2,1,4
KRAC KURLS 25G TANGY CHEESE,137,4284.21135371179,PROPACK KENYA LTD,2,1,4
ROTHMANS SWITCH BLUE 20S,110,32120.069758224334,NOBLE OUTLOOK LIMITED,2,1,4
ISINYA 12S EGGS,108,21787.367815608573,ISINYA FEEDS LIMITED,2,1,4
PICK N PEEL 250ML ORANGE JUICE,108,8177.736084549574,KEVIAN KENYA LTD,2,1,4
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,74,5498.160878405856,BROOKSIDE DAIRY LIMITED,2,1,4
