sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FRESHA 500ML WHOLE MILK POUCH,375,17047.28141804422,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,497,39760.292060100175,DPL FESTIVE  LIMITED,2,1,4
NATURES 600G WHITE BREAD,376,30080.29763425385,DPL FESTIVE  LIMITED,2,1,4
JOGOO 2KG MAIZE MEAL,593,68791.09011611443,UNGA LTD,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,348,8352.127691778467,GITHUNGURI DAIRY FARMERS,2,1,4
EXE 2KG ALL PURPOSE FLOUR,538,68913.4013247652,UNGA LTD,2,1,4
KABRAS 2KG WHITE SUGAR,521,133324.34655051286,WEST KENYA SUGAR COMPANY LTD,2,1,4
BIO 1L FRESH WHOLE MILK,241,32946.04827322544,BIO FOOD PRODUCTS LTD,2,1,4
KABRAS 1KG WHITE SUGAR,323,43243.56843842853,WEST KENYA SUGAR COMPANY LTD,2,1,4
MUMIAS 2KG SUGAR,297,76219.37043322911,Unknown,2,1,4
MUMIAS 1KG SUGAR,248,32117.934613876918,Unknown,2,1,4
FESTIVE 600G FAMILY BRWN BREAD,142,11360.028118811882,DPL FESTIVE  LIMITED,2,1,4
BIO 2L SEMI SKIMMED FRESH MILK,118,28849.75380563603,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 400G FINEST SUPER SEEDED BREAD,114,11856.024516129033,DPL FESTIVE  LIMITED,2,1,4
NUTRAMEAL 1KG SUGAR,194,26746.553728489485,KAMILI PACKERS SUGAR ONLY,2,1,4
FRESHA 5L WHOLE MILK,108,43154.618892508144,GITHUNGURI DAIRY FARMERS,2,1,4
BROADWAY 400G WHITE SLICED BREAD,97,5044.0,BROADWAYS BAKERY LTD,2,1,4
FESTIVE 300G 6S PREM SESSAME SLICED BURGER BUNS,96,9984.0,DPL FESTIVE  LIMITED,2,1,4
NUTRAMEAL 2KG SUGAR,166,44283.894728741834,KAMILI PACKERS SUGAR ONLY,2,1,4
BIO 1L FRESH SEMI SKIMMED MILK,89,11184.201481481483,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 300G 6S DELUXE ROLLS,88,8448.0,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 300G 6S PREM PLAIN BURGER BUNS,86,8256.0,DPL FESTIVE  LIMITED,2,1,4
BROADWAY 400G NATURAL BROWN BREAD,70,3640.135527589545,BROADWAYS BAKERY LTD,2,1,4
RINSUN 5LT SUNFLOWER OIL,96,122109.3232480534,KAPA OIL REFINERIES LTD,2,1,4
KINGSMIL 400G KUBWA WAO WHITE BREAD,51,2652.0,KENAFRIC BAKERY LTD,2,1,4
RINSUN 2LT SUNFLOWER OIL,76,46063.80176991151,KAPA OIL REFINERIES LTD,2,1,4
BROADWAYS 600G WHITE BREAD,50,3960.228862047044,BROADWAYS BAKERY LTD,2,1,4
KINGSMIL 200G SLICED WHITE BREAD,46,1288.1049030786771,KENAFRIC BAKERY LTD,2,1,4
HOSTESS 2KG FLOUR,66,7999.144553322705,UNGA LTD,2,1,4
BIO 1L FRESH SKIMMED MILK,43,5293.626402640264,BIO FOOD PRODUCTS LTD,2,1,4
RINSUN 3LT SUNFLOWER OIL,65,56882.3937007874,KAPA OIL REFINERIES LTD,2,1,4
EXE 1KG ALL PURPOSE,64,4383.431905648666,UNGA LTD,2,1,4
FRESHA 2LT WHOLE MILK,42,7056.0,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 350G SLICED SUB ROLLS 4S,40,4480.0,DPL FESTIVE  LIMITED,2,1,4
EXE 2KG CHAPATI FLOUR,61,8261.674576271185,UNGA LTD,2,1,4
BIO 1L BARISTA FRESH MILK,39,5584.3125,BIO FOOD PRODUCTS LTD,2,1,4
BROADWAY 800G WHITE SANDWICH SLICED BREAD,35,3640.043343653251,BROADWAYS BAKERY LTD,2,1,4
NATURES 600G BROWN BREAD,34,2720.0,DPL FESTIVE  LIMITED,2,1,4
KINGSMIL 400G KUBWA WAO BROWN BREAD,34,1768.0,KENAFRIC BAKERY LTD,2,1,4
EXE 2KG SELF RAISING,50,7002.622139764996,UNGA LTD,2,1,4
WHITE CAP 500ML LAGER CANS,890,162610.2583713521,KENYA BREWERIES LTD,2,1,4
COKE PET 350ML,587,22824.563649796826,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,343,47434.88702981771,BIO FOOD PRODUCTS LTD,2,1,4
DUNHILL 20S SWITCH,550,206800.0,NOBLE OUTLOOK LIMITED,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL,516,247117.08862668776,COCA COLA BEVERAGES KENYA LTD,2,1,4
EMBASSY BY DUNHILL BLUE 20S,496,182528.50210514208,NOBLE OUTLOOK LIMITED,2,1,4
COKE PET 500ML,493,26222.819141886353,COCA COLA BEVERAGES KENYA LTD,2,1,4
TUSKER CAN 500ML BEER,483,82186.38229453992,KENYA BREWERIES LTD,2,1,4
AQUAMIST 500ML MINERAL WATER,460,18159.776705141663,AQUAMIST LIMITED,2,1,4
COKE ZERO 500ML PET,442,23046.024639076033,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 330ML CAN,440,33993.32878531442,COCA COLA BEVERAGES KENYA LTD,2,1,4
TUSKER 500ML LAGER BEER,400,66880.0,KENYA BREWERIES LTD,2,1,4
AQUAMIST 20LT MINERAL WATER,394,166259.18790360686,AQUAMIST LIMITED,2,1,4
KRACKLES PERFECTLY SALTED 30G,356,11764.05611594203,PROPACK KENYA LTD,2,1,4
COKE 330ML CAN,352,27471.422143280055,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LTR SPARKLING WATER,352,26761.1307570143,AQUAMIST LIMITED,2,1,4
WHITE CAP 500ML LAGER BEER,346,66155.20000000001,KENYA BREWERIES LTD,2,1,4
AQUAMIST 500ML SPARKLING WATER,326,17968.388032430572,AQUAMIST LIMITED,2,1,4
SCHWEPPES SODA WATER 500ML PET,315,19068.94548012663,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 150ML VANILLA YOGHURT,187,17393.372048643592,BIO FOOD PRODUCTS LTD,2,1,4
COCA COLA 300ML,310,9920.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COCA COLA 300ML EMPTY BOTTLE,310,3720.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
SCHWEPPES TONIC WATER 500ML PET,308,18698.0650379107,COCA COLA BEVERAGES KENYA LTD,2,1,4
KRACKLES POTATO CRISP BBQ30G,285,12442.279411764706,PROPACK KENYA LTD,2,1,4
OLA 40G CHEESE CRUNCH TORTILA CHIPS,281,14481.792586054724,PROPACK KENYA LTD,2,1,4
SPRITE PET 350ML,276,10737.581617021278,COCA COLA BEVERAGES KENYA LTD,2,1,4
ISINYA 6S EGGS,274,27443.42362079944,ISINYA FEEDS LIMITED,2,1,4
SPRITE 330ML CAN REGULAR,271,20927.448453850673,COCA COLA BEVERAGES KENYA LTD,2,1,4
DASANI 500ML MINERAL WATER,270,7255.07476166583,COCA COLA BEVERAGES KENYA LTD,2,1,4
SPRITE PET 500ML,262,13853.114306604924,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML MANGO,261,14775.24789993899,KEVIAN KENYA LTD,2,1,4
GUINNESS 500ML CAN,262,47933.69822174008,KENYA BREWERIES LTD,2,1,4
KRACKLES CHEESE & ONION 30G,258,11436.4084989719,PROPACK KENYA LTD,2,1,4
BALOZI 500ML CAN,258,42422.66545219847,KENYA BREWERIES LTD,2,1,4
KRACKLES BANG BANG CHILLI 30G,257,11328.404242424243,PROPACK KENYA LTD,2,1,4
TUSKER LITE 500ML CAN,255,52748.54777059774,KENYA BREWERIES LTD,2,1,4
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,253,13047.795454545458,PROPACK KENYA LTD,2,1,4
ISINYA 30S EGGS,237,102627.25343680709,ISINYA FEEDS LIMITED,2,1,4
PICK N PEEL 250ML APPLE,235,13379.203319502076,KEVIAN KENYA LTD,2,1,4
PICK N PEEL 250ML TROPICAL MIX,234,13253.859574468084,KEVIAN KENYA LTD,2,1,4
FANTA ORANGE PET 350ML,232,9035.54211826544,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 2LTS,225,29631.605174892193,COCA COLA BEVERAGES KENYA LTD,2,1,4
KERINGET 1LT SPARKLING MINERAL WATER,218,18368.924356714844,COCA COLA BEVERAGES KENYA LTD,2,1,4
VELVEX 100S WHITE SERVIETTES,212,19706.73921004447,CHANDARIA INDUSTRIES  LTD,2,1,4
KERINGET 1LT MINERAL WATER,211,14663.119025875192,COCA COLA BEVERAGES KENYA LTD,2,1,4
KRACKLES SALT&VINEGAR 30GM,201,8712.634898139946,PROPACK KENYA LTD,2,1,4
PREDATOR 400ML ENERGY DRINK PET,200,10074.475725900118,COCA COLA BEVERAGES KENYA LTD,2,1,4
FANTA ORANGE PET 500ML,199,10517.096093527232,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML,198,6336.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML EMPTY BOTTLE,198,2376.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE 1.25L PET,195,19938.89970597844,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LT MINERAL WATER,195,11936.704945992042,AQUAMIST LIMITED,2,1,4
BIO 150ML NATURAL YOGHURT,115,10615.814285714287,BIO FOOD PRODUCTS LTD,2,1,4
BIO 150ML STRAWBERRY YOGHURT,115,10876.388033691548,BIO FOOD PRODUCTS LTD,2,1,4
TENA 10S WHITE TOILET ROLLS,193,69584.82319160685,AFRICAN COTTON INDUSTRIES LTD,2,1,4
DUNHILL 20S DOUBLE CAP,190,71440.0,NOBLE OUTLOOK LIMITED,2,1,4
ISINYA 15S EGGS,190,47152.148209892046,ISINYA FEEDS LIMITED,2,1,4
PICK N PEEL 250ML PINEAPPLE JUICE,186,10506.50129779025,KEVIAN KENYA LTD,2,1,4
PICK N PEEL 250ML ORANGE JUICE,185,14008.159033719177,KEVIAN KENYA LTD,2,1,4
DASANI 1L MINERAL WATER,185,8546.418604651164,COCA COLA BEVERAGES KENYA LTD,2,1,4
PILSNER 500ML LAGER BEER,179,29928.800000000003,KENYA BREWERIES LTD,2,1,4
FANTA BLACKCURRANT PET 500ML,176,9317.209697774826,COCA COLA BEVERAGES KENYA LTD,2,1,4
KNORR 51G 6S CHICKEN CUBES,174,13118.77020900795,UNILEVER KENYA LIMITED,2,1,4
SUNLIGHT 175G PURE SOAP YELLOW,174,9916.734334334335,UNILEVER KENYA LIMITED,2,1,4
PICK N PEEL 1L ORANGE JUICE,173,45218.06709788702,KEVIAN KENYA LTD,2,1,4
AQUAMIST 1.5LT MINERAL WATER,162,11955.893655589125,AQUAMIST LIMITED,2,1,4
VELVEX SNOW WHITE 10 PACK,161,58890.74027149321,CHANDARIA INDUSTRIES  LTD,2,1,4
ILARA 500ML TNC PLAIN CUP,95,8926.30482758621,BROOKSIDE DAIRY LIMITED,2,1,4
BIO 200ML GREEK STYLE YOGHURT VANILLA,93,12815.572222222223,BIO FOOD PRODUCTS LTD,2,1,4
FANTA ORANGE PET 2LTS,156,19154.62647245092,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO 2L PET,152,20134.417158176944,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUACLEAR 500ML MINERAL WATER,127,3177.9434795764,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
AQUAMIST 5LT MINERAL WATER,126,21573.90533286859,AQUAMIST LIMITED,2,1,4
KCC 500ML FILPACK MALA,88,4567.441825803447,NEW KENYA COOP CREAMERIES  LTD,2,1,4
FANTA BLACK CURRANT 350ML PET,126,4897.43093739649,COCA COLA BEVERAGES KENYA LTD,2,1,4
KRAC KURLS 25G TANGY CHEESE,125,3908.9519650655025,PROPACK KENYA LTD,2,1,4
BALOZI 500ML BEER,124,20617.921643835612,KENYA BREWERIES LTD,2,1,4
BIO 150ML BERRY COCKTAIL YOGHURT,86,7670.803382013836,BIO FOOD PRODUCTS LTD,2,1,4
CARTOONS 30G TANGY TOMATO CRISPS,123,5539.289048991354,PROPACK KENYA LTD,2,1,4
SPRITE SODA PET 2LTS,122,15034.39587545257,COCA COLA BEVERAGES KENYA LTD,2,1,4
OREO 55.2G ORIGINAL COOKIES,119,6541.575601004665,HASBAH KENYA LTD CADBURY,2,1,4
ROTHMANS SWITCH BLUE 20S,117,34164.07419738406,NOBLE OUTLOOK LIMITED,2,1,4
AQUAMIST 20LT MINERAL WATER EMPTY BOTTLE,117,89392.69169269208,AQUAMIST LIMITED,2,1,4
BIO 150ML MANGO YOGHURT,78,7386.749425287357,BIO FOOD PRODUCTS LTD,2,1,4
KRAC KURLS 25G CHILLI LEMON,110,3439.5713727023867,PROPACK KENYA LTD,2,1,4
ISINYA 12S EGGS,109,21989.102702790133,ISINYA FEEDS LIMITED,2,1,4
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,75,5572.460349735665,BROOKSIDE DAIRY LIMITED,2,1,4
DAIMA 500ML NATURAL PROBIOTIC CUP,75,7106.151832460733,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
BLUE BAND 500G MED FAT SPREAD,105,23059.89131820377,SUPER SAVERS DISTRIBUTION LTD,2,1,4
FANTA BLACKCURRANT PET 2LTS,105,12836.908278941944,COCA COLA BEVERAGES KENYA LTD,2,1,4
LEADAV YELLOW YOLK EGGS 30PACK TRAY,105,40993.81132075472,LEADAV POULTRY FARM LTD,2,1,4
FANTA PASSION 500ML PET,103,5480.922847836203,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 90ML NATURAL Y0GHURT,69,4360.8,BIO FOOD PRODUCTS LTD,2,1,4
OXYRICH 1L SPRING WATER,97,3617.3923821820536,AQUAMIST LIMITED,2,1,4
PICK N PEEL 1LT APPLE,95,19649.99153520585,KEVIAN KENYA LTD,2,1,4
ROYCO 4G 40S BEEF CUBES,94,10319.462763037513,UNILEVER KENYA LIMITED,2,1,4
BIO 90ML VANILLA,63,3981.6000000000004,BIO FOOD PRODUCTS LTD,2,1,4
FC 200G (30D) FRESH SANDWICH HAM,63,14799.618750000001,FARMERS CHOICE LTD,2,1,4
QUENCHER 18L MIN WATER PET,90,36613.944286526435,EXCEL CHEMICALS LTD,2,1,4
FESTIVE TORTILLA WRAP 8 INCH,90,19761.469879518074,DPL FESTIVE  LIMITED,2,1,4
FANTA PASSION PET 2LTS,90,10995.805989034165,COCA COLA BEVERAGES KENYA LTD,2,1,4
KNORR 51G 6S BEEF CUBES,88,6604.095597484276,UNILEVER KENYA LIMITED,2,1,4
BROOKSIDE 250ML STRAWBERRY,61,3347.765028002489,BROOKSIDE DAIRY LIMITED,2,1,4
OREO 128G ORIGINAL,88,10909.47282051282,HASBAH KENYA LTD CADBURY,2,1,4
BLUE BAND 1KG MED FAT SPREAD,87,33312.22658721769,SUPER SAVERS DISTRIBUTION LTD,2,1,4
BROOKSIDE 250G NATURAL PROBIOTIC YOGHURT,60,4459.083849184019,BROOKSIDE DAIRY LIMITED,2,1,4
FC 1KG (14D) FRESH PORK VALUE PACK,60,33653.75619651347,FARMERS CHOICE LTD,2,1,4
JIAN 30 PACK YELLOW YOLK EGGS,86,33806.5626782393,JIAN CEREALS DEPOT,2,1,4
MINUTE MAID 400ML APPLE JUICE,85,5368.19678922838,COCA COLA BEVERAGES KENYA LTD,2,1,4
FC 500G (14D) FRESH CLASSIC PORK SAUSAGE,59,17368.47685901249,FARMERS CHOICE LTD,2,1,4
FC 200G (30D) FRESH STREAKY BACON,59,20959.38237082067,FARMERS CHOICE LTD,2,1,4
MINUTE MAID 1L APPLE JUICE,84,9687.698275862069,COCA COLA BEVERAGES KENYA LTD,2,1,4
GREEN FARM 30S Y/YORK EGGS,84,37640.16207393183,GREEN FARM POULTRY,2,1,4
CADBURY 90G DRINKING CHOCOLATE SACHET,83,7032.990223295112,HASBAH KENYA LTD CADBURY,2,1,4
LEADAV YELLOW YOLK EGGS 6PACK,82,26989.864343265097,LEADAV POULTRY FARM LTD,2,1,4
BROOKSIDE 250ML VANILLA,57,3129.8463981849127,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 1LT NATURAL YOGHURT,57,10260.0,BROOKSIDE DAIRY LIMITED,2,1,4
PICK N PEEL 1LT TROPICAL MIX,79,16445.783137070182,KEVIAN KENYA LTD,2,1,4
CADBURY 28G BUBBLY CHOCOLATE,78,6103.1775700934595,HASBAH KENYA LTD CADBURY,2,1,4
TENA 100S SERVIETTES WHITE,76,6056.9945945945965,AFRICAN COTTON INDUSTRIES LTD,2,1,4
TOILEX WHITE 10S,76,22436.31730474732,CHANDARIA INDUSTRIES  LTD,2,1,4
SOFTLEAF TWIN SERVIETTES,75,11313.45095271701,KAPA OIL REFINERIES LTD,2,1,4
