sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 600G FAMILY WHITE BREAD,527,42160.30968948248,DPL FESTIVE  LIMITED,2,1,4
FRESHA 500ML WHOLE MILK POUCH,412,18729.279851291245,GITHUNGURI DAIRY FARMERS,2,1,4
NATURES 600G WHITE BREAD,419,33520.33167221373,DPL FESTIVE  LIMITED,2,1,4
TUZO 450ML ESL WHOLE MILK 30DAYS,365,16205.946773605543,BROOKSIDE DAIRY LIMITED,2,1,4
EXE 2KG ALL PURPOSE FLOUR,617,79032.65542263965,UNGA LTD,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,329,7896.1207201009065,GITHUNGURI DAIRY FARMERS,2,1,4
KABRAS 1KG WHITE SUGAR,535,71626.34400792341,WEST KENYA SUGAR COMPANY LTD,2,1,4
BIO 1L FRESH WHOLE MILK,262,35816.865757614374,BIO FOOD PRODUCTS LTD,2,1,4
JOGOO 2KG MAIZE MEAL,426,49418.219881053534,UNGA LTD,2,1,4
KABRAS 2KG WHITE SUGAR,399,102104.44198398202,WEST KENYA SUGAR COMPANY LTD,2,1,4
NUTRAMEAL 1KG SUGAR,367,50597.86195028681,KAMILI PACKERS SUGAR ONLY,2,1,4
NUTRAMEAL 2KG SUGAR,346,92302.57575990768,KAMILI PACKERS SUGAR ONLY,2,1,4
BIO 2L SEMI SKIMMED FRESH MILK,133,32517.09539109824,BIO FOOD PRODUCTS LTD,2,1,4
MUMIAS 2KG SUGAR,226,57998.57817478041,Unknown,2,1,4
FRESHA 5L WHOLE MILK,130,51945.374592833876,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 600G FAMILY BRWN BREAD,125,10000.024752475249,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 400G FINEST SUPER SEEDED BREAD,122,12688.02623655914,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 300G 6S PREM SESSAME SLICED BURGER BUNS,110,11440.0,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 300G 6S DELUXE ROLLS,110,10560.0,DPL FESTIVE  LIMITED,2,1,4
BIO 1L FRESH SEMI SKIMMED MILK,100,12566.51851851852,BIO FOOD PRODUCTS LTD,2,1,4
BROADWAY 400G WHITE SLICED BREAD,95,4940.0,BROADWAYS BAKERY LTD,2,1,4
FESTIVE 300G 6S PREM PLAIN BURGER BUNS,94,9024.0,DPL FESTIVE  LIMITED,2,1,4
RINSUN 5LT SUNFLOWER OIL,162,206059.4829810901,KAPA OIL REFINERIES LTD,2,1,4
MUMIAS 1KG SUGAR,114,14763.889298314389,Unknown,2,1,4
BIO 1L BARISTA FRESH MILK,62,8877.625,BIO FOOD PRODUCTS LTD,2,1,4
BROADWAY 400G NATURAL BROWN BREAD,60,3120.116166505324,BROADWAYS BAKERY LTD,2,1,4
KINGSMIL 400G KUBWA WAO WHITE BREAD,55,2860.0,KENAFRIC BAKERY LTD,2,1,4
HOSTESS 2KG FLOUR,79,9574.733632007481,UNGA LTD,2,1,4
RINSUN 2LT SUNFLOWER OIL,77,46669.90442477876,KAPA OIL REFINERIES LTD,2,1,4
EXE 2KG CHAPATI FLOUR,73,9886.922033898303,UNGA LTD,2,1,4
KINGSMIL 200G SLICED WHITE BREAD,47,1316.1071835803875,KENAFRIC BAKERY LTD,2,1,4
RINSUN 3LT SUNFLOWER OIL,70,61257.96244700181,KAPA OIL REFINERIES LTD,2,1,4
BIO 1L FRESH SKIMMED MILK,45,5539.841584158416,BIO FOOD PRODUCTS LTD,2,1,4
KINGSMIL 400G KUBWA WAO BROWN BREAD,45,2340.0,KENAFRIC BAKERY LTD,2,1,4
EXE 1KG ALL PURPOSE,65,4451.923029174426,UNGA LTD,2,1,4
FESTIVE 350G SLICED SUB ROLLS 4S,43,4816.0,DPL FESTIVE  LIMITED,2,1,4
