sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),139,6081.466181874897,BROOKSIDE DAIRY LIMITED,1,4
ILARA FRESH MILK 500ML SATCHET,40,1799.1160338960435,BROOKSIDE DAIRY LIMITED,1,4
TUZO 500ML FRESH MILK (POUCH),19,896.80098340504,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 500ML TR FRESH MILK,19,987.5765319426338,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 500ML DAIRY BEST (POUCH),156,6825.242621384777,BROOKSIDE DAIRY LIMITED,2,5
ILARA FRESH MILK 500ML SATCHET,43,1934.0497364382468,BROOKSIDE DAIRY LIMITED,2,5
TUZO 500ML FRESH MILK (POUCH),21,991.20108692136,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 500ML TR FRESH MILK,21,1091.531956357648,BROOKSIDE DAIRY LIMITED,2,5
FESTIVE 400G MILKY WHITE SLICED,9,468.00208490183593,DPL FESTIVE  LIMITED,2,5
FESTIVE 800G WHITE MILKY BREAD,7,728.0,DPL FESTIVE  LIMITED,2,5
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,8,327.19626577537025,BROOKSIDE DAIRY LIMITED,2,5
TUZO 450ML ESL WHOLE MILK 90DAYS,7,257.26378072656075,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 500ML DAIRY BEST (POUCH),159,6956.497287180638,BROOKSIDE DAIRY LIMITED,3,6
ILARA FRESH MILK 500ML SATCHET,47,2113.961339827851,BROOKSIDE DAIRY LIMITED,3,6
TUZO 500ML FRESH MILK (POUCH),22,1038.40113867952,BROOKSIDE DAIRY LIMITED,3,6
BROOKSIDE 500ML TR FRESH MILK,24,1247.465092980169,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 400G MILKY WHITE SLICED,11,572.002548213355,DPL FESTIVE  LIMITED,3,6
BIO 2L WHOLE FRESH MILK,8,2037.5788722341185,BIO FOOD PRODUCTS LTD,3,6
BROOKSIDE 1LT UHT WHOLE MILK,9,1118.885353159851,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 800G WHITE MILKY BREAD,9,936.0,DPL FESTIVE  LIMITED,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,12,490.7943986630554,BROOKSIDE DAIRY LIMITED,3,6
NATURES 400G GOLD WHITE,8,416.002243567272,DPL FESTIVE  LIMITED,3,6
TUZO 450ML ESL WHOLE MILK 90DAYS,9,330.76771807700675,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 400G MILKY WHITE SLICED,13,676.0030115248742,DPL FESTIVE  LIMITED,4,7
BIO 2L WHOLE FRESH MILK,9,2292.276231263383,BIO FOOD PRODUCTS LTD,4,7
BROOKSIDE 1LT UHT WHOLE MILK,11,1367.5265427509294,BROOKSIDE DAIRY LIMITED,4,7
FESTIVE 800G WHITE MILKY BREAD,10,1040.0,DPL FESTIVE  LIMITED,4,7
