sku,qty,est_cost,supplier,day_generated,arrival_day
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,6,192.00464024306035,Unknown,4,7
DAIMA 450ML ESL MAZIWA BORA,7,250.6091136705058,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
LATO 500ML FINO UHT MILK 180DAYS,4,160.68272506082727,MUSTY DISTRIBUTION LIMITED,5,8
AQUAMIST 500ML SPARKLING WATER,3,165.3532641021218,AQUAMIST LIMITED,5,8
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,7,224.00541361690375,Unknown,5,8
DAIMA 450ML ESL MAZIWA BORA,9,322.2117175763646,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
LATO 500ML FINO UHT MILK 180DAYS,6,241.0240875912409,MUSTY DISTRIBUTION LIMITED,6,9
AQUAMIST 500ML MINERAL WATER,6,236.8666526757608,AQUAMIST LIMITED,6,9
AQUAMIST 1LTR SPARKLING WATER,4,304.1037586024352,AQUAMIST LIMITED,6,9
AQUAMIST 500ML SPARKLING WATER,3,165.3532641021218,AQUAMIST LIMITED,6,9
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,9,288.00696036459055,Unknown,6,9
KARA 65ML COCONUT  MILK CREAM,2,116.22017562647248,PORTCROSS LTD  PC.,6,9
DAIMA 450ML ESL MAZIWA BORA,10,358.013019529294,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
BIO 1L FRESH WHOLE MILK,4,546.8223779788455,BIO FOOD PRODUCTS LTD,7,10
LATO 500ML FINO UHT MILK 180DAYS,6,241.0240875912409,MUSTY DISTRIBUTION LIMITED,7,10
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,3,616.6681362725451,BROOKSIDE DAIRY LIMITED,7,10
AQUAMIST 500ML MINERAL WATER,7,276.34442812172097,AQUAMIST LIMITED,7,10
AQUAMIST 1LTR SPARKLING WATER,5,380.129698253044,AQUAMIST LIMITED,7,10
TUSKER 500ML LAGER BEER,3,501.6,KENYA BREWERIES LTD,7,10
AQUAMIST 500ML SPARKLING WATER,4,220.4710188028291,AQUAMIST LIMITED,7,10
ISINYA 6S EGGS,3,300.4754411036435,ISINYA FEEDS LIMITED,7,10
KABARNET 300ML MINERAL WATER,2,30.45800103573278,KHETIA DRAPERS LTD,7,10
KARA 65ML COCONUT  MILK CREAM,3,174.33026343970872,PORTCROSS LTD  PC.,7,10
FESTIVE 400G MILKY WHITE SLICED,11,572.002548213355,DPL FESTIVE  LIMITED,8,11
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,8,327.19626577537025,BROOKSIDE DAIRY LIMITED,8,11
TUZO 450ML ESL WHOLE MILK 90DAYS,8,294.01574940178375,BROOKSIDE DAIRY LIMITED,8,11
FRESHA MAISHA 500ML LONG LIFE MILK,5,221.81524531995595,GITHUNGURI DAIRY FARMERS,8,11
BIO 1L FRESH WHOLE MILK,5,683.5279724735568,BIO FOOD PRODUCTS LTD,8,11
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,4,822.2241816967268,BROOKSIDE DAIRY LIMITED,8,11
AQUAMIST 500ML MINERAL WATER,8,315.8222035676811,AQUAMIST LIMITED,8,11
TUSKER CAN 500ML BEER,6,1020.9488483793778,KENYA BREWERIES LTD,8,11
COKE ZERO 500ML PET,4,208.56130895091434,COCA COLA BEVERAGES KENYA LTD,8,11
AQUAMIST 1LTR SPARKLING WATER,6,456.15563790365286,AQUAMIST LIMITED,8,11
TUSKER 500ML LAGER BEER,3,501.6,KENYA BREWERIES LTD,8,11
ISINYA 6S EGGS,4,400.6339214715247,ISINYA FEEDS LIMITED,8,11
HIGHLANDS 500ML MINERAL WATER,3,60.001019324697396,HIGHLANDS DRINKS LIMITED,8,11
KABARNET 300ML MINERAL WATER,3,45.687001553599174,KHETIA DRAPERS LTD,8,11
KARA 65ML COCONUT  MILK CREAM,3,174.33026343970872,PORTCROSS LTD  PC.,8,11
FESTIVE 400G MILKY WHITE SLICED,13,676.0030115248742,DPL FESTIVE  LIMITED,9,12
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,11,449.8948654411341,BROOKSIDE DAIRY LIMITED,9,12
TUZO 450ML ESL WHOLE MILK 90DAYS,9,330.76771807700675,BROOKSIDE DAIRY LIMITED,9,12
LATO 500ML ESL MILK 90DAYS,7,288.34363076923086,MUSTY DISTRIBUTION LIMITED,9,12
FRESHA MAISHA 500ML LONG LIFE MILK,6,266.17829438394716,GITHUNGURI DAIRY FARMERS,9,12
BIO 1L FRESH WHOLE MILK,6,820.2335669682682,BIO FOOD PRODUCTS LTD,9,12
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,5,1027.7802271209084,BROOKSIDE DAIRY LIMITED,9,12
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,6,829.7647876936044,BIO FOOD PRODUCTS LTD,9,12
TUSKER CAN 500ML BEER,8,1361.2651311725037,KENYA BREWERIES LTD,9,12
COKE ZERO 500ML PET,4,208.56130895091434,COCA COLA BEVERAGES KENYA LTD,9,12
DL 37G FILLED CHOCOLATES MINT CHOC,3,167.2352620612278,GLACIER PRODUCTS LTD 2ND,9,12
TUSKER 500ML LAGER BEER,3,501.6,KENYA BREWERIES LTD,9,12
ISINYA 6S EGGS,5,500.79240183940584,ISINYA FEEDS LIMITED,9,12
KRACKLES BANG BANG CHILLI 30G,2,88.15878787878789,PROPACK KENYA LTD,9,12
HIGHLANDS 500ML MINERAL WATER,4,80.00135909959653,HIGHLANDS DRINKS LIMITED,9,12
KABARNET 300ML MINERAL WATER,3,45.687001553599174,KHETIA DRAPERS LTD,9,12
ISINYA 15S EGGS,2,496.3384022093899,ISINYA FEEDS LIMITED,9,12
TUZO 450ML ESL WHOLE MILK 30DAYS,5,221.9992708713088,BROOKSIDE DAIRY LIMITED,9,12
KARA 65ML COCONUT  MILK CREAM,2,116.22017562647248,PORTCROSS LTD  PC.,9,12
FESTIVE 400G MILKY WHITE SLICED,13,676.0030115248742,DPL FESTIVE  LIMITED,10,13
BIO 2L WHOLE FRESH MILK,10,2546.973590292648,BIO FOOD PRODUCTS LTD,10,13
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,13,531.6939318849767,BROOKSIDE DAIRY LIMITED,10,13
TUZO 450ML ESL WHOLE MILK 90DAYS,9,330.76771807700675,BROOKSIDE DAIRY LIMITED,10,13
DAIMA 500ML WHOLE ESL POUCH,9,352.4199585430856,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
LATO 500ML ESL MILK 90DAYS,8,329.5355780219781,MUSTY DISTRIBUTION LIMITED,10,13
EXE 2KG ALL PURPOSE FLOUR,5,640.4591201186358,UNGA LTD,10,13
FRESHA MAISHA 500ML LONG LIFE MILK,7,310.54134344793835,GITHUNGURI DAIRY FARMERS,10,13
