sku,qty,est_cost,supplier,day_generated,arrival_day
NUTRAMEAL 1KG SUGAR,16,2205.9013384321224,KAMILI PACKERS SUGAR ONLY,7,10
MACCOFFEE 15G WHITE 3 IN 1 COFFEE,4,63.69073337123366,CHANDARIA INDUSTRIES LTD MACCOFFEE,7,10
PICK N PEEL 250ML RED GRAPE,3,169.46514439220954,KEVIAN KENYA LTD,7,10
MCVITIES 250G DIGESTIVE LIGHT BISCUIT,3,164.913670613563,WORLD BRANDS K LTD,7,10
SANTA MARIA 700G SPAGHETTI,2,265.41818181818184,DEBENHAM AND FEAR LTD,7,10
LATO 500ML FINO UHT MILK 180DAYS,17,682.9015815085158,MUSTY DISTRIBUTION LIMITED,8,11
NUTRAMEAL 1KG SUGAR,19,2619.5078393881454,KAMILI PACKERS SUGAR ONLY,8,11
NUTRAMEAL 2KG SUGAR,12,3201.2454020777227,KAMILI PACKERS SUGAR ONLY,8,11
OREO 55.2G ORIGINAL COOKIES,6,329.827341227126,HASBAH KENYA LTD CADBURY,8,11
OREO 31.3G ENROBED,6,307.17206982543644,HASBAH KENYA LTD CADBURY,8,11
GREEN FARM 30S Y/YORK EGGS,4,1792.38867018723,GREEN FARM POULTRY,8,11
MACCOFFEE 15G WHITE 3 IN 1 COFFEE,4,63.69073337123366,CHANDARIA INDUSTRIES LTD MACCOFFEE,8,11
MCVITIES 200G DARK CHOCO DIGESTIVE,8,1483.8564408041698,WORLD BRANDS K LTD,8,11
PICK N PEEL 250ML RED GRAPE,4,225.95352585627938,KEVIAN KENYA LTD,8,11
TUSKER 330ML BEER (CANS),3,548.8591399435886,KENYA BREWERIES LTD,8,11
MCVITIES 250G DIGESTIVE LIGHT BISCUIT,4,219.8848941514173,WORLD BRANDS K LTD,8,11
PENTONIC BLUE  DISPENSER,2,32.645529676934636,WORLD BRANDS K LTD,8,11
SANTA MARIA 700G SPAGHETTI,2,265.41818181818184,DEBENHAM AND FEAR LTD,8,11
SOKO 2KG MAIZE MEAL,34,3975.1916539157046,CAPWELL INDUSTRIES LTD,9,12
DAIMA 450ML ESL MAZIWA BORA,29,1038.2377566349526,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,9,12
LATO 500ML FINO UHT MILK 180DAYS,21,843.5843065693432,MUSTY DISTRIBUTION LIMITED,9,12
NUTRAMEAL 1KG SUGAR,22,3033.1143403441683,KAMILI PACKERS SUGAR ONLY,9,12
NUTRAMEAL 2KG SUGAR,17,4535.09765294344,KAMILI PACKERS SUGAR ONLY,9,12
RAVINE GOLD 500ML ESL UHT MILK,10,376.1131431358205,RAVINE DAIRIES LIMITED,9,12
TUPIKE 2KG MAIZE MEAL FLOUR,8,899.002068672136,OSHO GRAIN MILLERS  LTD,9,12
AMAIZE 2KG PREMIUM MAIZE FLOUR,7,1025.7072324011572,CAPWELL INDUSTRIES LTD,9,12
HIGHLANDS 500ML MINERAL WATER,12,240.00407729878958,HIGHLANDS DRINKS LIMITED,9,12
KABARNET 300ML MINERAL WATER,12,182.7480062143967,KHETIA DRAPERS LTD,9,12
COKE ZERO 2L PET,7,927.2428954423592,COCA COLA BEVERAGES KENYA LTD,9,12
OREO 55.2G ORIGINAL COOKIES,8,439.7697883028346,HASBAH KENYA LTD CADBURY,9,12
OREO 31.3G ENROBED,8,409.56275976724856,HASBAH KENYA LTD CADBURY,9,12
GREEN FARM 30S Y/YORK EGGS,5,2240.4858377340374,GREEN FARM POULTRY,9,12
OREO 26.25G ORIGINAL,4,141.68275862068967,HASBAH KENYA LTD CADBURY,9,12
MACCOFFEE 15G WHITE 3 IN 1 COFFEE,5,79.61341671404207,CHANDARIA INDUSTRIES LTD MACCOFFEE,9,12
KARA 65ML COCONUT  MILK CREAM,12,697.3210537588349,PORTCROSS LTD  PC.,9,12
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,5,371.4973566490443,BROOKSIDE DAIRY LIMITED,9,12
MCVITIES 200G DARK CHOCO DIGESTIVE,9,1669.338495904691,WORLD BRANDS K LTD,9,12
RED BULL 250ML SUGAR FREE CAN,6,775.4035054476551,HASBAH KENYA LTD,9,12
PICK N PEEL 250ML RED GRAPE,5,282.44190732034923,KEVIAN KENYA LTD,9,12
NESCAFE GOLD 18G CAPPUCCINO WHITE CHOCOLATE STICK,3,400.98259109311743,NESTLE KENYA LTD,9,12
TUSKER 330ML BEER (CANS),3,548.8591399435886,KENYA BREWERIES LTD,9,12
MCVITIES 250G DIGESTIVE LIGHT BISCUIT,4,219.8848941514173,WORLD BRANDS K LTD,9,12
PENTONIC BLUE  DISPENSER,3,48.96829451540195,WORLD BRANDS K LTD,9,12
SANTA MARIA 700G SPAGHETTI,3,398.1272727272727,DEBENHAM AND FEAR LTD,9,12
MENTOS 14G PURE FRESH FMINT,2,42.716686205549045,WORLD BRANDS K LTD,9,12
SOKO 2KG MAIZE MEAL,46,5378.200472944776,CAPWELL INDUSTRIES LTD,10,13
DAIMA 450ML ESL MAZIWA BORA,35,1253.045568352529,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
LATO 500ML FINO UHT MILK 180DAYS,25,1004.2670316301704,MUSTY DISTRIBUTION LIMITED,10,13
NUTRAMEAL 2KG SUGAR,20,5335.409003462872,KAMILI PACKERS SUGAR ONLY,10,13
RAVINE GOLD 500ML ESL UHT MILK,12,451.33577176298456,RAVINE DAIRIES LIMITED,10,13
FRESHA 5L WHOLE MILK,8,3196.6384364820847,GITHUNGURI DAIRY FARMERS,10,13
TUPIKE 2KG MAIZE MEAL FLOUR,10,1123.75258584017,OSHO GRAIN MILLERS  LTD,10,13
AMAIZE 2KG PREMIUM MAIZE FLOUR,8,1172.2368370298939,CAPWELL INDUSTRIES LTD,10,13
DAIMA 200ML MILK FINO BORA,3,59.94715174724748,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
