sku,qty,est_cost,supplier,day_generated,arrival_day
FESTIVE 800G WHITE MILKY BREAD,6,624.0,DPL FESTIVE  LIMITED,2,5
FRESHA 500ML WHOLE MILK POUCH,6,272.7565026887075,GITHUNGURI DAIRY FARMERS,2,5
FESTIVE 600G FAMILY WHITE BREAD,6,480.00352587646086,DPL FESTIVE  LIMITED,2,5
NATURES 400G GOLD WHITE,5,260.00140222954496,DPL FESTIVE  LIMITED,2,5
SOKO 2KG MAIZE MEAL,7,818.4218111002921,CAPWELL INDUSTRIES LTD,2,5
WHITE CAP 500ML LAGER CANS,7,1278.9570883140054,KENYA BREWERIES LTD,2,5
QUENCHER 300ML DRINKING WATER,6,92.53292430810271,EXCEL CHEMICALS LTD,2,5
FESTIVE 400G MILKY WHITE SLICED,7,364.00162159031686,DPL FESTIVE  LIMITED,3,6
BIO 2L WHOLE FRESH MILK,8,2037.5788722341185,BIO FOOD PRODUCTS LTD,3,6
FESTIVE 800G WHITE MILKY BREAD,7,728.0,DPL FESTIVE  LIMITED,3,6
FRESHA 500ML WHOLE MILK POUCH,6,272.7565026887075,GITHUNGURI DAIRY FARMERS,3,6
FESTIVE 600G FAMILY WHITE BREAD,7,560.0041135225376,DPL FESTIVE  LIMITED,3,6
NATURES 400G GOLD WHITE,7,364.001963121363,DPL FESTIVE  LIMITED,3,6
SOKO 2KG MAIZE MEAL,9,1052.2566142718042,CAPWELL INDUSTRIES LTD,3,6
NATURES 600G WHITE BREAD,4,320.00316632184945,DPL FESTIVE  LIMITED,3,6
WHITE CAP 500ML LAGER CANS,8,1461.6652437874347,KENYA BREWERIES LTD,3,6
QUENCHER 300ML DRINKING WATER,7,107.95507835945315,EXCEL CHEMICALS LTD,3,6
AQUAMIST 300ML MINERAL WATER,5,122.70388385841505,AQUAMIST LIMITED,3,6
QUENCHER 500ML DRINKING WATER,6,126.95333675188633,EXCEL CHEMICALS LTD,3,6
QUENCHER 1LT DRINKING WATER,5,192.73426413366906,EXCEL CHEMICALS LTD,3,6
FESTIVE 400G MILKY WHITE SLICED,9,468.00208490183593,DPL FESTIVE  LIMITED,4,7
BIO 2L WHOLE FRESH MILK,10,2546.973590292648,BIO FOOD PRODUCTS LTD,4,7
FESTIVE 800G WHITE MILKY BREAD,8,832.0,DPL FESTIVE  LIMITED,4,7
FRESHA 500ML WHOLE MILK POUCH,7,318.21591980349206,GITHUNGURI DAIRY FARMERS,4,7
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,6,245.3971993315277,BROOKSIDE DAIRY LIMITED,4,7
FESTIVE 600G FAMILY WHITE BREAD,9,720.0052888146913,DPL FESTIVE  LIMITED,4,7
NATURES 400G GOLD WHITE,8,416.002243567272,DPL FESTIVE  LIMITED,4,7
SOKO 2KG MAIZE MEAL,9,1052.2566142718042,CAPWELL INDUSTRIES LTD,4,7
DAIMA 500ML WHOLE ESL POUCH,6,234.94663902872372,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,4,7
AJAB 2KG HOME BAKING FLOUR,4,510.97131096933526,GRAIN INDUSTRIES LIMITED,4,7
NATURES 600G WHITE BREAD,4,320.00316632184945,DPL FESTIVE  LIMITED,4,7
DAIMA 450ML ESL MAZIWA BORA,5,179.006509764647,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,4,7
WHITE CAP 500ML LAGER CANS,9,1644.373399260864,KENYA BREWERIES LTD,4,7
QUENCHER 300ML DRINKING WATER,7,107.95507835945315,EXCEL CHEMICALS LTD,4,7
AQUAMIST 300ML MINERAL WATER,6,147.24466063009805,AQUAMIST LIMITED,4,7
QUENCHER 500ML DRINKING WATER,7,148.11222621053406,EXCEL CHEMICALS LTD,4,7
QUENCHER 1LT DRINKING WATER,6,231.28111696040287,EXCEL CHEMICALS LTD,4,7
COKE PET 350ML,4,155.5336534909494,COCA COLA BEVERAGES KENYA LTD,4,7
DUNHILL 20S SWITCH,4,1504.0,NOBLE OUTLOOK LIMITED,4,7
FESTIVE 400G MILKY WHITE SLICED,11,572.002548213355,DPL FESTIVE  LIMITED,5,8
BIO 2L WHOLE FRESH MILK,11,2801.670949321913,BIO FOOD PRODUCTS LTD,5,8
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,9,368.0957989972915,BROOKSIDE DAIRY LIMITED,5,8
DAIMA 500ML WHOLE ESL POUCH,8,313.26218537163163,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
AJAB 2KG HOME BAKING FLOUR,4,510.97131096933526,GRAIN INDUSTRIES LIMITED,5,8
NATURES 600G WHITE BREAD,5,400.0039579023118,DPL FESTIVE  LIMITED,5,8
DAIMA 450ML ESL MAZIWA BORA,7,250.6091136705058,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
AQUAMIST 300ML MINERAL WATER,7,171.78543740178108,AQUAMIST LIMITED,5,8
QUENCHER 500ML DRINKING WATER,8,169.27111566918177,EXCEL CHEMICALS LTD,5,8
QUENCHER 1LT DRINKING WATER,7,269.8279697871367,EXCEL CHEMICALS LTD,5,8
COKE PET 350ML,5,194.41706686368676,COCA COLA BEVERAGES KENYA LTD,5,8
AQUAMIST 500ML MINERAL WATER,4,157.91110178384054,AQUAMIST LIMITED,5,8
DUNHILL 20S SWITCH,5,1880.0,NOBLE OUTLOOK LIMITED,5,8
TUSKER CAN 500ML BEER,4,680.6325655862519,KENYA BREWERIES LTD,5,8
KRACKLES BANG BANG CHILLI 30G,2,88.15878787878789,PROPACK KENYA LTD,5,8
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,10,408.9953322192128,BROOKSIDE DAIRY LIMITED,6,9
DAIMA 500ML WHOLE ESL POUCH,8,313.26218537163163,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
AJAB 2KG HOME BAKING FLOUR,4,510.97131096933526,GRAIN INDUSTRIES LIMITED,6,9
DAIMA 500ML FINO MAZIWA BORA,4,152.50175192711984,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
DAIMA 450ML ESL MAZIWA BORA,7,250.6091136705058,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
FRESHA MAISHA 500ML LONG LIFE MILK,3,133.08914719197358,GITHUNGURI DAIRY FARMERS,6,9
COKE PET 350ML,6,233.3004802364241,COCA COLA BEVERAGES KENYA LTD,6,9
AQUAMIST 500ML MINERAL WATER,5,197.38887722980067,AQUAMIST LIMITED,6,9
