sku,qty,est_cost,supplier,day_generated,arrival_day
FESTIVE 400G MILKY WHITE SLICED,2,104.0004633115191,DPL FESTIVE  LIMITED,5,8
FESTIVE 800G WHITE MILKY BREAD,3,312.0,DPL FESTIVE  LIMITED,5,8
NATURES 400G GOLD WHITE,3,156.000841337727,DPL FESTIVE  LIMITED,5,8
NATURES 600G WHITE BREAD,2,160.00158316092472,DPL FESTIVE  LIMITED,5,8
FESTIVE 400G MILKY WHITE SLICED,2,104.0004633115191,DPL FESTIVE  LIMITED,6,9
FESTIVE 800G WHITE MILKY BREAD,3,312.0,DPL FESTIVE  LIMITED,6,9
NATURES 400G GOLD WHITE,3,156.000841337727,DPL FESTIVE  LIMITED,6,9
SOKO 2KG MAIZE MEAL,2,233.83480317151202,CAPWELL INDUSTRIES LTD,6,9
NATURES 600G WHITE BREAD,2,160.00158316092472,DPL FESTIVE  LIMITED,6,9
QUENCHER 300ML DRINKING WATER,3,46.266462154051354,EXCEL CHEMICALS LTD,6,9
FESTIVE 400G MILKY WHITE SLICED,2,104.0004633115191,DPL FESTIVE  LIMITED,7,10
BIO 2L WHOLE FRESH MILK,3,764.0920770877945,BIO FOOD PRODUCTS LTD,7,10
BROOKSIDE 1LT UHT WHOLE MILK,3,372.96178438661707,BROOKSIDE DAIRY LIMITED,7,10
FESTIVE 800G WHITE MILKY BREAD,3,312.0,DPL FESTIVE  LIMITED,7,10
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,3,122.69859966576385,BROOKSIDE DAIRY LIMITED,7,10
NATURES 400G GOLD WHITE,3,156.000841337727,DPL FESTIVE  LIMITED,7,10
SOKO 2KG MAIZE MEAL,2,233.83480317151202,CAPWELL INDUSTRIES LTD,7,10
NATURES 600G WHITE BREAD,2,160.00158316092472,DPL FESTIVE  LIMITED,7,10
QUENCHER 300ML DRINKING WATER,3,46.266462154051354,EXCEL CHEMICALS LTD,7,10
