sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),120,5250.186631834444,BROOKSIDE DAIRY LIMITED,1,4
ILARA FRESH MILK 500ML SATCHET,34,1529.248628811637,BROOKSIDE DAIRY LIMITED,1,4
TUZO 500ML FRESH MILK (POUCH),17,802.40087988872,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 500ML TR FRESH MILK,15,779.6656831126056,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 500ML DAIRY BEST (POUCH),130,5687.702184487314,BROOKSIDE DAIRY LIMITED,2,5
ILARA FRESH MILK 500ML SATCHET,40,1799.1160338960435,BROOKSIDE DAIRY LIMITED,2,5
TUZO 500ML FRESH MILK (POUCH),19,896.80098340504,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 500ML TR FRESH MILK,16,831.6433953201126,BROOKSIDE DAIRY LIMITED,2,5
FESTIVE 400G MILKY WHITE SLICED,7,364.00162159031686,DPL FESTIVE  LIMITED,2,5
BROOKSIDE 1LT UHT WHOLE MILK,7,870.2441635687732,BROOKSIDE DAIRY LIMITED,2,5
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,6,245.3971993315277,BROOKSIDE DAIRY LIMITED,2,5
TUZO 450ML ESL WHOLE MILK 90DAYS,5,183.75984337611484,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 500ML DAIRY BEST (POUCH),139,6081.466181874897,BROOKSIDE DAIRY LIMITED,3,6
ILARA FRESH MILK 500ML SATCHET,41,1844.0939347434446,BROOKSIDE DAIRY LIMITED,3,6
TUZO 500ML FRESH MILK (POUCH),22,1038.40113867952,BROOKSIDE DAIRY LIMITED,3,6
BROOKSIDE 500ML TR FRESH MILK,18,935.5988197351267,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 400G MILKY WHITE SLICED,8,416.0018532460764,DPL FESTIVE  LIMITED,3,6
BROOKSIDE 1LT UHT WHOLE MILK,9,1118.885353159851,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 800G WHITE MILKY BREAD,6,624.0,DPL FESTIVE  LIMITED,3,6
FRESHA 500ML WHOLE MILK POUCH,6,272.7565026887075,GITHUNGURI DAIRY FARMERS,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,7,286.296732553449,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 600G FAMILY WHITE BREAD,6,480.00352587646086,DPL FESTIVE  LIMITED,3,6
NATURES 400G GOLD WHITE,6,312.001682675454,DPL FESTIVE  LIMITED,3,6
TUZO 450ML ESL WHOLE MILK 90DAYS,6,220.5118120513378,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 400G MILKY WHITE SLICED,11,572.002548213355,DPL FESTIVE  LIMITED,4,7
BIO 2L WHOLE FRESH MILK,7,1782.8815132048537,BIO FOOD PRODUCTS LTD,4,7
BROOKSIDE 1LT UHT WHOLE MILK,11,1367.5265427509294,BROOKSIDE DAIRY LIMITED,4,7
FESTIVE 800G WHITE MILKY BREAD,7,728.0,DPL FESTIVE  LIMITED,4,7
FRESHA 500ML WHOLE MILK POUCH,7,318.21591980349206,GITHUNGURI DAIRY FARMERS,4,7
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,8,327.19626577537025,BROOKSIDE DAIRY LIMITED,4,7
FESTIVE 600G FAMILY WHITE BREAD,6,480.00352587646086,DPL FESTIVE  LIMITED,4,7
NATURES 400G GOLD WHITE,7,364.001963121363,DPL FESTIVE  LIMITED,4,7
TUZO 450ML ESL WHOLE MILK 90DAYS,8,294.01574940178375,BROOKSIDE DAIRY LIMITED,4,7
LATO 500ML ESL MILK 90DAYS,4,164.76778901098905,MUSTY DISTRIBUTION LIMITED,4,7
NATURES 600G WHITE BREAD,4,320.00316632184945,DPL FESTIVE  LIMITED,4,7
BROOKSIDE 250ML UHT WHOLE MILK,4,134.40154187144648,BROOKSIDE DAIRY LIMITED,4,7
LATO 500ML FINO UHT MILK 180DAYS,2,80.34136253041363,MUSTY DISTRIBUTION LIMITED,4,7
GOLD 500ML CROWN TFA 20,4,1177.5238548483046,NEW KENYA COOP CREAMERIES  LTD,4,7
BIO 2L WHOLE FRESH MILK,9,2292.276231263383,BIO FOOD PRODUCTS LTD,5,8
FESTIVE 800G WHITE MILKY BREAD,8,832.0,DPL FESTIVE  LIMITED,5,8
FRESHA 500ML WHOLE MILK POUCH,8,363.6753369182766,GITHUNGURI DAIRY FARMERS,5,8
FESTIVE 600G FAMILY WHITE BREAD,6,480.00352587646086,DPL FESTIVE  LIMITED,5,8
NATURES 400G GOLD WHITE,8,416.002243567272,DPL FESTIVE  LIMITED,5,8
TUZO 450ML ESL WHOLE MILK 90DAYS,5,183.75984337611484,BROOKSIDE DAIRY LIMITED,5,8
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,6,362.9971255190036,BROOKSIDE DAIRY LIMITED,5,8
DAIMA 500ML WHOLE ESL POUCH,5,195.78886585726977,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
LATO 500ML ESL MILK 90DAYS,5,205.95973626373632,MUSTY DISTRIBUTION LIMITED,5,8
NATURES 600G WHITE BREAD,6,480.0047494827742,DPL FESTIVE  LIMITED,5,8
BROOKSIDE 250ML UHT WHOLE MILK,4,134.40154187144648,BROOKSIDE DAIRY LIMITED,5,8
DAIMA 450ML ESL MAZIWA BORA,4,143.2052078117176,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,5,8
LATO 500ML FINO UHT MILK 180DAYS,3,120.51204379562046,MUSTY DISTRIBUTION LIMITED,5,8
TUSKER CAN 500ML BEER,4,680.6325655862519,KENYA BREWERIES LTD,5,8
COKE PET 500ML,3,159.57090755711778,COCA COLA BEVERAGES KENYA LTD,5,8
GOLD 500ML CROWN TFA 20,4,1177.5238548483046,NEW KENYA COOP CREAMERIES  LTD,5,8
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,4,128.00309349537358,Unknown,5,8
BIO 2L WHOLE FRESH MILK,9,2292.276231263383,BIO FOOD PRODUCTS LTD,6,9
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,7,423.4966464388375,BROOKSIDE DAIRY LIMITED,6,9
DAIMA 500ML WHOLE ESL POUCH,6,234.94663902872372,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
LATO 500ML ESL MILK 90DAYS,6,247.15168351648356,MUSTY DISTRIBUTION LIMITED,6,9
NATURES 600G WHITE BREAD,7,560.0055410632365,DPL FESTIVE  LIMITED,6,9
BROOKSIDE 250ML UHT WHOLE MILK,4,134.40154187144648,BROOKSIDE DAIRY LIMITED,6,9
DAIMA 450ML ESL MAZIWA BORA,5,179.006509764647,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
EXE 2KG ALL PURPOSE FLOUR,5,640.4591201186358,UNGA LTD,6,9
LATO 500ML FINO UHT MILK 180DAYS,3,120.51204379562046,MUSTY DISTRIBUTION LIMITED,6,9
TUSKER CAN 500ML BEER,5,850.7907069828149,KENYA BREWERIES LTD,6,9
COKE PET 500ML,3,159.57090755711778,COCA COLA BEVERAGES KENYA LTD,6,9
AQUAMIST 1LTR SPARKLING WATER,3,228.07781895182643,AQUAMIST LIMITED,6,9
TUZO 450ML ESL WHOLE MILK 30DAYS,5,221.9992708713088,BROOKSIDE DAIRY LIMITED,6,9
GOLD 500ML CROWN TFA 20,5,1471.9048185603808,NEW KENYA COOP CREAMERIES  LTD,6,9
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,5,160.00386686921698,Unknown,6,9
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,7,423.4966464388375,BROOKSIDE DAIRY LIMITED,7,10
DAIMA 500ML WHOLE ESL POUCH,7,274.10441220017765,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
DAIMA 450ML ESL MAZIWA BORA,6,214.80781171757639,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
EXE 2KG ALL PURPOSE FLOUR,5,640.4591201186358,UNGA LTD,7,10
LATO 500ML FINO UHT MILK 180DAYS,2,80.34136253041363,MUSTY DISTRIBUTION LIMITED,7,10
