sku,qty,est_cost,supplier,day_generated,arrival_day
FESTIVE 400G MILKY WHITE SLICED,23,1196.0053280824695,DPL FESTIVE  LIMITED,1,4
BIO 2L WHOLE FRESH MILK,20,5093.947180585296,BIO FOOD PRODUCTS LTD,1,4
FESTIVE 800G WHITE MILKY BREAD,20,2080.0,DPL FESTIVE  LIMITED,1,4
FRESHA 500ML WHOLE MILK POUCH,20,909.1883422956915,GITHUNGURI DAIRY FARMERS,1,4
FESTIVE 600G FAMILY WHITE BREAD,20,1600.0117529215363,DPL FESTIVE  LIMITED,1,4
NATURES 400G GOLD WHITE,21,1092.005889364089,DPL FESTIVE  LIMITED,1,4
SOKO 2KG MAIZE MEAL,21,2455.2654333008763,CAPWELL INDUSTRIES LTD,1,4
DAIMA 500ML WHOLE ESL POUCH,15,587.3665975718093,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,1,4
AJAB 2KG HOME BAKING FLOUR,14,1788.3995883926734,GRAIN INDUSTRIES LIMITED,1,4
DAIMA 500ML FINO MAZIWA BORA,15,571.8815697266994,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,1,4
NATURES 600G WHITE BREAD,15,1200.0118737069354,DPL FESTIVE  LIMITED,1,4
DAIMA 450ML ESL MAZIWA BORA,16,572.8208312468704,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,1,4
EXE 2KG ALL PURPOSE FLOUR,13,1665.193712308453,UNGA LTD,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,12,288.0044031647747,GITHUNGURI DAIRY FARMERS,1,4
FRESHA MAISHA 500ML LONG LIFE MILK,11,487.9935397039031,GITHUNGURI DAIRY FARMERS,1,4
BIO 1L FRESH WHOLE MILK,10,1367.0559449471136,BIO FOOD PRODUCTS LTD,1,4
JOGOO 2KG MAIZE MEAL,8,928.0416879071086,UNGA LTD,1,4
WHITE CAP 500ML LAGER CANS,22,4019.5794204154454,KENYA BREWERIES LTD,1,4
QUENCHER 300ML DRINKING WATER,22,339.2873891297099,EXCEL CHEMICALS LTD,1,4
AQUAMIST 300ML MINERAL WATER,21,515.3563122053432,AQUAMIST LIMITED,1,4
QUENCHER 500ML DRINKING WATER,17,359.70112079701124,EXCEL CHEMICALS LTD,1,4
QUENCHER 1LT DRINKING WATER,14,539.6559395742734,EXCEL CHEMICALS LTD,1,4
KERINGET 500ML MINERAL WATER,15,673.7507097719572,COCA COLA BEVERAGES KENYA LTD,1,4
COKE PET 350ML,14,544.367787218323,COCA COLA BEVERAGES KENYA LTD,1,4
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,12,1659.5295753872088,BIO FOOD PRODUCTS LTD,1,4
AQUAMIST 500ML MINERAL WATER,14,552.6888562434419,AQUAMIST LIMITED,1,4
DUNHILL 20S SWITCH,11,4136.0,NOBLE OUTLOOK LIMITED,1,4
TUSKER CAN 500ML BEER,12,2041.8976967587555,KENYA BREWERIES LTD,1,4
EMBASSY BY DUNHILL BLUE 20S,11,4048.011135396296,NOBLE OUTLOOK LIMITED,1,4
KERINGET 18.9LT MINERAL WATER REFIL,11,5267.999951344119,COCA COLA BEVERAGES KENYA LTD,1,4
COKE PET 500ML,9,478.71272267135333,COCA COLA BEVERAGES KENYA LTD,1,4
COKE ZERO 330ML CAN,10,772.5756542116914,COCA COLA BEVERAGES KENYA LTD,1,4
COKE ZERO 500ML PET,9,469.26294513955725,COCA COLA BEVERAGES KENYA LTD,1,4
AQUAMIST 1LTR SPARKLING WATER,8,608.2075172048704,AQUAMIST LIMITED,1,4
SCHWEPPES TONIC WATER 500ML PET,9,546.3720303285594,COCA COLA BEVERAGES KENYA LTD,1,4
DL 37G FILLED CHOCOLATES MINT CHOC,7,390.21561147619815,GLACIER PRODUCTS LTD 2ND,1,4
KRACKLES PERFECTLY SALTED 30G,8,264.3608115942029,PROPACK KENYA LTD,1,4
FESTIVE 400G MILKY WHITE SLICED,31,1612.007181328546,DPL FESTIVE  LIMITED,2,5
BIO 2L WHOLE FRESH MILK,27,6876.82869379015,BIO FOOD PRODUCTS LTD,2,5
FESTIVE 800G WHITE MILKY BREAD,22,2288.0,DPL FESTIVE  LIMITED,2,5
FRESHA 500ML WHOLE MILK POUCH,20,909.1883422956915,GITHUNGURI DAIRY FARMERS,2,5
FESTIVE 600G FAMILY WHITE BREAD,23,1840.0135158597666,DPL FESTIVE  LIMITED,2,5
NATURES 400G GOLD WHITE,24,1248.006730701816,DPL FESTIVE  LIMITED,2,5
SOKO 2KG MAIZE MEAL,27,3156.769842815412,CAPWELL INDUSTRIES LTD,2,5
DAIMA 500ML WHOLE ESL POUCH,18,704.8399170861712,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
AJAB 2KG HOME BAKING FLOUR,15,1916.1424161350074,GRAIN INDUSTRIES LIMITED,2,5
DAIMA 500ML FINO MAZIWA BORA,16,610.0070077084794,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
NATURES 600G WHITE BREAD,18,1440.0142484483226,DPL FESTIVE  LIMITED,2,5
DAIMA 450ML ESL MAZIWA BORA,20,716.026039058588,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
EXE 2KG ALL PURPOSE FLOUR,16,2049.4691843796345,UNGA LTD,2,5
