sku,qty,est_cost,supplier,day_generated,arrival_day
NATURES 400G GOLD WHITE,3,156.000841337727,DPL FESTIVE  LIMITED,6,9
NATURES 400G GOLD WHITE,4,208.001121783636,DPL FESTIVE  LIMITED,7,10
DAIMA 450ML ESL MAZIWA BORA,2,71.6026039058588,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
NATURES 400G GOLD WHITE,4,208.001121783636,DPL FESTIVE  LIMITED,8,11
SOKO 2KG MAIZE MEAL,3,350.75220475726803,CAPWELL INDUSTRIES LTD,8,11
DAIMA 450ML ESL MAZIWA BORA,3,107.40390585878819,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,8,11
WHITE CAP 500ML LAGER CANS,3,548.1244664202881,KENYA BREWERIES LTD,8,11
QUENCHER 300ML DRINKING WATER,3,46.266462154051354,EXCEL CHEMICALS LTD,8,11
FESTIVE 400G MILKY WHITE SLICED,3,156.00069496727866,DPL FESTIVE  LIMITED,9,12
SOKO 2KG MAIZE MEAL,4,467.66960634302404,CAPWELL INDUSTRIES LTD,9,12
DAIMA 500ML WHOLE ESL POUCH,2,78.31554634290791,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,9,12
DAIMA 450ML ESL MAZIWA BORA,3,107.40390585878819,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,9,12
WHITE CAP 500ML LAGER CANS,4,730.8326218937174,KENYA BREWERIES LTD,9,12
QUENCHER 300ML DRINKING WATER,3,46.266462154051354,EXCEL CHEMICALS LTD,9,12
FESTIVE 400G MILKY WHITE SLICED,4,208.0009266230382,DPL FESTIVE  LIMITED,10,13
SOKO 2KG MAIZE MEAL,4,467.66960634302404,CAPWELL INDUSTRIES LTD,10,13
DAIMA 500ML WHOLE ESL POUCH,2,78.31554634290791,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
WHITE CAP 500ML LAGER CANS,4,730.8326218937174,KENYA BREWERIES LTD,10,13
QUENCHER 300ML DRINKING WATER,3,46.266462154051354,EXCEL CHEMICALS LTD,10,13
