sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),327,14306.75857174886,BROOKSIDE DAIRY LIMITED,1,4
ILARA FRESH MILK 500ML SATCHET,99,4452.812183892707,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 500ML TR FRESH MILK,52,2702.841034790366,BROOKSIDE DAIRY LIMITED,1,4
FESTIVE 400G MILKY WHITE SLICED,29,1508.006718017027,DPL FESTIVE  LIMITED,1,4
BROOKSIDE 1LT UHT WHOLE MILK,29,3605.2972490706316,BROOKSIDE DAIRY LIMITED,1,4
FESTIVE 800G WHITE MILKY BREAD,26,2704.0,DPL FESTIVE  LIMITED,1,4
FRESHA 500ML WHOLE MILK POUCH,25,1136.4854278696146,GITHUNGURI DAIRY FARMERS,1,4
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,28,1145.186930213796,BROOKSIDE DAIRY LIMITED,1,4
FESTIVE 600G FAMILY WHITE BREAD,26,2080.015278797997,DPL FESTIVE  LIMITED,1,4
NATURES 400G GOLD WHITE,26,1352.007291593634,DPL FESTIVE  LIMITED,1,4
TUZO 450ML ESL WHOLE MILK 90DAYS,25,918.7992168805742,BROOKSIDE DAIRY LIMITED,1,4
AJAB 2KG HOME BAKING FLOUR,19,2427.1137271043426,GRAIN INDUSTRIES LIMITED,1,4
DAIMA 500ML FINO MAZIWA BORA,20,762.5087596355992,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,1,4
LATO 500ML ESL MILK 90DAYS,20,823.8389450549453,MUSTY DISTRIBUTION LIMITED,1,4
NATURES 600G WHITE BREAD,19,1520.0150400287848,DPL FESTIVE  LIMITED,1,4
BROOKSIDE 250ML UHT WHOLE MILK,19,638.4073238893708,BROOKSIDE DAIRY LIMITED,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,15,360.0055039559684,GITHUNGURI DAIRY FARMERS,1,4
FRESHA MAISHA 500ML LONG LIFE MILK,16,709.8087850238591,GITHUNGURI DAIRY FARMERS,1,4
BIO 1L FRESH WHOLE MILK,14,1913.878322925959,BIO FOOD PRODUCTS LTD,1,4
LATO 500ML FINO UHT MILK 180DAYS,15,602.5602189781023,MUSTY DISTRIBUTION LIMITED,1,4
ILARA  POUCH FRESH MILK 1LTR,11,1029.9704025388344,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,9,1850.0044088176353,BROOKSIDE DAIRY LIMITED,1,4
WHITE CAP 500ML LAGER CANS,29,5298.536508729451,KENYA BREWERIES LTD,1,4
QUENCHER 300ML DRINKING WATER,28,431.8203134378126,EXCEL CHEMICALS LTD,1,4
QUENCHER 500ML DRINKING WATER,23,486.6544575488976,EXCEL CHEMICALS LTD,1,4
QUENCHER 1LT DRINKING WATER,20,770.9370565346762,EXCEL CHEMICALS LTD,1,4
COKE PET 350ML,19,738.7848540820097,COCA COLA BEVERAGES KENYA LTD,1,4
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,16,2212.706100516278,BIO FOOD PRODUCTS LTD,1,4
AQUAMIST 500ML MINERAL WATER,16,631.6444071353621,AQUAMIST LIMITED,1,4
DUNHILL 20S SWITCH,15,5640.0,NOBLE OUTLOOK LIMITED,1,4
TUSKER CAN 500ML BEER,17,2892.6884037415703,KENYA BREWERIES LTD,1,4
