sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 400G MILKY WHITE SLICED,25,1300.0057913939888,DPL FESTIVE  LIMITED,2,1,4
BIO 2L WHOLE FRESH MILK,22,5603.341898643826,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 800G WHITE MILKY BREAD,21,2184.0,DPL FESTIVE  LIMITED,2,1,4
FRESHA 500ML WHOLE MILK POUCH,21,954.6477594104762,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,21,1680.012340567613,DPL FESTIVE  LIMITED,2,1,4
NATURES 400G GOLD WHITE,20,1040.0056089181799,DPL FESTIVE  LIMITED,2,1,4
SOKO 2KG MAIZE MEAL,17,1987.5958269578523,CAPWELL INDUSTRIES LTD,2,1,4
DAIMA 500ML WHOLE ESL POUCH,15,587.3665975718093,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
AJAB 2KG HOME BAKING FLOUR,12,1532.9139329080058,GRAIN INDUSTRIES LIMITED,2,1,4
DAIMA 500ML FINO MAZIWA BORA,14,533.7561317449195,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
NATURES 600G WHITE BREAD,14,1120.011082126473,DPL FESTIVE  LIMITED,2,1,4
DAIMA 450ML ESL MAZIWA BORA,13,465.4169253880822,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
EXE 2KG ALL PURPOSE FLOUR,10,1280.9182402372717,UNGA LTD,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,9,216.00330237358102,GITHUNGURI DAIRY FARMERS,2,1,4
FRESHA MAISHA 500ML LONG LIFE MILK,9,399.2674415759207,GITHUNGURI DAIRY FARMERS,2,1,4
BIO 1L FRESH WHOLE MILK,8,1093.644755957691,BIO FOOD PRODUCTS LTD,2,1,4
WHITE CAP 500ML LAGER CANS,19,3471.4549539951577,KENYA BREWERIES LTD,2,1,4
QUENCHER 300ML DRINKING WATER,18,277.5987729243081,EXCEL CHEMICALS LTD,2,1,4
AQUAMIST 300ML MINERAL WATER,16,392.65242834692816,AQUAMIST LIMITED,2,1,4
QUENCHER 500ML DRINKING WATER,15,317.38334187971583,EXCEL CHEMICALS LTD,2,1,4
QUENCHER 1LT DRINKING WATER,14,539.6559395742734,EXCEL CHEMICALS LTD,2,1,4
KERINGET 500ML MINERAL WATER,13,583.9172818023629,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 350ML,13,505.48437384558554,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,10,1382.9413128226738,BIO FOOD PRODUCTS LTD,2,1,4
DUNHILL 20S SWITCH,9,3384.0,NOBLE OUTLOOK LIMITED,2,1,4
TUSKER CAN 500ML BEER,10,1701.5814139656297,KENYA BREWERIES LTD,2,1,4
EMBASSY BY DUNHILL BLUE 20S,9,3312.0091107787875,NOBLE OUTLOOK LIMITED,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL,9,4310.181778372461,COCA COLA BEVERAGES KENYA LTD,2,1,4
FESTIVE 400G MILKY WHITE SLICED,29,1508.006718017027,DPL FESTIVE  LIMITED,2,2,5
BIO 2L WHOLE FRESH MILK,27,6876.82869379015,BIO FOOD PRODUCTS LTD,2,2,5
FESTIVE 800G WHITE MILKY BREAD,24,2496.0,DPL FESTIVE  LIMITED,2,2,5
FRESHA 500ML WHOLE MILK POUCH,24,1091.02601075483,GITHUNGURI DAIRY FARMERS,2,2,5
FESTIVE 600G FAMILY WHITE BREAD,23,1840.0135158597666,DPL FESTIVE  LIMITED,2,2,5
NATURES 400G GOLD WHITE,22,1144.006169809998,DPL FESTIVE  LIMITED,2,2,5
SOKO 2KG MAIZE MEAL,20,2338.34803171512,CAPWELL INDUSTRIES LTD,2,2,5
DAIMA 500ML WHOLE ESL POUCH,18,704.8399170861712,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,2,5
AJAB 2KG HOME BAKING FLOUR,13,1660.6567606503395,GRAIN INDUSTRIES LIMITED,2,2,5
DAIMA 500ML FINO MAZIWA BORA,15,571.8815697266994,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,2,5
NATURES 600G WHITE BREAD,15,1200.0118737069354,DPL FESTIVE  LIMITED,2,2,5
DAIMA 450ML ESL MAZIWA BORA,14,501.2182273410116,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,2,5
EXE 2KG ALL PURPOSE FLOUR,10,1280.9182402372717,UNGA LTD,2,2,5
FRESHA MAISHA 250ML LONG LIFE MILK,10,240.0036693039789,GITHUNGURI DAIRY FARMERS,2,2,5
FRESHA MAISHA 500ML LONG LIFE MILK,11,487.9935397039031,GITHUNGURI DAIRY FARMERS,2,2,5
BIO 1L FRESH WHOLE MILK,9,1230.3503504524024,BIO FOOD PRODUCTS LTD,2,2,5
WHITE CAP 500ML LAGER CANS,22,4019.5794204154454,KENYA BREWERIES LTD,2,2,5
QUENCHER 300ML DRINKING WATER,20,308.443081027009,EXCEL CHEMICALS LTD,2,2,5
AQUAMIST 300ML MINERAL WATER,20,490.8155354336602,AQUAMIST LIMITED,2,2,5
QUENCHER 500ML DRINKING WATER,16,338.54223133836354,EXCEL CHEMICALS LTD,2,2,5
QUENCHER 1LT DRINKING WATER,15,578.2027924010072,EXCEL CHEMICALS LTD,2,2,5
KERINGET 500ML MINERAL WATER,15,673.7507097719572,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE PET 350ML,16,622.1346139637976,COCA COLA BEVERAGES KENYA LTD,2,2,5
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,11,1521.2354441049413,BIO FOOD PRODUCTS LTD,2,2,5
AQUAMIST 500ML MINERAL WATER,12,473.7333053515216,AQUAMIST LIMITED,2,2,5
DUNHILL 20S SWITCH,10,3760.0,NOBLE OUTLOOK LIMITED,2,2,5
