sku,qty,est_cost,supplier,day_generated,arrival_day
NUTRAMEAL 2KG SUGAR,6,1600.6227010388614,KAMILI PACKERS SUGAR ONLY,5,8
NUTRAMEAL 1KG SUGAR,8,1102.9506692160612,KAMILI PACKERS SUGAR ONLY,6,9
NUTRAMEAL 2KG SUGAR,8,2134.1636013851485,KAMILI PACKERS SUGAR ONLY,6,9
LATO 500ML FINO UHT MILK 180DAYS,8,321.36545012165453,MUSTY DISTRIBUTION LIMITED,7,10
NUTRAMEAL 1KG SUGAR,9,1240.8195028680689,KAMILI PACKERS SUGAR ONLY,7,10
RAVINE GOLD 500ML ESL UHT MILK,5,188.05657156791025,RAVINE DAIRIES LIMITED,7,10
NUTRAMEAL 2KG SUGAR,9,2400.934051558292,KAMILI PACKERS SUGAR ONLY,7,10
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,20,817.9906644384256,BROOKSIDE DAIRY LIMITED,8,11
SOKO 2KG MAIZE MEAL,25,2922.9350396439004,CAPWELL INDUSTRIES LTD,8,11
DAIMA 450ML ESL MAZIWA BORA,17,608.6221331997998,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,8,11
LATO 500ML FINO UHT MILK 180DAYS,11,441.877493917275,MUSTY DISTRIBUTION LIMITED,8,11
NUTRAMEAL 1KG SUGAR,12,1654.4260038240918,KAMILI PACKERS SUGAR ONLY,8,11
RAVINE GOLD 500ML ESL UHT MILK,8,300.8905145086564,RAVINE DAIRIES LIMITED,8,11
DL 37G FILLED CHOCOLATES MINT CHOC,8,445.9606988299407,GLACIER PRODUCTS LTD 2ND,8,11
AQUAMIST 500ML SPARKLING WATER,8,440.9420376056582,AQUAMIST LIMITED,8,11
KABARNET 300ML MINERAL WATER,4,60.91600207146556,KHETIA DRAPERS LTD,8,11
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,23,940.6892641041894,BROOKSIDE DAIRY LIMITED,9,12
SOKO 2KG MAIZE MEAL,26,3039.8524412296565,CAPWELL INDUSTRIES LTD,9,12
DAIMA 450ML ESL MAZIWA BORA,20,716.026039058588,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,9,12
LATO 500ML FINO UHT MILK 180DAYS,12,482.0481751824818,MUSTY DISTRIBUTION LIMITED,9,12
RAVINE GOLD 500ML ESL UHT MILK,8,300.8905145086564,RAVINE DAIRIES LIMITED,9,12
TUPIKE 2KG MAIZE MEAL FLOUR,3,337.125775752051,OSHO GRAIN MILLERS  LTD,9,12
AQUAMIST 1LTR SPARKLING WATER,8,608.2075172048704,AQUAMIST LIMITED,9,12
DL 37G FILLED CHOCOLATES MINT CHOC,9,501.7057861836833,GLACIER PRODUCTS LTD 2ND,9,12
AQUAMIST 500ML SPARKLING WATER,10,551.1775470070727,AQUAMIST LIMITED,9,12
HIGHLANDS 500ML MINERAL WATER,6,120.00203864939479,HIGHLANDS DRINKS LIMITED,9,12
KABARNET 300ML MINERAL WATER,6,91.37400310719835,KHETIA DRAPERS LTD,9,12
ISINYA 15S EGGS,4,992.6768044187799,ISINYA FEEDS LIMITED,9,12
OREO 55.2G ORIGINAL COOKIES,3,164.913670613563,HASBAH KENYA LTD CADBURY,9,12
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,29,1186.0864634357172,BROOKSIDE DAIRY LIMITED,10,13
SOKO 2KG MAIZE MEAL,26,3039.8524412296565,CAPWELL INDUSTRIES LTD,10,13
DAIMA 450ML ESL MAZIWA BORA,20,716.026039058588,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
ILARA  POUCH FRESH MILK 1LTR,7,655.4357107065309,BROOKSIDE DAIRY LIMITED,10,13
RAVINE GOLD 500ML ESL UHT MILK,5,188.05657156791025,RAVINE DAIRIES LIMITED,10,13
BROOKSIDE 1L FARM FRESH MILK,4,416.0,BROOKSIDE DAIRY LIMITED,10,13
BROOKSIDE 1L LACTOSE FREE UHT MILK,4,557.5011283127789,BROOKSIDE DAIRY LIMITED,10,13
FESTIVE 400G FINEST SUPER SEEDED BREAD,4,416.00086021505376,DPL FESTIVE  LIMITED,10,13
FRESHA 5L WHOLE MILK,4,1598.3192182410423,GITHUNGURI DAIRY FARMERS,10,13
TUPIKE 2KG MAIZE MEAL FLOUR,3,337.125775752051,OSHO GRAIN MILLERS  LTD,10,13
AQUAMIST 1LTR SPARKLING WATER,9,684.2334568554793,AQUAMIST LIMITED,10,13
DL 37G FILLED CHOCOLATES MINT CHOC,10,557.4508735374259,GLACIER PRODUCTS LTD 2ND,10,13
MAGGI 4G 28S CUBE FORTIFIED,8,679.0053756030323,NESTLE KENYA LTD,10,13
AQUAMIST 500ML SPARKLING WATER,11,606.29530170778,AQUAMIST LIMITED,10,13
HIGHLANDS 500ML MINERAL WATER,7,140.0023784242939,HIGHLANDS DRINKS LIMITED,10,13
KABARNET 300ML MINERAL WATER,7,106.60300362506473,KHETIA DRAPERS LTD,10,13
KERINGET 1LT MINERAL WATER,4,277.97382039573824,COCA COLA BEVERAGES KENYA LTD,10,13
ISINYA 15S EGGS,5,1240.8460055234748,ISINYA FEEDS LIMITED,10,13
OREO 55.2G ORIGINAL COOKIES,3,164.913670613563,HASBAH KENYA LTD CADBURY,10,13
