sku,qty,est_cost,supplier,day_generated,arrival_day
RAVINE GOLD 500ML ESL UHT MILK,14,526.5584003901487,RAVINE DAIRIES LIMITED,1,4
SCHWEPPES TONIC WATER 500ML PET,26,1578.4080876158384,COCA COLA BEVERAGES KENYA LTD,1,4
AQUAMIST 500ML SPARKLING WATER,20,1102.3550940141454,AQUAMIST LIMITED,1,4
KABARNET 300ML MINERAL WATER,13,197.97700673226308,KHETIA DRAPERS LTD,1,4
FANTA ORANGE PET 350ML,14,545.2482312746387,COCA COLA BEVERAGES KENYA LTD,1,4
ISINYA 15S EGGS,13,3226.1996143610345,ISINYA FEEDS LIMITED,1,4
ILARA FRESH MILK 500ML SATCHET,214,9625.270781343832,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 500ML TR FRESH MILK,110,5717.548342825774,BROOKSIDE DAIRY LIMITED,2,5
FESTIVE 400G MILKY WHITE SLICED,64,3328.014825968611,DPL FESTIVE  LIMITED,2,5
BROOKSIDE 1LT UHT WHOLE MILK,58,7210.594498141263,BROOKSIDE DAIRY LIMITED,2,5
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,61,2494.871526537198,BROOKSIDE DAIRY LIMITED,2,5
FESTIVE 600G FAMILY WHITE BREAD,57,4560.033495826378,DPL FESTIVE  LIMITED,2,5
NATURES 400G GOLD WHITE,51,2652.0143027413587,DPL FESTIVE  LIMITED,2,5
TUZO 450ML ESL WHOLE MILK 90DAYS,51,1874.3504024363715,BROOKSIDE DAIRY LIMITED,2,5
SOKO 2KG MAIZE MEAL,61,7131.961496731116,CAPWELL INDUSTRIES LTD,2,5
DAIMA 500ML WHOLE ESL POUCH,44,1722.9420195439739,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
NATURES 600G WHITE BREAD,41,3280.0324547989567,DPL FESTIVE  LIMITED,2,5
BROOKSIDE 250ML UHT WHOLE MILK,36,1209.6138768430183,BROOKSIDE DAIRY LIMITED,2,5
DAIMA 450ML ESL MAZIWA BORA,37,1324.6481722583878,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
EXE 2KG ALL PURPOSE FLOUR,35,4483.213840830451,UNGA LTD,2,5
TUZO 450ML ESL WHOLE MILK 30DAYS,34,1509.5950419249,BROOKSIDE DAIRY LIMITED,2,5
MT KENYA 500ML ESL UHT MILK,29,1321.9740415704389,MERU CENTRAL DAIRY COOPERATIVE UNION LIMITED,2,5
FRESHA MAISHA 500ML LONG LIFE MILK,30,1330.8914719197357,GITHUNGURI DAIRY FARMERS,2,5
BIO 1L FRESH WHOLE MILK,28,3827.756645851918,BIO FOOD PRODUCTS LTD,2,5
LATO 500ML FINO UHT MILK 180DAYS,27,1084.608394160584,MUSTY DISTRIBUTION LIMITED,2,5
NUTRAMEAL 1KG SUGAR,24,3308.8520076481836,KAMILI PACKERS SUGAR ONLY,2,5
KINANGOP FRESH 500ML MILK POUCH,22,879.5453145057768,KINANGOP DAIRY LIMITED,2,5
ILARA  POUCH FRESH MILK 1LTR,23,2153.5744780357445,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,16,3289.0169717138106,BROOKSIDE DAIRY LIMITED,2,5
FESTIVE 400G WHOLE MEAL,16,832.0055797733218,DPL FESTIVE  LIMITED,2,5
BROOKSIDE 1LTR FRESH MILK STANDARD,19,1975.7596566523607,BROOKSIDE DAIRY LIMITED,2,5
RAVINE GOLD 500ML ESL UHT MILK,17,639.3923433308948,RAVINE DAIRIES LIMITED,2,5
FESTIVE 600G FAMILY BRWN BREAD,13,1040.0025742574257,DPL FESTIVE  LIMITED,2,5
BROOKSIDE 1L FARM FRESH MILK,15,1560.0,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 1L LACTOSE FREE UHT MILK,13,1811.8786670165314,BROOKSIDE DAIRY LIMITED,2,5
FESTIVE 400G FINEST SUPER SEEDED BREAD,12,1248.0025806451613,DPL FESTIVE  LIMITED,2,5
SUPA 400G BUTTER TOAST BREAD,11,572.0197919595164,MINI BAKERIES NBI  LTD,2,5
BROOKSIDE 200ML  WHOLE MILK TCA,12,307.2057571214393,BROOKSIDE DAIRY LIMITED,2,5
BIO 1L FRESH SEMI SKIMMED MILK,10,1256.651851851852,BIO FOOD PRODUCTS LTD,2,5
TUPIKE 2KG MAIZE MEAL FLOUR,12,1348.503103008204,OSHO GRAIN MILLERS  LTD,2,5
V22 BAG 10 X 15 X 22 30G,92,736.1783427345674,POLYTHENE INDUSTRIES LIMITED,2,5
WHITE CAP 500ML LAGER CANS,55,10048.948551038613,KENYA BREWERIES LTD,2,5
QUENCHER 300ML DRINKING WATER,58,894.4849349783261,EXCEL CHEMICALS LTD,2,5
AQUAMIST 300ML MINERAL WATER,50,1227.0388385841504,AQUAMIST LIMITED,2,5
QUENCHER 500ML DRINKING WATER,46,973.3089150977952,EXCEL CHEMICALS LTD,2,5
KERINGET 500ML MINERAL WATER,38,1706.8351314222916,COCA COLA BEVERAGES KENYA LTD,2,5
AQUAMIST 500ML MINERAL WATER,36,1421.1999160545647,AQUAMIST LIMITED,2,5
TUSKER CAN 500ML BEER,33,5615.218666086578,KENYA BREWERIES LTD,2,5
COKE ZERO 330ML CAN,29,2240.469397213905,COCA COLA BEVERAGES KENYA LTD,2,5
AQUAMIST 1LTR SPARKLING WATER,25,1900.6484912652202,AQUAMIST LIMITED,2,5
SCHWEPPES TONIC WATER 500ML PET,31,1881.948104465038,COCA COLA BEVERAGES KENYA LTD,2,5
COKE 330ML CAN,22,1716.9638839550034,COCA COLA BEVERAGES KENYA LTD,2,5
DL 37G FILLED CHOCOLATES MINT CHOC,24,1337.8820964898223,GLACIER PRODUCTS LTD 2ND,2,5
SAFARI 300ML LEMONADE LIME DRINK,20,777.1658013153342,BOUNTY LIMITED,2,5
NUTFIELDS 20G CASHEW NUTS ROASTED AND SALTED,19,1064.0,KENYA NUT COMPANY,2,5
TUSKER 500ML LAGER BEER,21,3511.2000000000003,KENYA BREWERIES LTD,2,5
NUTFIELD 20G MAC NUTS LOCAL,20,1024.0,KENYA NUT COMPANY,2,5
AQUAMIST 500ML SPARKLING WATER,26,1433.0616222183892,AQUAMIST LIMITED,2,5
NUTFIELDS 20G MIXED NUTS,22,968.0,KENYA NUT COMPANY,2,5
WHITE CAP 500ML LAGER BEER,21,4015.2000000000003,KENYA BREWERIES LTD,2,5
ISINYA 6S EGGS,18,1802.852646621861,ISINYA FEEDS LIMITED,2,5
SPRITE PET 350ML,17,661.3727807585569,COCA COLA BEVERAGES KENYA LTD,2,5
SCHWEPPES SODA WATER 500ML PET,17,1029.1176925782627,COCA COLA BEVERAGES KENYA LTD,2,5
KRACKLES BANG BANG CHILLI 30G,19,837.508484848485,PROPACK KENYA LTD,2,5
GUINNESS 500ML CAN,17,3110.201793013669,KENYA BREWERIES LTD,2,5
KRACKLES POTATO CRISP BBQ30G,18,785.828173374613,PROPACK KENYA LTD,2,5
HIGHLANDS 500ML MINERAL WATER,16,320.0054363983861,HIGHLANDS DRINKS LIMITED,2,5
ISINYA 30S EGGS,16,6928.422172949002,ISINYA FEEDS LIMITED,2,5
KRACKLES CHEESE & ONION 30G,15,664.9074708704593,PROPACK KENYA LTD,2,5
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,15,320.0806328144935,RADBONE CLARK LIMITED MARS,2,5
KABARNET 300ML MINERAL WATER,16,243.66400828586225,KHETIA DRAPERS LTD,2,5
FANTA ORANGE PET 350ML,16,623.1408357424442,COCA COLA BEVERAGES KENYA LTD,2,5
SPRITE 330ML CAN REGULAR,12,926.6766843033508,COCA COLA BEVERAGES KENYA LTD,2,5
WRIGLEYS JUICY FRUIT 10S CLASSIC,12,255.99751359751363,RADBONE CLARK LIMITED MARS,2,5
AQUAMIST 1LT MINERAL WATER,13,795.7803297328028,AQUAMIST LIMITED,2,5
ISINYA 15S EGGS,14,3474.3688154657293,ISINYA FEEDS LIMITED,2,5
TENA 10S WHITE TOILET ROLLS,13,4687.060629486472,AFRICAN COTTON INDUSTRIES LTD,2,5
DUNHILL 20S DOUBLE CAP,13,4888.0,NOBLE OUTLOOK LIMITED,2,5
PREDATOR 400ML ENERGY DRINK PET,12,604.468543554007,COCA COLA BEVERAGES KENYA LTD,2,5
KNORR 51G 6S CHICKEN CUBES,11,829.3475419487784,UNILEVER KENYA LIMITED,2,5
WRIGLEYS P.K 10S CHEWING GUM MENTHOL,11,234.38766066838048,RADBONE CLARK LIMITED MARS,2,5
NUTRAMEAL 2KG SUGAR,25,6669.261254328589,KAMILI PACKERS SUGAR ONLY,2,5
BROOKSIDE 500ML DAIRY BEST (POUCH),807,35307.50509908664,BROOKSIDE DAIRY LIMITED,3,6
ILARA FRESH MILK 500ML SATCHET,255,11469.364716087277,BROOKSIDE DAIRY LIMITED,3,6
BROOKSIDE 500ML TR FRESH MILK,123,6393.2586015233655,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 400G MILKY WHITE SLICED,76,3952.0176058377256,DPL FESTIVE  LIMITED,3,6
BROOKSIDE 1LT UHT WHOLE MILK,73,9075.403420074348,BROOKSIDE DAIRY LIMITED,3,6
FESTIVE 800G WHITE MILKY BREAD,62,6448.0,DPL FESTIVE  LIMITED,3,6
