sku,qty,est_cost,supplier,day_generated
BROOKSIDE 500ML DAIRY BEST (POUCH),4479,195963.2160332206,BROOKSIDE DAIRY LIMITED,7
ILARA FRESH MILK 500ML SATCHET,1327,59685.674424501245,BROOKSIDE DAIRY LIMITED,7
TUZO 500ML FRESH MILK (POUCH),724,34172.83747290784,BROOKSIDE DAIRY LIMITED,7
BROOKSIDE 500ML TR FRESH MILK,676,35136.93345227476,BROOKSIDE DAIRY LIMITED,7
FESTIVE 400G MILKY WHITE SLICED,394,20488.091272369264,DPL FESTIVE  LIMITED,7
BIO 2L WHOLE FRESH MILK,379,96530.29907209137,BIO FOOD PRODUCTS LTD,7
BROOKSIDE 1LT UHT WHOLE MILK,372,46247.26126394052,BROOKSIDE DAIRY LIMITED,7
FESTIVE 800G WHITE MILKY BREAD,351,36504.0,DPL FESTIVE  LIMITED,7
FRESHA 500ML WHOLE MILK POUCH,347,15774.417738830249,GITHUNGURI DAIRY FARMERS,7
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,341,13946.740828675156,BROOKSIDE DAIRY LIMITED,7
FESTIVE 600G FAMILY WHITE BREAD,336,26880.197449081807,DPL FESTIVE  LIMITED,7
NATURES 400G GOLD WHITE,329,17108.09226670406,DPL FESTIVE  LIMITED,7
TUZO 450ML ESL WHOLE MILK 90DAYS,312,11466.614226669566,BROOKSIDE DAIRY LIMITED,7
SOKO 2KG MAIZE MEAL,305,35659.80748365558,CAPWELL INDUSTRIES LTD,7
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,299,18089.356755030345,BROOKSIDE DAIRY LIMITED,7
DAIMA 500ML WHOLE ESL POUCH,284,11120.807580692923,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7
AJAB 2KG HOME BAKING FLOUR,259,33085.39238526446,GRAIN INDUSTRIES LIMITED,7
DAIMA 500ML FINO MAZIWA BORA,256,9760.11212333567,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7
NATURES 600G WHITE BREAD,253,20240.200269856978,DPL FESTIVE  LIMITED,7
BROOKSIDE 250ML UHT WHOLE MILK,250,8400.096366965405,BROOKSIDE DAIRY LIMITED,7
