sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
ILARA FRESH MILK 500ML SATCHET,56,2518.762447454461,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 500ML FRESH MILK (POUCH),35,1652.0018115356,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 500ML TR FRESH MILK,33,1715.2645028477323,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 450ML ESL WHOLE MILK 30DAYS,19,843.5972293109735,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA 500ML WHOLE MILK POUCH,15,681.8912567217686,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 400G MILKY WHITE SLICED,17,884.0039381479123,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 1LT UHT WHOLE MILK,15,1864.8089219330855,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 400G GOLD WHITE,13,676.003645796817,DPL FESTIVE  LIMITED,2,1,4
BIO 2L WHOLE FRESH MILK,13,3311.0656673804424,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,13,1040.0076393989984,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 800G WHITE MILKY BREAD,14,1456.0,DPL FESTIVE  LIMITED,2,1,4
JOGOO 2KG MAIZE MEAL,12,1392.0625318606628,UNGA LTD,2,1,4
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,12,725.9942510380072,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,11,449.8948654411341,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 250ML UHT WHOLE MILK,10,336.0038546786162,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,10,240.0036693039789,GITHUNGURI DAIRY FARMERS,2,1,4
NATURES 600G WHITE BREAD,10,800.0079158046236,DPL FESTIVE  LIMITED,2,1,4
EXE 2KG ALL PURPOSE FLOUR,7,896.64276816609,UNGA LTD,2,1,4
BIO 1L FRESH WHOLE MILK,4,546.8223779788455,BIO FOOD PRODUCTS LTD,2,1,4
ILARA  POUCH FRESH MILK 1LTR,3,280.90101887422753,BROOKSIDE DAIRY LIMITED,2,1,4
FESTIVE 400G WHOLE MEAL,3,156.00104620749784,DPL FESTIVE  LIMITED,2,1,4
ILARA FRESH MILK 500ML SATCHET,69,3103.475158470675,BROOKSIDE DAIRY LIMITED,2,2,5
TUZO 500ML FRESH MILK (POUCH),44,2076.80227735904,BROOKSIDE DAIRY LIMITED,2,2,5
BROOKSIDE 500ML TR FRESH MILK,41,2131.086200507789,BROOKSIDE DAIRY LIMITED,2,2,5
TUZO 450ML ESL WHOLE MILK 30DAYS,26,1154.3962085308058,BROOKSIDE DAIRY LIMITED,2,2,5
FRESHA 500ML WHOLE MILK POUCH,20,909.1883422956915,GITHUNGURI DAIRY FARMERS,2,2,5
FESTIVE 400G MILKY WHITE SLICED,22,1144.00509642671,DPL FESTIVE  LIMITED,2,2,5
BROOKSIDE 1LT UHT WHOLE MILK,21,2610.7324907063194,BROOKSIDE DAIRY LIMITED,2,2,5
NATURES 400G GOLD WHITE,18,936.0050480263619,DPL FESTIVE  LIMITED,2,2,5
BIO 2L WHOLE FRESH MILK,18,4584.552462526766,BIO FOOD PRODUCTS LTD,2,2,5
FESTIVE 600G FAMILY WHITE BREAD,19,1520.0111652754595,DPL FESTIVE  LIMITED,2,2,5
FESTIVE 800G WHITE MILKY BREAD,19,1976.0,DPL FESTIVE  LIMITED,2,2,5
JOGOO 2KG MAIZE MEAL,13,1508.0677428490515,UNGA LTD,2,2,5
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,16,967.9923347173428,BROOKSIDE DAIRY LIMITED,2,2,5
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,16,654.3925315507405,BROOKSIDE DAIRY LIMITED,2,2,5
BROOKSIDE 250ML UHT WHOLE MILK,14,470.4053965500627,BROOKSIDE DAIRY LIMITED,2,2,5
FRESHA MAISHA 250ML LONG LIFE MILK,14,336.0051370255705,GITHUNGURI DAIRY FARMERS,2,2,5
NATURES 600G WHITE BREAD,14,1120.011082126473,DPL FESTIVE  LIMITED,2,2,5
