sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 400G MILKY WHITE SLICED,51,2652.011814443737,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 1LT UHT WHOLE MILK,37,4599.862007434944,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 400G GOLD WHITE,47,2444.013180957723,DPL FESTIVE  LIMITED,2,1,4
BIO 2L WHOLE FRESH MILK,47,11970.775874375446,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,47,3760.02761936561,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 800G WHITE MILKY BREAD,46,4784.0,DPL FESTIVE  LIMITED,2,1,4
JOGOO 2KG MAIZE MEAL,34,3944.1771736052115,UNGA LTD,2,1,4
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,43,2601.479399552859,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,41,1676.8808620987725,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 250ML UHT WHOLE MILK,36,1209.6138768430183,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 600G WHITE BREAD,36,2880.0284968966453,DPL FESTIVE  LIMITED,2,1,4
EXE 2KG ALL PURPOSE FLOUR,23,2946.1119525457248,UNGA LTD,2,1,4
AJAB 2KG HOME BAKING FLOUR,15,1916.1424161350074,GRAIN INDUSTRIES LIMITED,2,1,4
BIO 1L FRESH WHOLE MILK,19,2597.406295399516,BIO FOOD PRODUCTS LTD,2,1,4
PEMBE 2KG MAIZE MEAL,14,1646.4552136241414,PEMBE FLOUR MILLS,2,1,4
ILARA  POUCH FRESH MILK 1LTR,14,1310.8714214130619,BROOKSIDE DAIRY LIMITED,2,1,4
SOKO 2KG MAIZE MEAL,15,1753.76102378634,CAPWELL INDUSTRIES LTD,2,1,4
RINA 5LT VEGETABLE OIL,11,10712.568858131486,KAPA OIL REFINERIES LTD,2,1,4
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,14,2877.7846359385435,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 800G WHITE BREAD,14,1456.0227951153327,DPL FESTIVE  LIMITED,2,1,4
PEMBE 2KG HOMEBAKING,14,1709.4065289806795,PEMBE FLOUR MILLS,2,1,4
FESTIVE 600G FAMILY BRWN BREAD,14,1120.002772277228,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 400G WHOLE MEAL,12,624.0041848299913,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,11,2261.1991680532446,BROOKSIDE DAIRY LIMITED,2,1,4
FESTIVE 800G SUPREME WHOLE MEAL,9,936.0,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 1LT UHT LOWFAT MILK,9,1100.980132450331,BROOKSIDE DAIRY LIMITED,2,1,4
BIO 2L SEMI SKIMMED FRESH MILK,9,2200.4049512773245,BIO FOOD PRODUCTS LTD,2,1,4
BROOKSIDE 1L FARM FRESH MILK,9,936.0,BROOKSIDE DAIRY LIMITED,2,1,4
FESTIVE 400G FINEST SUPER SEEDED BREAD,9,936.001935483871,DPL FESTIVE  LIMITED,2,1,4
