sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),10174,445128.32326903025,BROOKSIDE DAIRY LIMITED,2,1,4
ILARA FRESH MILK 500ML SATCHET,3036,136552.9069727097,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 500ML FRESH MILK (POUCH),1827,86234.49456215832,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 500ML TR FRESH MILK,1722,89505.62042132713,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 450ML ESL WHOLE MILK 30DAYS,992,44044.65534086767,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA 500ML WHOLE MILK POUCH,776,35276.507681072835,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 400G MILKY WHITE SLICED,847,44044.19621242834,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 1LT UHT WHOLE MILK,767,95353.89620817843,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 400G GOLD WHITE,706,36712.19799481175,DPL FESTIVE  LIMITED,2,1,4
BIO 2L WHOLE FRESH MILK,724,184400.88793718774,BIO FOOD PRODUCTS LTD,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,708,56640.41605342238,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 800G WHITE MILKY BREAD,721,74984.0,DPL FESTIVE  LIMITED,2,1,4
DAIMA 500ML FINO MAZIWA BORA,644,24552.782060266294,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,644,38961.69147237305,BROOKSIDE DAIRY LIMITED,2,1,4
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,587,24008.026001267794,BROOKSIDE DAIRY LIMITED,2,1,4
BROOKSIDE 250ML UHT WHOLE MILK,543,18245.00930904886,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,559,13416.205114092421,GITHUNGURI DAIRY FARMERS,2,1,4
KCC 500ML FRESH WHOLE MILK TFA 21,491,20782.040233236152,NEW KENYA COOP CREAMERIES  LTD,2,1,4
NATURES 600G WHITE BREAD,535,42800.423495547366,DPL FESTIVE  LIMITED,2,1,4
DAIMA 450ML ESL MAZIWA BORA,395,14141.514271407113,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
DAIMA 500ML WHOLE ESL POUCH,393,15389.004856381403,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
MUMIAS 2KG SUGAR,291,74679.58517195175,Unknown,2,1,4
KCC 500ML FRESH W/MILK (POUCH)-84,337,15203.243578274762,NEW KENYA COOP CREAMERIES  LTD,2,1,4
MUMIAS 1KG SUGAR,231,29916.301999216,Unknown,2,1,4
BIO 1L FRESH WHOLE MILK,332,45386.257372244174,BIO FOOD PRODUCTS LTD,2,1,4
SOKO 2KG MAIZE MEAL,291,34022.963861455,CAPWELL INDUSTRIES LTD,2,1,4
ILARA  POUCH FRESH MILK 1LTR,257,24063.853950225493,BROOKSIDE DAIRY LIMITED,2,1,4
KCC 500ML GOLD CROWN  (POUCH)-55,252,11583.5613986014,NEW KENYA COOP CREAMERIES  LTD,2,1,4
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,258,53033.45971943888,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 800G WHITE BREAD,244,25376.3972862958,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 600G FAMILY BRWN BREAD,230,18400.045544554458,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 400G WHOLE MEAL,203,10556.07079337402,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 2LTR FRESH MILK WHOLE BOTTLE,188,38645.949417637275,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA MAISHA 500ML LONG LIFE MILK,186,8251.527125902361,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 800G SUPREME WHOLE MEAL,175,18200.0,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 1LT UHT LOWFAT MILK,178,21774.94039735099,BROOKSIDE DAIRY LIMITED,2,1,4
BIO 2L SEMI SKIMMED FRESH MILK,175,42785.65183039242,BIO FOOD PRODUCTS LTD,2,1,4
BROOKSIDE 1L FARM FRESH MILK,170,17680.0,BROOKSIDE DAIRY LIMITED,2,1,4
FESTIVE 400G FINEST SUPER SEEDED BREAD,170,17680.036559139786,DPL FESTIVE  LIMITED,2,1,4
FRESHA 500ML ASEPTIC WHOLE MILK,162,6998.443475343846,GITHUNGURI DAIRY FARMERS,2,1,4
BROADWAY 400G WHITE SLICED BREAD,148,7696.0,BROADWAYS BAKERY LTD,2,1,4
BROOKSIDE 1LTR FRESH MILK STANDARD,149,15494.115202168512,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA 5L WHOLE MILK,148,59137.811074918565,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 400G WHITE SLICED,152,7661.039842209074,DPL FESTIVE  LIMITED,2,1,4
BROOKSIDE 1L LACTOSE FREE UHT MILK,144,20070.04061926004,BROOKSIDE DAIRY LIMITED,2,1,4
SUPA 400G BUTTER TOAST BREAD,160,8320.287883047511,MINI BAKERIES NBI  LTD,2,1,4
BROOKSIDE 200ML  WHOLE MILK TCA,134,3430.464287856072,BROOKSIDE DAIRY LIMITED,2,1,4
SUPA 400G WHITE SLICED BREAD CT,128,6656.0,MINI BAKERIES NBI  LTD,2,1,4
