sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
FESTIVE 400G MILKY WHITE SLICED,30,1560.0069496727865,DPL FESTIVE  LIMITED,2,1,4
BIO 2L WHOLE FRESH MILK,31,7895.61812990721,BIO FOOD PRODUCTS LTD,2,1,4
FRESHA 500ML WHOLE MILK POUCH,29,1318.3230963287529,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 800G WHITE MILKY BREAD,28,2912.0,DPL FESTIVE  LIMITED,2,1,4
FESTIVE 600G FAMILY WHITE BREAD,29,2320.0170417362274,DPL FESTIVE  LIMITED,2,1,4
NATURES 400G GOLD WHITE,29,1508.008132931361,DPL FESTIVE  LIMITED,2,1,4
DAIMA 500ML FINO MAZIWA BORA,22,838.7596355991591,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
NATURES 600G WHITE BREAD,21,1680.0166231897097,DPL FESTIVE  LIMITED,2,1,4
DAIMA 500ML WHOLE ESL POUCH,22,861.4710097719869,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
SOKO 2KG MAIZE MEAL,17,1987.5958269578523,CAPWELL INDUSTRIES LTD,2,1,4
FRESHA MAISHA 250ML LONG LIFE MILK,17,408.00623781676416,GITHUNGURI DAIRY FARMERS,2,1,4
DAIMA 450ML ESL MAZIWA BORA,16,572.8208312468704,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,1,4
EXE 2KG ALL PURPOSE FLOUR,13,1665.193712308453,UNGA LTD,2,1,4
KCC 500ML FRESH WHOLE MILK TFA 21,12,507.91137026239073,NEW KENYA COOP CREAMERIES  LTD,2,1,4
BIO 1L FRESH WHOLE MILK,10,1367.0559449471136,BIO FOOD PRODUCTS LTD,2,1,4
KCC 500ML FRESH W/MILK (POUCH)-84,9,406.0213418530352,NEW KENYA COOP CREAMERIES  LTD,2,1,4
FRESHA MAISHA 500ML LONG LIFE MILK,10,443.6304906399119,GITHUNGURI DAIRY FARMERS,2,1,4
QUENCHER 500ML DRINKING WATER,23,486.6544575488976,EXCEL CHEMICALS LTD,2,1,4
WHITE CAP 500ML LAGER CANS,22,4019.5794204154454,KENYA BREWERIES LTD,2,1,4
QUENCHER 300ML DRINKING WATER,23,354.7095431810603,EXCEL CHEMICALS LTD,2,1,4
AQUAMIST 300ML MINERAL WATER,20,490.8155354336602,AQUAMIST LIMITED,2,1,4
COKE PET 350ML,15,583.2512005910603,COCA COLA BEVERAGES KENYA LTD,2,1,4
