Vendor_Name,Primary_Category,Total_Volume,SKU_Count,Avg_Quality_Score,Avg_Reliability_Score,Total_Expiry_Returns,Category_Market_Share
AFRICAN COTTON INDUSTRIES LTD,Wipes,32,13,96.5,0.905,526151.453191,0.003270645952575634
AQUINTA PHARMA LIMITED SR,Sanitary Towels,90,4,0.0,0.905,0.0,0.006947124662292551
ARYUV AGENCIES LTD,Wipes,1664,14,97.0,0.905,45187.52,0.17007358953393295
BABY BRANDS DIRECTS LTD,Diapers,467,13,99.0,0.905,19490.250013,0.13804315696127697
BEIERSDORF EAST AFRICA LTD HQ,Wipes,0,1,92.5,0.905,57335.66167799999,0.0
BIDCO AFRICA LTD HQ,Fabric Conditioner,196,13,92.5,0.905,158375.609132,0.027512633352049412
BOWIP AGENCIES LTD,Sanitary Towels,0,2,96.0,0.905,594.914002,0.0
BRAND IMPORT AFRICA 2ND ACCOUNT SR,Wipes,0,4,91.0,0.905,25571.399987999997,0.0
CHANDARIA INDUSTRIES  LTD,Sanitary Towels,47,1,67.0,0.905,94318.764232,0.003627942879197221
CHANDARIA INDUSTRIES LTD HYGIENE,Sanitary Towels,1602,20,92.5,0.905,234629.9999,0.12365881898880741
CLOROX SUB SAHARA  AFRICA  LTD,Wipes,0,2,92.5,0.905,22149.2691,0.0
COLGATE PALMOLIVE E A LTD HQ,Fabric Conditioner,2691,22,100.0,0.0,165446.28119799998,0.3777372262773723
DNO MUSK KENYA LIMITED SR,Sanitary Towels,0,1,0.0,0.0,0.0,0.0
DP WORLD L MARKET ACCESS CONSUMER K LTD TENA,Diapers,10,16,0.0,0.0,0.0,0.0029559562518474726
FINSBURY TRADING LIMITED MSA,Fabric Conditioner,0,14,85.5,0.905,260307.54394399998,0.0
GENERIC BRANDS LIMITED HQ,Wipes,0,4,0.0,0.905,0.0,0.0
GLOBAL SLACKER ENTERPRISES LTD,Fabric Conditioner,45,4,91.5,0.905,47471.683208,0.006316676024705222
HACO INDUSTRIES KENYA  LTD,Fabric Conditioner,615,13,96.0,0.905,10079.1977,0.08632790567097136
HASBAH KENYA LTD P AND G,Diapers,7701,88,72.5,0.905,57883604.84843199,2.2763819095477387
HAYAT KIMYA  K  H PRODUCTS LTD,Diapers,3566,49,98.0,0.905,102823.56,1.0540939994088088
HEALTHCARE DIRECT K LTD,Diapers,49,3,0.0,0.9049999999999999,0.0,0.014484185634052616
HEALTHY U IMPORTED 151,Wipes,1,1,0.0,0.0,0.0,0.00010220768601798856
HEALTHY U IMPORTED 1C UK COSMETICS,Diapers,0,3,0.0,0.0,0.0,0.0
HEALTHY U TWO THOUSAND LTD,Fabric Conditioner,1,2,0.0,0.905,833981.857368,0.00014037057832678272
KAPA OIL REFINERIES LTD,Fabric Conditioner,1,6,81.5,0.9049999999999999,252998.39771400002,0.00014037057832678272
KIM FAY EAST AFRICA LTD,Diapers,7146,77,70.0,0.905,43420799.75602601,2.112326337570204
