BARCODE,ITM_NAME,DEPARTMENT,VENDOR_NAME,STOCK,SellPrice,CostPrice_Final,StockValue,CostValue,SC_ADS,SC_Recommended,StockGap,DaysOfCover,SC_Priority,SC_Velocity
6164004734140,254 Niaje 330Ml Lager Beer,BEER,254 BREWING COMPANY LIMITED,60.0,279.0,198.275862,16740.0,11896.55172,0.7325,49.44375000000001,-10.556249999999991,81.9,Important,C (Filler)
6164004734201,254 330Ml Muratatu Tripel Beer,BEER,254 BREWING COMPANY LIMITED,2.0,299.0,213.793103,598.0,427.586206,0.475,32.06249999999999,30.062499999999993,4.2,Important,C (Filler)
6166000125311,254 Golden Rump 330Ml Beer,BEER,254 BREWING COMPANY LIMITED,23.0,299.0,213.793103,6877.0,4917.241369,1.065,47.925,24.924999999999997,21.6,Critical,B (Core)
6166000125335,254 Sand Trap 330Ml Beer,BEER,254 BREWING COMPANY LIMITED,40.0,299.0,212.931034,11960.0,8517.24136,0.9325,41.9625,1.9624999999999986,42.9,Critical,B (Core)
6164004922059,Zangi 320G Chocolate Cookies,BISCUITS,AL FATAIRE FASARI LTD SR,2.0,740.0,446.551724,1480.0,893.103448,0.03,1.0,-1.0,66.7,Review,D (Risk)
6009610391267,Festival 80G Jelly Crystals Orange,BAKE WARE FOODS,ALISON PRODUCTS LTD,2.0,140.0,105.0,280.0,210.0,0.0175,1.0,-1.0,114.3,Review,D (Risk)
6009610391274,Festival 80G Jelly Crystals Strawberry,BAKE WARE FOODS,ALISON PRODUCTS LTD,3.0,140.0,87.5,420.0,262.5,0.0475,1.0,-2.0,63.2,Review,D (Risk)
6009610391298,Festival 80G Jelly Crystals Forest Fruits,BAKE WARE FOODS,ALISON PRODUCTS LTD,6.0,140.0,105.0,840.0,630.0,0.02,1.0,-5.0,300.0,Review,D (Risk)
6009610391304,Festival 80G Jelly Crystals Raspberry,BAKE WARE FOODS,ALISON PRODUCTS LTD,7.0,140.0,105.0,980.0,735.0,0.03,1.0,-6.0,233.3,Review,D (Risk)
6009610391311,Festival 80G Jelly Crystals Tropical Fruits,BAKE WARE FOODS,ALISON PRODUCTS LTD,10.0,140.0,87.5,1400.0,875.0,0.025,1.0,-9.0,400.0,Review,D (Risk)
8028868001016,Castello Di Battipaglia 800G Peeled Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,3.0,523.0,337.802,1569.0,1013.4060000000001,0.025,1.0,-2.0,120.0,Review,D (Risk)
8028868001405,Castello Di Battipaglia 400G Chopped Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,24.0,273.0,175.8622,6552.0,4220.6928,0.2175,1.0,-23.0,110.3,Review,D (Risk)
8028868001436,Castello Di Battipaglia 800G Chopped Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,1.0,523.0,337.802,523.0,337.802,0.06,1.0,0.0,16.7,Review,D (Risk)
8028868001504,Castello Di Battipaglia 400G Cherry Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,25.0,365.0,235.9706,9125.0,5899.264999999999,0.16,1.0,-24.0,156.2,Review,D (Risk)
8028868010155,Castello Di Battipaglia 400G Butter Beans,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,18.0,262.0,169.2672,4716.0,3046.8096,0.1525,1.0,-17.0,118.0,Review,D (Risk)
8028868010346,Castello Di Battipaglia 400G Chick Peas,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,3.0,262.0,169.2672,786.0,507.8016,0.1125,1.0,-2.0,26.7,Review,D (Risk)
8028868020635,Castello Di Battipaglia 400G Four Beans Mix,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,1.0,262.0,169.2672,262.0,169.2672,0.12,1.0,0.0,8.3,Review,D (Risk)
7174000312036,Anju 200G Marble Slice,CAKES,ANJU HOME BAKERS,7.0,89.0,60.344828,623.0,422.413796,0.115,1.0,-6.0,60.9,Review,D (Risk)
6161109366016,Mika Mafsd1107 Air Fryer 7.3L Blk,AIR/DEEP FRYERS,APPLIANCE ZONE LIMITED NO GRN,1.0,23495.0,14134.396552,23495.0,14134.396552,0.01,1.0,0.0,100.0,Review,D (Risk)
0721688485438,Artcaffe 90G Choco Chip Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,6.0,200.0,120.689655,1200.0,724.13793,0.04,1.0,-5.0,150.0,Review,D (Risk)
0721688485445,Artcaffe 90G Oat & Raisin Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,8.0,200.0,120.689655,1600.0,965.51724,0.0225,1.0,-7.0,355.6,Review,D (Risk)
0721688485452,Artcaffe 90G Snickerdoodle Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,8.0,200.0,120.689655,1600.0,965.51724,0.0275,1.0,-7.0,290.9,Review,D (Risk)
0745240580461,Artcaffe 300Ml Caramel Syrup Bottle,BAKE WARE FOODS,ARTCAFFE COFFEE AND BAKERY LTD SR,5.0,495.0,298.706897,2475.0,1493.5344850000001,0.0225,1.0,-4.0,222.2,Review,D (Risk)
0745240580478,Artcaffe 300Ml Vanilla Syrup Bottle,BAKE WARE FOODS,ARTCAFFE COFFEE AND BAKERY LTD SR,5.0,495.0,298.706897,2475.0,1493.5344850000001,0.01,1.0,-4.0,500.0,Review,D (Risk)
0745240580485,Artcaffe 300Ml Hazelnut Syrup Bottle,BAKE WARE FOODS,ARTCAFFE COFFEE AND BAKERY LTD SR,4.0,495.0,298.706897,1980.0,1194.827588,0.0325,1.0,-3.0,123.1,Review,D (Risk)
0745314155816,Artcaffe 200G Choco Chip Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,6.0,390.0,235.344828,2340.0,1412.068968,0.065,1.0,-5.0,92.3,Review,D (Risk)
