BARCODE,ITM_NAME,DEPARTMENT,VENDOR_NAME,STOCK,SellPrice,CostPrice_Final,StockValue,CostValue,Margin_Pct
6164004734140,254 Niaje 330Ml Lager Beer,BEER,254 BREWING COMPANY LIMITED,60.0,279.0,198.275862,16740.0,11896.55172,28.9
6164004734201,254 330Ml Muratatu Tripel Beer,BEER,254 BREWING COMPANY LIMITED,2.0,299.0,213.793103,598.0,427.586206,28.5
6166000125311,254 Golden Rump 330Ml Beer,BEER,254 BREWING COMPANY LIMITED,23.0,299.0,213.793103,6877.0,4917.241369,28.5
6166000125335,254 Sand Trap 330Ml Beer,BEER,254 BREWING COMPANY LIMITED,40.0,299.0,212.931034,11960.0,8517.24136,28.8
2000205170001,Cheers 200G Pizza Base Brown 8,BAKERY CHEERS,AFRICA FUTURE VENTURES LTD NO GRN,6.0,170.0,127.5,1020.0,765.0,25.0
2000207170009,Cheers 200G Pizza Base White 8,BAKERY CHEERS,AFRICA FUTURE VENTURES LTD NO GRN,4.0,170.0,127.5,680.0,510.0,25.0
2000398220002,Cheers 350G Pizza Base White 10,BAKERY CHEERS,AFRICA FUTURE VENTURES LTD NO GRN,1.0,220.0,165.0,220.0,165.0,25.0
6164004922059,Zangi 320G Chocolate Cookies,BISCUITS,AL FATAIRE FASARI LTD SR,2.0,740.0,446.551724,1480.0,893.103448,39.7
6009610391267,Festival 80G Jelly Crystals Orange,BAKE WARE FOODS,ALISON PRODUCTS LTD,2.0,140.0,105.0,280.0,210.0,25.0
6009610391274,Festival 80G Jelly Crystals Strawberry,BAKE WARE FOODS,ALISON PRODUCTS LTD,3.0,140.0,87.5,420.0,262.5,37.5
6009610391298,Festival 80G Jelly Crystals Forest Fruits,BAKE WARE FOODS,ALISON PRODUCTS LTD,6.0,140.0,105.0,840.0,630.0,25.0
6009610391304,Festival 80G Jelly Crystals Raspberry,BAKE WARE FOODS,ALISON PRODUCTS LTD,7.0,140.0,105.0,980.0,735.0,25.0
6009610391311,Festival 80G Jelly Crystals Tropical Fruits,BAKE WARE FOODS,ALISON PRODUCTS LTD,10.0,140.0,87.5,1400.0,875.0,37.5
8028868001016,Castello Di Battipaglia 800G Peeled Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,3.0,523.0,337.802,1569.0,1013.4060000000001,35.4
8028868001405,Castello Di Battipaglia 400G Chopped Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,24.0,273.0,175.8622,6552.0,4220.6928,35.6
8028868001436,Castello Di Battipaglia 800G Chopped Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,1.0,523.0,337.802,523.0,337.802,35.4
8028868001504,Castello Di Battipaglia 400G Cherry Tomatoes,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,25.0,365.0,235.9706,9125.0,5899.264999999999,35.4
8028868010155,Castello Di Battipaglia 400G Butter Beans,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,18.0,262.0,169.2672,4716.0,3046.8096,35.4
8028868010346,Castello Di Battipaglia 400G Chick Peas,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,3.0,262.0,169.2672,786.0,507.8016,35.4
8028868020635,Castello Di Battipaglia 400G Four Beans Mix,CANNED FOOD,ANEEK IMPORTERS AND TRADERS LTD,1.0,262.0,169.2672,262.0,169.2672,35.4
7174000312036,Anju 200G Marble Slice,CAKES,ANJU HOME BAKERS,7.0,89.0,60.344828,623.0,422.413796,32.2
6161109366016,Mika Mafsd1107 Air Fryer 7.3L Blk,AIR/DEEP FRYERS,APPLIANCE ZONE LIMITED NO GRN,1.0,23495.0,14134.396552,23495.0,14134.396552,39.8
0721688485438,Artcaffe 90G Choco Chip Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,6.0,200.0,120.689655,1200.0,724.13793,39.7
0721688485445,Artcaffe 90G Oat & Raisin Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,8.0,200.0,120.689655,1600.0,965.51724,39.7
0721688485452,Artcaffe 90G Snickerdoodle Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,8.0,200.0,120.689655,1600.0,965.51724,39.7
0721688485469,Artcaffe 90G Macadamia & White Chocolate Cook,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,7.0,200.0,120.689655,1400.0,844.827585,39.7
0745240580461,Artcaffe 300Ml Caramel Syrup Bottle,BAKE WARE FOODS,ARTCAFFE COFFEE AND BAKERY LTD SR,5.0,495.0,298.706897,2475.0,1493.5344850000001,39.7
0745240580478,Artcaffe 300Ml Vanilla Syrup Bottle,BAKE WARE FOODS,ARTCAFFE COFFEE AND BAKERY LTD SR,5.0,495.0,298.706897,2475.0,1493.5344850000001,39.7
0745240580485,Artcaffe 300Ml Hazelnut Syrup Bottle,BAKE WARE FOODS,ARTCAFFE COFFEE AND BAKERY LTD SR,4.0,495.0,298.706897,1980.0,1194.827588,39.7
0745314155816,Artcaffe 200G Choco Chip Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,6.0,390.0,235.344828,2340.0,1412.068968,39.7
0745314155823,Artcaffe 200G Snickerdoodle Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,6.0,390.0,235.344828,2340.0,1412.068968,39.7
0745314155830,Artcaffe 200G Oat & Raisin Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,8.0,390.0,235.344828,3120.0,1882.758624,39.7
0745314155847,Artcaffe 200G Vanilla Shortbread Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,6.0,390.0,235.344828,2340.0,1412.068968,39.7
0745314155854,Artcaffe 200G Macadamia & White Choc. Cookie,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,15.0,390.0,235.344828,5850.0,3530.17242,39.7
0762497312928,Artcaffe 90G Vanilla Shortbread Cookie Pouch,BISCUITS,ARTCAFFE COFFEE AND BAKERY LTD SR,5.0,200.0,120.689655,1000.0,603.448275,39.7
