budget,total_cost,total_revenue,roi_pct,avg_margin_pct,a_class_pct,avg_velocity,item_count,utilization_pct
100000,99998.24892250965,115876.36207353232,15.88,13.7,99.71,24.24,300,99.99824892250965
200000,199998.2446083784,228473.598418593,14.24,12.46,99.19,15.09,508,99.99912230418919
300000,299996.8747908005,334328.0688847929,11.44,10.27,97.41,10.64,758,99.99895826360017
400000,399995.0142175461,441107.4242332835,10.28,9.32,94.01,8.37,998,99.99875355438652
500000,499991.4737493337,553711.7111834702,10.74,9.7,95.9,9.18,906,99.99829474986674
600000,599995.7375011536,659079.5703453837,9.85,8.96,91.53,7.79,1092,99.9992895835256
700000,699994.8403693456,764341.7838908511,9.19,8.42,87.33,6.84,1268,99.99926290990652
800000,799992.2273091871,876578.0818139282,9.57,8.74,91.69,7.33,1180,99.99902841364839
900000,899996.7459345722,981845.9961564399,9.09,8.34,87.91,6.55,1341,99.99963843717468
1000000,999995.4229621661,1095222.1872001614,9.52,8.69,93.42,7.16,1223,99.99954229621662
10000000,9999987.457455575,10621090.634592768,6.21,5.85,46.46,1.75,5997,99.99987457455599
20000000,19999988.50567792,21202378.616313674,6.01,5.67,34.85,1.13,9685,99.99994252839207
30000000,29999989.663164508,31785575.124359086,5.95,5.62,29.23,0.91,12253,99.99996554388318
40000000,39999994.818047136,42376121.58941218,5.94,5.61,26.34,0.8,14116,99.99998704511817
50000000,49999989.592154175,52958655.41777826,5.92,5.59,24.59,0.73,15458,99.99997918430488
60000000,59999993.96046037,63527117.3134949,5.88,5.55,22.04,0.63,17955,99.99998993410128
70000000,69999990.83794883,74109920.90257198,5.87,5.55,20.83,0.59,19446,99.99998691135532
80000000,79999992.28804672,84677844.79206425,5.85,5.52,19.38,0.53,21445,99.9999903600557
90000000,89999993.81165403,95256850.53840357,5.84,5.52,18.72,0.5,22762,99.99999312406351
100000000,99812759.9179692,105787864.87066554,5.99,5.65,20.04,0.49,23403,99.81275991796372
