day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,3415.892538495107,0.0,100.0,0,0,1.0,False
2,4627.311978032664,0.0,100.0,0,3,0.998,False
3,5229.856247312849,0.0,100.0,0,9,0.996,False
4,5228.99267689621,0.0,100.0,0,10,0.994,False
5,5329.706854911165,0.0,100.0,0,14,0.992,False
6,2103.859650233609,0.0,100.0,0,9,0.99,False
7,3356.7219714743005,0.0,100.0,0,10,0.988,False
8,2905.45336394116,0.0,100.0,0,7,0.986,False
9,2639.3675465986207,0.0,100.0,0,9,0.984,False
10,3806.641806624126,0.0,100.0,0,10,0.982,False
11,6044.708878122789,0.0,100.0,0,9,0.98,False
12,6219.87538524662,0.0,100.0,0,12,0.978,False
13,2232.1966420037343,0.0,100.0,0,10,0.976,False
14,3428.518009044224,0.0,100.0,0,10,0.974,False
15,3169.5934552040553,0.0,100.0,0,3,0.972,False
16,4486.598112834295,0.0,100.0,0,2,0.97,False
17,4225.6901594499595,0.0,100.0,0,0,0.968,False
18,4858.1881075732945,0.0,100.0,0,3,0.966,False
19,6228.335423107331,0.0,100.0,0,6,0.964,False
20,2240.9787894553624,0.0,100.0,0,7,0.962,False
21,3841.4580239409524,89.5032548823235,97.72312041422306,1,7,0.96,False
22,2769.6791017083806,0.0,100.0,0,4,0.958,False
23,3965.9443914033714,0.0,100.0,0,5,0.956,False
24,5258.46780463657,0.0,100.0,0,6,0.954,False
25,4942.2103445798975,0.0,100.0,0,8,0.952,False
26,5047.793060509719,102.2488330548032,98.01460191648978,1,8,0.95,False
27,2346.8752401048514,0.0,100.0,0,6,0.948,False
28,3264.918477885698,0.0,100.0,0,6,0.946,False
29,2629.680160357456,0.0,100.0,0,7,0.944,False
30,3143.71602603025,0.0,100.0,0,8,0.942,False
31,2677.7993114239275,0.0,100.0,0,6,0.94,False
32,4010.6593599189982,0.0,100.0,0,5,0.94,False
33,5270.773719833393,0.0,100.0,0,2,0.94,False
34,2489.182487863172,0.0,100.0,0,1,0.94,False
35,3564.8735151656156,0.0,100.0,0,1,0.94,False
36,3688.6258775206297,0.0,100.0,0,7,0.94,False
37,4067.455792841819,0.0,100.0,0,10,0.94,False
38,4033.0255304137495,0.0,100.0,0,13,0.94,False
39,5032.97807578242,146.146751982195,97.17815737518582,1,9,0.94,False
40,6636.223859437671,0.0,100.0,0,8,0.94,False
41,1600.9636713708107,0.0,100.0,0,5,0.94,False
42,3642.4145887744653,0.0,100.0,0,6,0.94,False
43,3421.462006798836,0.0,100.0,0,5,0.94,False
44,3310.1959905791655,0.0,100.0,0,6,0.94,False
45,3703.795778064849,0.0,100.0,0,3,0.94,False
46,4431.208937752025,0.0,100.0,0,3,0.94,False
47,4544.111531499086,0.0,100.0,0,5,0.94,False
48,1753.7186478190706,0.0,100.0,0,7,0.94,False
49,3118.9271951634983,0.0,100.0,0,10,0.94,False
50,2702.1253270628595,0.0,100.0,0,10,0.94,False
51,4341.579754317548,0.0,100.0,0,8,0.94,False
52,3762.5575881401955,0.0,100.0,0,6,0.94,False
53,4587.548425757294,310.2115013808687,93.66625751372565,1,6,0.94,False
54,5395.024217171916,65.17540904716073,98.80635483116409,1,5,0.94,False
55,2416.8375991405132,0.0,100.0,0,5,0.94,False
56,2516.8020700287007,0.0,100.0,0,4,0.94,False
57,2749.323889368967,51.1244165274016,98.1744202733627,1,9,0.94,False
58,2712.5761749613785,0.0,100.0,0,9,0.94,False
59,4346.495073805203,0.0,100.0,0,8,0.94,False
60,3641.765501972228,0.0,100.0,0,3,0.94,False
