day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,3415.892538495107,0.0,100.0,0,0,1.0,False
2,4627.311978032664,0.0,100.0,0,3,1.0,False
3,5229.856247312849,0.0,100.0,0,9,1.0,False
4,5228.99267689621,0.0,100.0,0,10,1.0,False
5,5512.868860697086,0.0,100.0,0,14,1.0,True
6,2193.86232313705,0.0,100.0,0,9,1.0,True
7,3516.400506152218,0.0,100.0,0,10,1.0,True
8,3022.495455138755,0.0,100.0,0,6,1.0,True
9,2687.024344075846,0.0,100.0,0,4,1.0,True
10,4267.373242524746,0.0,100.0,0,5,1.0,True
11,6310.545424743978,0.0,100.0,0,5,1.0,True
12,5892.737047954811,327.1383372918086,94.74043582821977,2,9,1.0,True
13,2022.6875125138015,209.50912948993303,90.61421715508598,3,8,1.0,True
14,3174.486987326267,329.91602593025726,90.58567109198788,3,8,1.0,True
15,2740.8522719523417,549.9638488806643,83.28791920645352,6,3,1.0,True
16,3518.0403480562704,1023.2472088596332,77.46790538948946,7,2,1.0,True
17,3812.747402867938,882.9427565820199,81.19674155235478,6,0,1.0,True
18,4010.474940962063,1250.8832723541507,76.2250882445481,7,1,1.0,True
19,5075.510591157595,1987.7074143112866,71.85833124827448,8,15,1.0,False
20,1364.1437414409986,1072.0104570615244,55.99578804492435,6,16,1.0,False
21,3104.5090746585033,1234.6586618030697,71.54618726931521,8,18,1.0,False
22,2942.5467658112148,0.0,100.0,0,4,1.0,False
23,4050.634294147978,0.0,100.0,0,4,1.0,False
24,5643.993606249593,0.0,100.0,0,4,1.0,False
25,4968.658956403207,0.0,100.0,0,5,1.0,False
26,5562.487089412071,0.0,100.0,0,6,1.0,False
27,3589.3588572560093,0.0,100.0,0,5,1.0,False
28,3672.2397638189173,0.0,100.0,0,5,1.0,False
29,3280.738840656341,0.0,100.0,0,4,1.0,False
30,3468.975352353842,0.0,100.0,0,8,1.0,False
