day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,2778.899479300482,0.0,100.0,0,414,1.0,False
2,1580.5488585905216,0.0,100.0,0,413,1.0,False
3,1043.424020057984,0.0,100.0,0,411,1.0,False
4,2175.317209872971,0.0,100.0,0,0,1.0,False
5,2002.8291146962931,0.0,100.0,0,0,1.0,False
6,1547.9969010065065,0.0,100.0,0,0,1.0,False
7,1515.232224069121,0.0,100.0,0,8,1.0,False
8,865.2851850220454,0.0,100.0,0,0,1.0,False
9,2346.4025139248124,0.0,100.0,0,0,1.0,False
10,2653.45287737697,0.0,100.0,0,0,1.0,False
11,1005.250037605765,0.0,100.0,0,0,1.0,False
12,992.0782306852136,0.0,100.0,0,0,1.0,False
13,490.47569027402585,0.0,100.0,0,0,1.0,False
14,2214.6455903537253,0.0,100.0,0,0,1.0,False
15,743.619362396718,0.0,100.0,0,0,1.0,False
16,816.1888219593711,0.0,100.0,0,0,1.0,False
17,1551.5489602451403,0.0,100.0,0,0,1.0,False
18,2495.6066297062935,0.0,100.0,0,0,1.0,False
19,3759.1633563240093,0.0,100.0,0,0,1.0,False
20,681.3490853328566,0.0,100.0,0,0,1.0,False
21,2097.2921463732173,0.0,100.0,0,0,1.0,False
22,1823.252858187671,0.0,100.0,0,0,1.0,False
23,1735.5150679687897,0.0,100.0,0,0,1.0,False
24,1554.8882093623838,0.0,100.0,0,0,1.0,False
25,1483.768716594991,0.0,100.0,0,0,1.0,False
26,1431.1500832421088,0.0,100.0,0,0,1.0,False
27,794.19760383847,0.0,100.0,0,0,1.0,False
28,2539.281341664424,0.0,100.0,0,0,1.0,False
29,1554.8755717201568,0.0,100.0,0,0,1.0,False
30,3697.0889752717653,0.0,100.0,0,0,1.0,False
