day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,20355.43685827555,0.0,100.0,0,28,1.0,False
2,25552.604293217402,130.00057913939887,99.49381856012852,1,35,0.998,False
3,25255.53564319668,1805.5327952609741,93.32793234174356,4,44,0.996,False
4,28964.078474972528,19.036250647332988,99.93431951387024,1,27,0.994,False
5,34417.35227633106,0.0,100.0,0,30,0.992,False
6,13184.149005316574,50.00084943724782,99.6221831399371,1,28,0.99,False
7,19986.455095276448,0.0,100.0,0,31,0.988,False
8,18507.710716388756,0.0,100.0,0,29,0.986,False
9,24435.118164711457,0.0,100.0,0,32,0.984,False
10,22140.22197546087,0.0,100.0,0,28,0.982,True
11,33231.58783392795,0.0,100.0,0,32,0.98,True
12,33089.887584135024,48.585624378933424,99.85338605048814,1,35,0.978,True
13,16251.322090225713,0.0,100.0,0,29,0.976,True
14,16666.334653385347,0.0,100.0,0,20,0.974,True
15,25470.33864256422,0.0,100.0,0,10,0.972,True
16,22138.220641519296,0.0,100.0,0,11,0.97,True
17,21659.526390589268,152.82033665407076,99.29938608364776,1,15,0.968,True
18,28514.86046672022,0.0,100.0,0,21,0.966,True
19,34605.78610335991,322.2825737881492,99.07729632357541,4,26,0.964,True
20,16217.475477384623,134.25488232348525,99.17895611430642,1,26,0.962,True
21,18648.066065838055,247.8815683758841,98.68817604084032,2,24,0.96,True
22,20281.39072805804,1589.9651464590286,92.7303768656083,1,16,0.958,True
23,18833.8635078453,0.0,100.0,0,16,0.956,True
24,20904.362582114245,1589.9651464590286,92.93170631439061,1,21,0.954,False
25,28479.64138979829,0.0,100.0,0,35,0.952,False
26,25461.337613266347,1873.3077677180586,93.14676396343067,2,44,0.95,False
27,15603.193022683821,245.24621931252443,98.45255286298065,3,40,0.948,False
28,20874.22100548365,0.0,100.0,0,33,0.946,False
29,22773.63324926872,0.0,100.0,0,28,0.944,False
30,23521.615383399683,0.0,100.0,0,26,0.942,False
31,22901.233711743822,39.08951965065502,99.82960344866825,1,25,0.94,False
32,29703.6432723165,441.4214169381107,98.53567600040527,1,26,0.94,False
33,33640.04384777046,99.62162162162164,99.70473441204688,1,37,0.94,False
34,13577.204204433508,0.0,100.0,0,32,0.94,False
35,17772.969410471746,0.0,100.0,0,28,0.94,False
36,16851.695978894735,0.0,100.0,0,21,0.94,False
37,22083.745879970473,0.0,100.0,0,26,0.94,False
38,26652.807590867345,0.0,100.0,0,25,0.94,False
39,27229.38457613699,143.24574446519586,99.47668257384319,2,22,0.94,False
40,36090.597962590415,68.7140294223179,99.80996864808296,1,24,0.94,False
41,15288.11197825713,0.0,100.0,0,19,0.94,False
42,21089.144816872165,0.0,100.0,0,25,0.94,False
43,20847.16524744229,0.0,100.0,0,20,0.94,False
44,20175.441009085815,0.0,100.0,0,25,0.94,False
45,26961.221242791707,25.00042471862391,99.90735855865024,1,32,0.94,False
