day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,3556.520977813547,0.0,100.0,0,21,1.0,False
2,4696.663976605106,377.9168397432508,92.55274763728765,3,26,1.0,False
3,4734.829928649518,1320.6652459537165,78.19063168454679,9,31,1.0,False
4,5263.683037798489,0.0,100.0,0,12,1.0,False
5,6434.085557508989,0.0,100.0,0,6,1.0,False
6,2955.3420742594626,0.0,100.0,0,4,1.0,False
7,4077.534138023228,0.0,100.0,0,4,1.0,False
8,4099.632385509486,0.0,100.0,0,3,1.0,False
9,4998.592139970217,0.0,100.0,0,3,1.0,False
10,4028.3234775761107,0.0,100.0,0,1,1.0,False
11,4535.7883074576885,0.0,100.0,0,1,1.0,False
12,6782.342465138408,0.0,100.0,0,1,1.0,False
13,3040.72321570891,0.0,100.0,0,1,1.0,False
14,3760.357073587987,0.0,100.0,0,0,1.0,False
15,4252.981037521129,0.0,100.0,0,0,1.0,False
16,3279.6598976066043,0.0,100.0,0,1,1.0,False
17,4770.941888239757,0.0,100.0,0,1,1.0,False
18,7132.727791565829,0.0,100.0,0,5,1.0,False
19,6301.689157456547,0.0,100.0,0,3,1.0,False
20,3334.014840659589,0.0,100.0,0,3,1.0,False
21,3570.41868510863,0.0,100.0,0,0,1.0,False
22,5143.757187560389,0.0,100.0,0,0,1.0,False
23,3342.2279339988854,0.0,100.0,0,0,1.0,False
24,6555.255252237075,0.0,100.0,0,0,1.0,False
25,6564.1906579237575,0.0,100.0,0,3,1.0,False
26,6305.351039994158,0.0,100.0,0,3,1.0,False
27,3561.844710132953,0.0,100.0,0,4,1.0,False
28,3573.067005162209,0.0,100.0,0,3,1.0,False
29,3929.952180551126,0.0,100.0,0,3,1.0,False
30,3683.8155724792177,0.0,100.0,0,5,1.0,False
