day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,39695.155760684516,117.61229467620066,99.70458649217092,2,144,1.0,False
2,37465.74575642477,6682.082113936617,84.86430151544867,24,167,1.0,False
3,29707.757636541774,11682.55766526602,71.77465892666017,37,172,1.0,False
4,55029.88496943256,0.0,100.0,0,38,1.0,False
5,51753.87026990566,0.0,100.0,0,13,1.0,False
6,30326.01403906123,0.0,100.0,0,10,1.0,False
7,33007.84862172981,0.0,100.0,0,7,1.0,False
8,37668.268528031396,0.0,100.0,0,7,1.0,False
9,42333.03929905678,0.0,100.0,0,13,1.0,False
10,38539.67708237466,0.0,100.0,0,17,1.0,False
11,55803.57909185549,169.29661016949152,99.69753812351763,1,16,1.0,False
12,59062.72245787266,223.32964169381108,99.62330154600487,1,10,1.0,False
13,30304.417007977372,0.0,100.0,0,5,1.0,False
14,34275.23241168024,0.0,100.0,0,4,1.0,False
15,38799.22859498941,0.0,100.0,0,1,1.0,False
16,41993.83389554353,0.0,100.0,0,2,1.0,False
17,47900.787299225216,0.0,100.0,0,5,1.0,False
18,55361.092122610055,422.6863509749304,99.24227730257627,1,7,1.0,False
19,58556.319316920606,0.0,100.0,0,8,1.0,False
20,31147.051186812238,0.0,100.0,0,11,1.0,False
21,37225.61998260166,146.146751982195,99.60893807076306,1,14,1.0,False
22,44678.116939928135,0.0,100.0,0,16,1.0,False
23,47654.20348239441,0.0,100.0,0,16,1.0,False
24,48450.387924348186,125.19810045985145,99.74226126598677,1,17,1.0,False
25,52374.16195892468,0.0,100.0,0,21,1.0,False
26,50763.79701736928,0.0,100.0,0,23,1.0,False
27,30788.280812272955,0.0,100.0,0,30,1.0,False
28,32252.422286417277,240.50503296170098,99.25982343604277,2,27,1.0,False
29,35460.17281051038,0.0,100.0,0,24,1.0,False
30,44850.76270174756,0.0,100.0,0,29,1.0,False
