day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,1354265.6362014904,79047.85401557806,94.48495709032875,54,1077,1.0,False
2,1202068.2751216537,333113.67795995733,78.30135526988904,216,1212,1.0,False
3,917408.442235298,733301.7706669195,55.57658970452145,415,1287,1.0,False
4,1826517.142903604,5140.6928918807225,99.71934207408077,13,281,1.0,False
5,1960918.4311977506,7398.44356725434,99.62412334812008,6,167,1.0,False
6,1272903.681913913,762.1457761125995,99.94016124484592,5,126,1.0,False
7,1429578.633888818,992.088073089701,99.93065088933673,2,80,1.0,False
8,1466698.1567324377,0.0,100.0,0,47,1.0,False
9,1562367.768197448,0.0,100.0,0,24,1.0,False
10,1562628.0572010768,675.0,99.95682219152002,1,18,1.0,False
11,1810380.5635542166,151.49894987353608,99.99163235200243,1,14,1.0,False
12,1918232.676891405,0.0,100.0,0,9,1.0,False
13,1242432.9681192513,0.0,100.0,0,9,1.0,False
14,1361940.8196254992,0.0,100.0,0,11,1.0,False
15,1522608.6795309053,0.0,100.0,0,13,1.0,False
16,1569538.54183306,404.176146179402,99.97425535711903,1,33,1.0,False
17,1622886.6653205475,997.3577279941906,99.93858196066725,3,55,1.0,False
18,1768069.7530282135,10034.163852454061,99.43568180930296,15,83,1.0,False
19,1973940.0181476232,20494.324848720076,98.972424190313,18,104,1.0,False
20,1193525.2748902806,15842.604309649409,98.69000950148185,9,123,1.0,False
21,1420431.522881046,3096.6022261525463,99.78246989493661,8,132,1.0,False
22,1467100.8043131605,3842.6918317994146,99.73876006509629,5,130,1.0,False
23,1503638.2316228263,142.56918262566052,99.99051928429002,2,146,1.0,False
24,1614752.669265486,920.1110871576346,99.94305090125015,5,158,1.0,False
25,1695303.5083412882,628.3603155565074,99.96294896468606,2,174,1.0,False
26,1912787.2174367823,753.5664606646023,99.96061926314788,3,175,1.0,False
27,1256266.2299938265,4493.3775198772,99.64359759837656,9,181,1.0,False
28,1388802.6581708095,844.0,99.93926513656997,3,221,1.0,False
29,1434275.0719095485,151.49894987353608,99.98943836143647,1,203,1.0,False
30,1554115.3137070497,264.41262396556124,99.98298918729532,2,218,1.0,False
