day,revenue,lost_revenue,fill_rate,stockouts,orders_placed,competitive_multiplier,supplier_failure_active
1,30504.824333495573,0.0,100.0,0,30,1.0,False
2,37747.27684859233,0.0,100.0,0,39,1.0,False
3,33782.46865625392,1468.9727951387558,95.83287169358937,5,52,1.0,False
4,44444.74124269386,331.8896805875037,99.25878818092376,2,39,1.0,False
5,46738.52483332875,375.59430137955434,99.2027988461258,1,39,1.0,False
6,24549.750622430707,19.036250647332988,99.92251855679454,1,40,1.0,False
7,25743.97582960877,0.0,100.0,0,39,1.0,False
8,27601.444706701197,0.0,100.0,0,45,1.0,False
9,36941.682191232336,0.0,100.0,0,49,1.0,False
10,33650.442867891026,0.0,100.0,0,45,1.0,False
11,39054.85467648205,0.0,100.0,0,41,1.0,False
12,48511.37826968041,251.87603520823882,99.48347164519947,2,27,1.0,False
13,24248.00227858223,0.0,100.0,0,17,1.0,False
14,23936.65744299177,0.0,100.0,0,16,1.0,False
15,33027.08624128841,0.0,100.0,0,18,1.0,False
16,30233.289338524613,0.0,100.0,0,17,1.0,False
17,39339.51768229194,0.0,100.0,0,20,1.0,False
18,45556.72415893085,79.25156325156325,99.82633971993056,1,23,1.0,False
19,52731.19938934423,115.80882587320852,99.78086020423032,2,24,1.0,False
20,21740.29028730332,0.0,100.0,0,23,1.0,False
21,28661.20110511364,50.00084943724782,99.8258489856454,1,21,1.0,False
22,33316.70022213816,51.1244165274016,99.8467852876805,1,29,1.0,False
23,32301.352392654884,0.0,100.0,0,26,1.0,False
24,33549.41534853922,0.0,100.0,0,25,1.0,False
25,41683.41002553213,0.0,100.0,0,21,1.0,False
26,50895.56621451863,560.1214594335094,98.91144888980455,1,27,1.0,False
27,23234.25300382429,0.0,100.0,0,36,1.0,False
28,32512.66239577471,0.0,100.0,0,44,1.0,False
29,32092.232745810892,0.0,100.0,0,42,1.0,False
30,33362.80523837559,132.0,99.60590903854917,1,39,1.0,False
