day,revenue,lost_revenue,units_sold,stockouts
1,2394435.9101529066,140229.75844424902,16365,42
2,2060929.640859728,611482.7984713019,12951,120
3,1808308.3486056104,1014818.4332252059,10844,238
4,2992896.8160088807,64.0,21561,1
5,3376775.5250199856,470.2116538581592,23273,1
6,1984087.5912136629,69.66290770459099,13606,1
7,2299819.0126848784,0.0,15888,0
8,2469401.9057344114,0.0,17710,0
9,2619497.072475812,0.0,17585,0
10,2718969.3040823964,0.0,18880,0
11,3177345.6940923994,0.0,22844,0
12,3701130.0258617075,0.0,27197,0
13,1978456.295300235,0.0,14013,0
14,2424652.1607269933,0.0,17195,0
15,2603728.027795089,0.0,18263,0
16,2712509.5821780027,0.0,20616,0
17,2766564.2422526707,0.0,19479,0
18,3207359.929595857,0.0,23789,0
19,3535138.0393668045,0.0,25080,0
20,2171365.907478855,0.0,15473,0
21,2471999.6158427997,0.0,17437,0
22,2394536.850411538,0.0,16680,0
23,2601285.779387111,0.0,18993,0
24,2792796.796527904,0.0,20162,0
25,3164874.46851935,0.0,21093,0
26,3450470.573446613,0.0,24509,0
27,2086052.3184474627,0.0,14347,0
28,2416552.014810723,0.0,16424,0
29,2579940.1603016723,0.0,17756,0
30,2726386.853486308,0.0,19880,0
