day,revenue,lost_revenue,units_sold,stockouts
1,156187.8793108641,5418.853760012198,1150,2
2,145020.8345212309,5994.951356142528,1048,9
3,147851.11348180193,26606.275519937295,1033,24
4,196735.8238593385,0.0,1549,0
5,224847.27745024717,0.0,1600,0
6,131247.4087988119,0.0,1080,0
7,161052.22761088188,0.0,1182,0
8,161155.0594322792,0.0,1340,0
9,177364.02020497576,0.0,1397,0
10,172680.07437730458,0.0,1463,0
11,187276.60591125512,0.0,1491,0
12,232002.40211283762,0.0,1796,0
13,132468.21675223365,0.0,1100,0
14,152173.17624889573,0.0,1223,0
15,143381.23969070913,0.0,1118,0
16,166774.0380476809,0.0,1380,0
17,170055.631270406,0.0,1384,0
18,191730.83107010802,0.0,1503,0
19,214725.49091912166,0.0,1614,0
20,125737.87278315639,0.0,1016,0
21,143837.48296849648,0.0,1201,0
22,173350.0132796011,0.0,1435,0
23,165602.8910197403,0.0,1204,0
24,185283.3129393553,0.0,1387,0
25,197846.0543632046,0.0,1481,0
26,218574.4013504613,0.0,1707,0
27,146013.12392791273,0.0,1174,0
28,152121.27771076717,0.0,1236,0
29,139708.00459942874,0.0,1122,0
30,175724.0737788272,0.0,1476,0
