day,revenue,lost_revenue,units_sold,stockouts
1,21899706.122629423,491603.41284958133,154539,1
2,21910407.52730521,1092882.3289580592,145296,20
3,22553570.00735978,3020443.7434104574,146217,152
4,27344625.19408034,1905.157506374595,201823,3
5,30406220.280859772,1861.3556814693404,231146,2
6,18129150.50985856,0.0,124072,0
7,21306566.57830842,0.0,161114,0
8,21802760.438756093,0.0,165337,0
9,23376574.36627438,0.0,162312,0
10,24405569.627522133,0.0,177515,0
11,29146317.751753014,0.0,217662,0
12,30344263.544612445,0.0,234792,0
13,18319081.235219907,0.0,137856,0
14,19897624.03940117,0.0,148315,0
15,21128373.256226055,0.0,167351,0
16,23187586.677793812,0.0,167781,0
17,25999361.082412027,0.0,205375,0
18,28028623.086214237,0.0,209523,0
19,29751161.04870117,0.0,217602,0
20,17735921.342463575,0.0,127892,0
21,20754361.973999865,0.0,159949,0
22,21213847.015203275,0.0,164152,0
23,22984381.28745251,0.0,177349,0
24,24124319.813323274,0.0,180860,0
25,28239536.082544718,0.0,204950,0
26,29184764.1436539,0.0,215151,0
27,18932534.727295473,0.0,143736,0
28,22377868.15536217,0.0,164027,0
29,22353238.33391341,0.0,169187,0
30,23952919.81350789,0.0,183427,0
