day,revenue,lost_revenue,units_sold,stockouts
1,4433.315204873335,0.0,50,0
2,4721.620513288312,929.7205493873494,51,1
3,4135.130252240859,1093.7888816321756,40,1
4,6507.152658059144,0.0,67,0
5,6230.090390644233,0.0,66,0
6,2972.7173983619214,0.0,36,0
7,3417.3439343041814,0.0,40,0
8,4258.936151665905,0.0,43,0
9,4472.0037064816925,0.0,43,0
10,4550.083903575055,0.0,59,0
11,6946.695094009626,0.0,74,0
12,6441.726679989301,0.0,75,0
13,3736.4924707454375,0.0,44,0
14,3858.749814232749,0.0,51,0
15,4464.201739769739,0.0,45,0
16,4826.621246599707,0.0,59,0
17,5151.022966185959,0.0,58,0
18,7139.526699401833,0.0,85,0
19,5886.277075959743,0.0,76,0
20,3721.130539282579,0.0,45,0
21,3525.2701037291904,0.0,47,0
22,6133.332240997261,0.0,70,0
23,5465.649419824135,0.0,60,0
24,3896.3807090082682,0.0,42,0
25,6015.528665292129,0.0,67,0
26,7334.129980728365,0.0,79,0
27,3571.2467311710407,0.0,44,0
28,5217.972962927898,0.0,65,0
29,3516.2575980652073,0.0,47,0
30,3690.3898576387883,0.0,47,0
