day,revenue,lost_revenue,units_sold,stockouts
1,13105.932163566378,382.8261085712615,131,1
2,15802.422301225202,1312.546657958611,131,1
3,12156.135189266495,1733.9701458454174,119,3
4,16900.832789980006,0.0,184,0
5,19422.90866095485,0.0,179,0
6,12390.76102955587,0.0,131,0
7,11760.717377785755,0.0,128,0
8,13665.290956943069,0.0,149,0
9,16418.46994641647,0.0,183,0
10,18891.90763765905,0.0,196,0
11,18197.79100572192,0.0,187,0
12,18996.40792386147,0.0,209,0
13,12253.417564314495,0.0,142,0
14,12204.452043321025,0.0,130,0
15,10312.077016703304,0.0,116,0
16,13252.385901200345,0.0,153,0
17,14488.244051308318,0.0,152,0
18,16509.060002677397,0.0,174,0
19,21960.079614432238,0.0,227,0
20,9734.371624858006,0.0,104,0
21,11826.036479877708,0.0,116,0
22,12310.272501148,0.0,116,0
23,14140.986670393328,0.0,155,0
24,15638.601218626532,0.0,157,0
25,15832.997832205096,0.0,158,0
26,16161.438737550367,0.0,155,0
27,10818.268239662231,0.0,106,0
28,13680.12158805351,0.0,157,0
29,12028.597660312817,0.0,143,0
30,13871.100755318688,0.0,148,0
